code	revision	station	longitude	latitude	QoS
DZ	2018/04/03	Bordj Zemoura	4.85668	36.27462	average
GB	11/29/2019, 00:00:00	Barnet	-0.2	51.65	accep
FR	05/27/2015, 00:00:00	Talence	-0.59543	44.80477	excellent
SO	07 Dec 2020	Baki	43.38531	9.89206	accep
US	23 Sep 2020	Martinsburg	-77.96389	39.45621	accep
PH	28 Nov 2019	Manaoag	120.4861	16.0438	maintenance
US	01 Jan 2019	Aurora	-104.83192	39.72943	excellent
GB	11/12/2020, 00:00:00	Brierley Hill	-2.12139	52.48173	average
IN	2014/03/22	Kundla	71.30633	21.34222	good
RU	2022/02/17	Severodvinsk	39.8302	64.5635	maintenance
CZ	09 Dec 2014	Most	13.63617	50.50301	accep
DE	22 Mar 2013	Schwalmtal	6.26667	51.21667	good
UG	30 Aug 2021	Paidha	30.98551	2.41669	accep
IE	2020-11-05	An Muileann gCearr	-7.35	53.53333	excellent
CM	2016/11/17	Tonga	10.7	4.96667	good
NL	21 Dec 2012	Barneveld	5.58472	52.14	good
DE	2017/05/15	Stuttgart	9.17702	48.78232	average
CO	2017/05/16	Socorro	-73.26022	6.46838	accep
DJ	17 Apr 2017	'Ali Sabieh	42.7125	11.15583	accep
US	09 Jul 2014	Pekin	-89.64066	40.56754	good
SA	02/26/2013, 00:00:00	Al Jubayl	49.62251	27.0174	accep
BG	2018/05/27	Aytos	27.25	42.7	excellent
US	03/10/2016, 00:00:00	Norwalk	-82.61573	41.24255	excellent
ZA	2017/05/23	Vryheid	30.79165	-27.76952	accep
JP	05/06/2018, 00:00:00	Shinshiro	137.5	34.9	good
TZ	2019/04/24	Chanika	38.01667	-5.41667	good
BG	02/20/2020, 00:00:00	Smolyan	24.71204	41.57439	accep
BR	2016-09-17	Itaperuna	-41.88778	-21.205	average
NG	08/18/2015, 00:00:00	Gaya	9.0027	11.86064	good
MQ	01/11/2020, 00:00:00	Le Robert	-60.94228	14.67751	good
DE	2019-02-15	Trossingen	8.64409	48.07667	good
RS	01/18/2019, 00:00:00	Sremska Mitrovica	19.61222	44.97639	good
BR	2019/07/31	Tucano	-38.79084	-10.95817	building
NG	02 Oct 2013	Gaya	9.0027	11.86064	average
NG	2020/04/16	Lagos	3.39467	6.45407	good
CM	24 Oct 2013	Tonga	10.7	4.96667	average
YE	2021/07/18	Ataq	46.83187	14.53767	maintenance
CD	03 Jan 2017	Beni	29.47306	0.49113	good
BR	07/11/2015, 00:00:00	Tucano	-38.79084	-10.95817	average
MX	2013/01/14	Guanajuato	-101.2591	21.01858	accep
PH	2020/04/29	Burgos	120.57224	15.72892	accep
RU	30 Nov 2018	Kachkanar	59.4839	58.7002	accep
IN	30 Aug 2019	Meerut	77.70636	28.98002	good
US	18 Jun 2013	Jersey City	-74.07764	40.72816	excellent
IN	2019/05/28	Calangute	73.7553	15.5439	average
DE	2018/11/03	Friedberg	10.98461	48.35693	average
RU	2019-01-08	Buynaksk	47.1192	42.819	excellent
CN	2020-01-08	Beidao	105.89333	34.56861	accep
CO	2015-01-03	Andes	-75.87877	5.6561	excellent
RU	08/25/2014, 00:00:00	Volokolamsk	35.96944	56.03361	excellent
US	2015-12-12	Front Royal	-78.19444	38.91817	excellent
ES	10 Apr 2017	Ferrol	-8.2194	43.48961	accep
XK	02/24/2018, 00:00:00	Glogovac	20.89389	42.62833	building
FR	2014/09/14	Marly-le-Roi	2.08333	48.86667	maintenance
US	2021-06-27	American Canyon	-122.2608	38.17492	good
HR	2021/03/11	Split	16.43915	43.50891	good
BR	2016-04-22	Barras	-42.29444	-4.24444	average
IR	2013/05/23	Shahre Jadide Andisheh	51.0193	35.6803	average
BW	2012/10/16	Tonota	27.46153	-21.44236	average
NG	01 Apr 2022	Gaya	9.0027	11.86064	excellent
NG	2017-03-31	Olupona	4.18333	7.6	excellent
KR	07 Dec 2020	Sinhyeon	128.62667	34.8825	good
JP	11/14/2016, 00:00:00	Shimotoda	139.6853	35.815	accep
UA	03/17/2018, 00:00:00	Krasyliv	26.97253	49.65186	maintenance
GE	10/18/2021, 00:00:00	Kobuleti	41.77921	41.82143	acceptable
CN	2014-04-18	Zaozhuang	117.55417	34.86472	accep
ES	02/26/2019, 00:00:00	Ferrol	-8.2194	43.48961	maintenance
JP	15 Feb 2021	Suzaka	138.31667	36.65	maintenance
US	04/10/2019, 00:00:00	Deltona	-81.26367	28.90054	accep
CO	2016/05/06	Madrid	-74.26419	4.73245	excellent
EC	02/15/2015, 00:00:00	Milagro	-79.59415	-2.13404	good
US	10/18/2018, 00:00:00	Searcy	-91.73625	35.25064	accep
US	11/09/2021, 00:00:00	Troutdale	-122.38731	45.53929	accep
UG	2022-09-20	Kitgum	32.88667	3.27833	good
DZ	2019/06/14	Beni Douala	4.08282	36.61954	building
ES	2017-03-25	Jumilla	-1.325	38.47917	excellent
IL	17 Aug 2017	Ganei Tikva	34.8732	32.05971	excellent
JP	05/14/2020, 00:00:00	Sasayama	135.21667	35.06667	average
IT	2018-05-28	Agrigento	13.57661	37.31065	accep
GB	01/08/2019, 00:00:00	Newbury	-1.32471	51.40148	average
IN	2015-04-11	Barbil	85.37752	22.10194	good
ES	2022-07-01	Jumilla	-1.325	38.47917	average
US	2014-04-12	Utica	-75.23266	43.1009	building
US	2017-01-22	Morningside Heights	-73.9625	40.81	excellent
JP	2013/05/06	Okegawa	139.55722	36	average
FI	2016/01/08	Tornio	24.14662	65.84811	good
NZ	10/23/2013, 00:00:00	Gisborne	178.00417	-38.65333	maintenance
JP	2014-04-23	Yamada	141.95	39.46667	building
GB	12/07/2014, 00:00:00	Lancing	-0.32247	50.82882	good
NG	2014-09-21	Efon-Alaaye	4.92235	7.65649	accep
KR	2020-08-22	Eisen	128.63083	36.82167	maintenance
IT	2019-05-27	Catania	15.07041	37.49223	building
US	2014-08-04	Abilene	-99.73314	32.44874	maintenance
PE	2021/07/23	Minas de Marcona	-75.11028	-15.21194	accep
IL	26 Dec 2019	Ganei Tikva	34.8732	32.05971	accep
BJ	2021/01/27	Tchaourou	2.59753	8.88649	building
ID	2014-06-30	Pameungpeuk	107.60389	-7.01833	building
DE	06 Sep 2021	Neuburg an der Donau	11.18709	48.73218	average
MZ	03/17/2019, 00:00:00	Maxixe	35.34722	-23.85972	excellent
BR	2018-07-07	Recife	-34.88111	-8.05389	good
IN	07/10/2020, 00:00:00	Manjeri	76.11996	11.12018	accep
IT	16 Oct 2018	Misterbianco	15.00913	37.51803	maintenance
ES	04 Feb 2014	Reus	1.10687	41.15612	average
US	04/09/2018, 00:00:00	Fayetteville	-78.87836	35.05266	excellent
KE	13 Jan 2021	Busia	34.11169	0.46005	maintenance
US	2012-11-24	Scotch Plains	-74.38987	40.65538	accep
US	2022/02/19	Kent	-122.23484	47.38093	excellent
IE	20 Sep 2019	Athlone	-7.95	53.43333	building
ES	03/11/2013, 00:00:00	Maspalomas	-15.58602	27.76056	accep
TH	2014/12/29	Nakhon Pathom	100.04427	13.8196	average
AM	2013/02/08	Hrazdan	44.7662	40.49748	average
RU	03/13/2016, 00:00:00	Novosilikatnyy	83.62389	53.30972	maintenance
ES	04 Apr 2022	Villaquilambre	-5.55835	42.64685	average
GB	09/26/2013, 00:00:00	Aberdeen	-2.09814	57.14369	average
US	04/27/2013, 00:00:00	Bon Air	-77.55777	37.52487	excellent
FR	2013-12-31	Colomiers	1.33467	43.61058	excellent
TW	19 Dec 2014	Magong	119.58627	23.5654	good
DE	2020-02-05	Albstadt	9.02596	48.21644	excellent
US	2018/10/19	Front Royal	-78.19444	38.91817	good
CO	06/19/2021, 00:00:00	Puerto Colombia	-74.95472	10.98778	building
AR	2013-10-21	Barracas	-58.38341	-34.64966	average
DE	23 Jan 2020	Oberhausen	6.8625	51.47805	average
UY	2015/08/31	Durazno	-56.52361	-33.38056	maintenance
EG	01/20/2015, 00:00:00	Alexandria	29.91582	31.20176	excellent
KE	01/04/2016, 00:00:00	Nyahururu	36.36339	0.03813	excellent
PL	2016/04/08	Zgorzelec	15.00835	51.14942	accep
PK	2013-07-22	Sangla Hill	73.38333	31.71667	building
RU	2015/06/02	Ulan-Ude	107.60627	51.82721	accep
IN	01/23/2015, 00:00:00	Pujali	88.1453	22.4711	maintenance
CD	2019/05/02	Beni	29.47306	0.49113	excellent
PG	2014-04-08	Mount Hagen	144.23058	-5.85746	accep
US	2015-05-23	Peabody	-70.92866	42.52787	good
US	2021-04-30	Waterbury	-73.0515	41.55815	average
VU	06/21/2013, 00:00:00	Port-Vila	168.31366	-17.73648	good
FR	03/05/2013, 00:00:00	Le Chesnay	2.12213	48.8222	good
DE	04/02/2015, 00:00:00	Oschatz	13.10984	51.30001	good
MA	25 Jan 2022	Oulmes	-6.00137	33.42585	good
FR	2013-05-05	Saint-Genis-Laval	4.7934	45.69558	accep
RU	2017-07-27	Ozersk	60.70278	55.75556	average
US	2021/05/20	Pleasant Prairie	-87.93341	42.55308	maintenance
US	25 Jul 2021	Hueytown	-86.99666	33.45122	average
DE	2021-12-31	Verl	8.51667	51.88333	accep
