O3	PAHs	Pb	latitude	NH3	C2H3NO5	H2CO	PM10	NOx	longitude	SO2	CH4	PRES	warning	CO	PM2.5	TEMP	CFCs
7.83943	9.03248	44.43266	30.35028	9.65361	1.62381	41.17694	7.67566	9.24153	112.19028	7.20230	5.11677	1109.96468	1.00000	10.17880	6.60980	5.60574	59.45109
7.45011	8.12546	41.07027	35.05266	9.47408	5.47272	40.79673	8.59121	9.24315	-78.87836	6.19181	8.83163	1159.32341	1.00000	10.26347	11.17467	12.89813	48.00257
8.34092	8.24485	20.03846	8.48714	7.46104	5.96065	76.44810	8.73231	10.68502	-13.2356	7.99828	7.73699	1199.26603	1.00000	7.86345	10.59507	12.35138	56.90410
7.71175	8.66410	56.76110	40.68066	8.97732	10.69456	44.52067	9.40166	5.41887	-73.47429	12.14400	9.84307	1180.00099	0.00000	8.05287	6.68337	16.53714	42.24997
8.56072	5.37194	41.43046	50.88506	10.36788	1.92663	70.25963	7.32149	7.79673	4.07601	6.75866	7.53252	1068.97326	0.00000	9.36996	11.02357	19.14147	75.03520
7.51434	7.15782	62.46038	37.08819	8.21132	3.20187	73.10706	8.12736	9.42652	-8.2503	6.85118	7.45033	1098.17344	1.00000	9.50538	10.86680	35.40530	41.76673
7.30507	8.05839	46.45185	13.51825	5.28144	17.06334	53.84884	9.84186	8.19601	99.95469	6.36482	8.28816	1147.72525	1.00000	11.20394	9.82590	9.99545	28.07730
7.84810	5.92408	34.76218	22.4711	9.39268	0.57095	42.22011	6.23008	7.14599	88.1453	10.17478	9.95224	1080.62877	1.00000	8.72216	7.08634	39.64201	34.33874
8.12464	8.47948	71.99068	39.78504	11.77380	8.04061	72.81105	9.06024	9.31321	-85.76942	9.68593	7.03707	1135.46352	0.00000	5.91958	7.27835	31.93302	55.69047
7.28598	9.78243	46.44961	42.97086	11.80505	9.65509	53.38922	9.32838	8.58658	-82.42491	7.34704	6.27327	1120.84501	0.00000	5.13839	6.92901	1.96880	60.16862
8.74464	7.75089	53.98125	19.21667	7.62474	4.52841	47.00870	8.29708	8.06301	73.08333	3.95440	4.80945	1110.81617	1.00000	11.78680	11.47113	9.12531	43.82497
10.14290	8.34332	53.15189	44.27804	6.93501	7.73247	53.68278	9.09653	8.69928	-88.27205	4.35464	10.02158	1092.69385	1.00000	12.77081	10.09264	32.99733	52.94220
8.34001	8.06139	35.54465	59.80917	10.57135	3.92203	49.57583	8.26553	8.65859	30.38167	7.18129	4.55224	1096.54627	0.00000	6.39937	10.69971	13.82636	45.28491
7.85782	8.49096	41.75240	-8.73508	6.11557	13.96808	70.26896	9.65201	10.28170	24.99798	7.76389	8.09007	1122.93592	1.00000	8.74497	10.44393	18.30647	16.55303
9.25124	9.39625	49.19046	19.21667	10.31322	12.90922	38.99341	9.57722	10.94814	73.08333	5.73170	3.35119	1188.25712	1.00000	9.94947	7.39502	21.68013	41.87426
9.20349	5.92932	40.52848	37.13548	10.24478	9.82717	63.34152	9.40159	6.89973	-3.67029	11.14264	8.26136	1093.97015	0.00000	7.06154	6.79996	21.02936	54.57703
8.19238	7.24393	47.44824	10.58806	6.86069	2.51876	51.74831	7.37155	9.03952	77.24779	5.21461	8.60235	1169.43162	1.00000	8.87213	10.49744	17.08047	45.49124
9.71221	7.41200	69.89655	55.63711	10.78807	0.82290	63.76671	6.52515	6.93735	37.38115	7.29549	10.86910	1064.07964	0.00000	5.40766	6.01217	19.69980	29.23199
8.83926	9.44906	65.31279	40.82232	9.76582	4.46710	57.69198	8.31595	9.40529	-74.15987	7.18340	10.14004	1065.25932	0.00000	6.70573	6.88103	1.70728	60.14708
6.40476	8.47229	52.17161	36.21544	11.93929	3.25373	53.61967	8.16006	8.72942	65.93249	7.83245	7.20406	1190.48072	0.00000	6.27089	9.55372	9.71724	87.32471
8.71983	6.96713	43.66684	25.95533	10.22721	3.05978	53.24960	8.00170	8.84013	68.88871	8.50768	6.47669	1072.77857	0.00000	5.61891	10.56682	17.40968	41.77396
7.44070	7.12491	52.16414	43.61058	9.31844	2.42285	45.85147	7.68118	10.85037	1.33467	4.49404	11.71018	1156.79192	1.00000	7.12792	9.22275	19.56074	61.20317
8.67670	7.44039	43.96466	37.56667	10.98856	30.58041	38.41143	10.49929	6.17605	140.11667	8.84166	9.33747	1101.44469	0.00000	5.02385	6.49590		42.64857
7.81490	7.49305	70.96431	30.35028	10.74666	5.92365	44.66954	8.69770	8.94950	112.19028	7.06838	6.19506	1197.66319	0.00000	8.67620	11.36332	27.58125	56.81691
7.43457	7.15441	54.77432	45.16024	9.59144	2.89377	48.66040	7.68426	5.62293	-93.08883	5.43510	8.18353	1188.34457	0.00000	10.43186	10.45408	25.30260	47.21486
8.08314	8.04121	49.09303	40.58654	12.71286	2.92603	48.98402	7.07076	8.86236	-122.39168	6.13041	6.51689	1123.19676	0.00000	7.92114	10.59179	10.28069	83.39822
8.70815	8.58388	58.20150	16.68911	6.95726	10.14841	80.97232	9.35222	11.53778	98.50893	6.62878	7.05352	1164.53813	1.00000	6.68158	11.95796	17.78529	48.56164
7.69906	6.76469	67.04106	23.0072	6.16308	1.88486	74.21823	7.46134	5.24061	-82.4017	7.62864	10.98889	1050.35330	0.00000	5.18543	6.58704	17.99847	72.27846
9.84330	7.03189	43.61052	41.24255	9.38366	8.70342	41.10116	9.21827	6.34810	-82.61573	7.20853	7.64241	1080.90722	0.00000	6.80435	8.94249	19.03904	37.94594
6.86798	7.57005	64.48369	8.35122	10.09514	1.08247	48.81874	6.90475	10.96276	-62.64102	5.05136	9.30564	1062.88770	1.00000	10.91660	11.82697	12.06636	49.17339
10.96359	6.61133	53.65839	47.56494	10.50969	3.50639	46.39500	7.93964	9.74407	31.33078	7.55290	4.38127	1084.81711	0.00000	10.10519	5.44114	14.67922	58.83507
6.39102	9.04484	52.76722	41.84364	11.54359	5.01062	46.19103	8.57009	8.59288	-87.71255	6.54794	5.82984	1125.56833	0.00000	6.93726	11.08090	28.92178	46.73358
7.80729	8.52593	58.30206	44.73941	10.29258	5.52005	44.13412	8.67361	6.68729	-93.12577	9.54276	11.55498	1144.14809	0.00000	6.78046	6.29159	14.55528	47.55737
7.22507	9.19357	57.67332	41.24264	12.32745	2.24805	64.35588	7.11454	8.75138	16.50104	7.78972	9.71761	1171.56876	1.00000	7.54161	11.59693	25.33655	68.37914
7.64827	6.70701	47.25869	48.77644	11.25811	18.55693	61.49902	9.99140	10.17296	2.29026	10.06160	5.89415	1062.20597	0.00000	6.75163	7.74397	23.40530	59.92040
8.47814	8.59768	40.62555	23.0072	6.22213	5.71101	62.82903	8.66647	8.73271	-82.4017	5.11034	7.41647	1098.80525	1.00000	9.36636	11.29445	13.41222	54.87770
7.84251	8.05562	57.19916	42.35843	8.23673	2.84886	57.53971	7.76754	11.20981	-71.05977	5.00393	7.68216	1145.64497	1.00000	9.08116	12.79633	16.68692	59.79706
9.24290	7.55499	37.67830	26.68451	9.16615		65.39984	7.22218	10.89478	-80.66756	5.32156	8.12631	1119.58120	1.00000	10.10066	12.40926	23.49447	40.38354
5.03363	7.32478	54.70045	-22.57306	9.51996	1.45593	40.59432	6.77227	7.57408	-47.1725	8.02034	10.03036	1112.80631	0.00000	6.04657	6.37852	11.55369	42.51608
8.58216	7.67057	37.72910	17.06542	9.10260	3.91980	51.67560	8.14431	6.24970	-96.72365	6.32792	6.39645	1142.04685	0.00000	6.40150	9.05540	4.30132	45.99783
9.69190	7.65236	63.48675	40.11583	10.43114	1.54545	76.13661	7.30742	9.91944	67.84222	2.29204	10.38823	1091.72470	1.00000	8.87350	10.87836	36.39192	52.06133
10.53704	7.93652	74.58141	38.96667	7.08801	6.03746	30.43440	8.79451	9.21389	-0.18333	5.82353	9.55281	1073.18004	1.00000	10.00817	9.36880	28.69316	53.31603
7.77411	7.68016	34.19498	49.5099	4.51403	4.52545	36.40824	8.50237	9.13868	6.74549	8.49105	7.29585	1184.86502	1.00000	10.45399	10.18847	23.63449	52.17778
7.89278	7.72364	53.21880	28.15112	8.03060	1.54065	44.48902	7.00612	6.76869	-82.46148	8.74482	10.63214	1092.37916	0.00000	6.37519	6.62946	8.26546	63.93832
8.87945	8.50524	35.67794	45.73333	8.60743	2.71282	42.18964	7.96332	10.26567	4.91667	4.52369	5.19820	1165.33047	1.00000	9.35565	12.20746	11.58013	36.45519
8.17831	8.86131	41.52097	43.62558	8.29118	3.18314	70.16559	8.04820	9.54496	13.39954	4.11515	8.38059	1147.18001	1.00000	11.31173	11.97093	43.77634	56.40174
8.34883	6.63102	77.15441	24.96334	9.29290	13.71711	68.78549	9.65057	6.61971	10.18003	8.80274	10.06987	1187.57089	0.00000	9.95754	8.49496	6.42619	46.42982
7.97302	7.68515	43.57623	32.87533	10.46587	18.60045	68.54750	9.97772	7.88162	71.57118	7.23900	7.47890	1193.25544	0.00000	7.80413	9.70044	14.04370	39.49403
7.20908	7.10292	44.40546	8.88649	3.06271	9.83249	67.50503	9.27511	8.41424	2.59753	9.96380	6.95075	1123.47106	1.00000	8.62795	9.33332	21.81633	51.09936
6.78127	8.00383	36.21116	39.96348	9.13434	4.18244	67.41840	8.26153	10.68799	-4.83076	5.60074	7.59786	1195.86945	1.00000	6.46532	11.65138	33.55344	30.11304
6.44208	8.53987	21.20166	14.62578	7.77819	2.07391	54.55806		3.74884	121.12251	8.52848	11.15525	1110.80539	1.00000	6.75352	6.65466	18.09554	62.46669
8.37089	8.14904	27.17231	39.96097	7.29259	2.60839	53.29736	7.67342	10.08353	-75.60804	5.20945	5.44199	1142.18030	1.00000	6.62274	13.27857	35.12035	39.64495
8.75822	9.18913	45.56621	20.14298	9.16954	1.86413	57.22970	7.41552	11.38640	-77.43532	7.83194	5.56715	1064.22302	1.00000	9.05497	7.31669	42.04552	26.33260
9.58353	8.06492	46.92797	59.80917	3.47825	6.31038	51.02658	8.75590	9.35289	30.38167	8.30516	7.86500	1056.71250	1.00000	12.39214	10.07229	17.39753	42.83425
7.55814	7.47668	68.44674	20.28527	10.08617	2.53115	52.02827	7.65174	6.92091	-103.42897	6.00537	6.43848	1151.09263	0.00000	5.55498	9.19478	22.55012	48.63717
8.54669	8.36471	51.07815	-8.43333	8.36175	1.45722	39.08766	6.48524	9.14588	114.33333	4.24505	11.81751	1187.84197	1.00000	8.23637	8.63783	5.33272	43.30784
9.53880	8.34226	35.84580	40.65538	4.92615	0.90197	68.41347	6.07609	9.20572	-74.38987	8.79783	8.88582	1193.50058	1.00000	9.80445	9.18814	29.21251	23.47675
8.89838	9.18011	54.30762	39.12074	10.28003	1.81178	55.74334	7.53694	7.10948	27.18052	8.78210	9.29268	1131.80802	0.00000	7.33976	6.82787	5.83890	48.46119
7.96502	8.59695	29.07236	52.57583	6.33427	1.17394	62.86240	6.63971	8.88187	6.61944	9.23517	10.82703	1181.11737	1.00000	9.19172	7.84397	10.19693	72.80861
7.44780	8.64428	53.95109	7.50251	5.70048	2.85077	53.98172	7.72972	9.54083	5.06258	7.33522	8.27180	1199.93052	1.00000	11.81641	10.42932	30.86944	45.80285
7.78487	7.27047	35.52162	49.03685	11.13491	2.63217	24.82647	7.76063	7.06537	8.70745	8.84123	9.15368	1139.59540	0.00000	4.34431	6.69784	25.90759	39.06009
8.28037	7.46951	62.16453	48.90982	9.45595	4.36073	69.87381	8.44037	9.56475	2.45012	3.13166	8.97780	1166.28959	1.00000	9.04087	11.57202	13.71981	69.02545
9.06220	9.24396	29.66924	43.86682	8.15046	3.24267	30.14708	7.99876	9.42231	-79.2663	8.06282	6.46691	1080.79265	1.00000	9.33242	8.56674	13.78084	59.38976
6.72225	6.37823	59.08077	47.46657	11.41038	7.08443	62.91245	8.86168	6.62870	84.87144	9.07244	9.59364	1133.30172	0.00000	5.80643	6.43300	13.96180	48.39643
7.86737	9.05512	45.78302	39.00622	7.93283	51.43543	43.37138	11.00122	5.37073	-77.4286	9.73789	10.77060	1185.22981	0.00000	8.49441	6.83992	15.59437	56.60407
8.79081	8.16470	66.40800	51.21667	10.13921	1.59063	55.36165	7.52443	6.84989	6.26667	5.77652	7.06974	1180.87350	0.00000	7.62994	10.40449	7.44013	37.72217
6.95586	8.63305	40.89744	53.6052	10.33789	8.71428	50.65219	9.10008	8.91590	10.03988	6.53111	8.44037	1077.14443	1.00000	8.04243	11.93584	-1.63507	58.91129
6.48517	8.55578	56.10157	43.78956	10.61131	4.35662	48.22585	8.33965	7.76729	7.60872	8.43426	8.70589	1067.96538	0.00000	7.21073	6.85910	24.89069	50.14603
9.11813	10.13502	48.02360	33.98154	9.48278	13.07298	49.80883	9.65613	10.57440	-81.23621	6.50467	8.29240	1051.91843	1.00000	11.78148	11.28977	22.45880	66.70562
6.71301	8.71485	64.90236	43.78956	9.26785	13.66467	51.04918	9.70979	5.01138	7.60872	9.63210	9.49841	1181.84251	0.00000	7.30548	6.97129	25.59902	67.27163
7.02173	6.70106	27.53531	41.24255	10.72862	1.34688	43.16884	6.31436	7.93870	-82.61573	5.78483	5.88653	1165.72909	1.00000	10.45002	10.26386	1.06761	58.66640
9.68964	7.40018	24.77485	18.03496	8.41724	2.13865	54.12588	7.60606	9.24763	-66.8499	8.15792	3.67741	1148.79996	1.00000	10.57575	4.55120	8.59975	54.10581
9.57556	7.97186	61.75628	40.42386	7.90035	1.86827	24.59615	7.37500	9.44972	-3.53261	8.67820	8.31909	1062.71771	1.00000	5.86358	9.15480	0.05561	68.42870
7.64731	7.93284	36.05805	-7.54972	9.89894	6.07896	47.58794	8.87910	7.77699	110.71639	7.60627	10.27460	1132.84283	0.00000	6.57048	6.28682	19.03430	30.64839
7.42526	8.27423	62.54666	35.20889	10.42407	0.66946	45.12439	6.70030	8.14189	111.73861	7.29172	5.73005	1063.72584	1.00000	10.77495	7.83085	8.42877	46.73881
6.89664	7.94344	51.26972	53.95278	11.33409	1.96386	23.08960	7.42523	7.19273	32.86389	8.42110	7.66356	1148.83608	1.00000	9.64499	10.07130	18.25366	59.48541
9.19809	8.89194	43.79187	26.2173	9.38514		57.67913	6.37315	10.42469	-80.22588	7.01604	10.62532	1050.28373	1.00000	8.73451	8.72997	4.19568	56.21532
8.28110	7.52545	65.51365	58.23583	9.49646	2.68844	61.83575	7.35047	7.69893	92.48278	8.62744	9.01262	1050.37281	1.00000	9.78906	10.08001	19.15889	48.70535
