code	station	longitude	QoS	latitude	revision
AU	Wheelers Hill	145.18333	building	-37.9	2013/06/16
CR	San Rafael	-84.13722	accep	9.92787	2018-12-16
JP	Shimotoda	139.6853	maintenance	35.815	31 Oct 2016
RU	Shushary	30.38167	average	59.80917	02 Apr 2015
BR	Catende	-35.71667	accep	-8.66667	07/24/2020, 00:00:00
FR	Fontenay-aux-Roses	2.29275	good	48.79325	2013-12-07
ID	Ngemplak	110.71639	excellent	-7.54972	2014/01/27
RU	Nizhniy Lomov	43.67663	building	53.53041	14 Sep 2022
BR	Valinhos	-46.99583	building	-22.97056	2016/08/18
US	Pekin	-89.64066	good	40.56754	01 Feb 2013
US	Middletown	-71.29144	accep	41.54566	10/24/2018, 00:00:00
ZA	Mokopane	29.00974	excellent	-24.19436	2015-12-07
ES	Cardedeu	2.35739	good	41.63976	12/20/2017, 00:00:00
GB	Arbroath	-2.58736	average	56.56317	2021-01-14
AO	Luena	19.91667	maintenance	-11.78333	11/19/2021, 00:00:00
DE	Albstadt	9.02596	good	48.21644	08/15/2016, 00:00:00
US	Bridgeport	-73.20483	average	41.16704	2016/11/01
RU	Valday	33.2525	good	57.97472	2018-02-04
FR	Bar-le-Duc	5.16108	maintenance	48.77275	2013-01-27
GB	Winsford	-2.52398	average	53.19146	05/17/2016, 00:00:00
CN	Xiangtan	112.9	good	27.85	10/30/2015, 00:00:00
AU	Carnegie	145.06667	excellent	-37.88333	13 May 2017
TR	Serinhisar	29.26639	accep	37.58105	09 Dec 2019
CL	La Ligua	-71.23106	maintenance	-32.45242	04/21/2016, 00:00:00
ES	San Fernando de Henares	-3.53261	excellent	40.42386	04 Sep 2013
ID	Ngemplak	110.71639	good	-7.54972	02/17/2020, 00:00:00
RU	Oktyabr’skiy	53.47103	good	54.48147	09 Jan 2014
CA	Charlottetown	-63.13414	maintenance	46.23899	2013/09/13
PK	Qadirpur Ran	71.67164	good	30.29184	2020/03/21
ID	Besuki	113.69785	excellent	-7.73379	2015-06-10
IN	Sirsi	74.83554	good	14.62072	18 Nov 2019
IT	Ragusa	14.72443	good	36.92574	2022-07-18
US	Nampa	-116.56346	building	43.54072	05/13/2013, 00:00:00
US	Fort Washington	-77.02303	average	38.70734	28 Jan 2015
PE	Yunguyo	-69.08333	maintenance	-16.25	18 Mar 2016
US	Brentwood Estates	-86.77917	good	36.02506	2015-08-10
US	Davis	-121.74052	building	38.54491	2013-05-24
IN	Dombivli	73.08333	good	19.21667	2017/06/17
IT	Novara	8.62118	accep	45.44694	06 Jan 2021
MX	Heroica Matamoros	-97.50417	average	25.87972	2016-05-07
CO	Puerto Colombia	-74.95472	average	10.98778	16 Mar 2013
TR	Sungurlu	34.37389	accep	40.1675	2016/03/10
BR	Recife	-34.88111	good	-8.05389	10 Aug 2014
NL	Culemborg	5.22778	average	51.955	2016/09/17
IN	Gajendragarh	75.96976	average	15.73628	2016-05-02
GB	Newbury	-1.32471	good	51.40148	2021/06/21
DE	Stuttgart	9.17702	average	48.78232	24 Jan 2021
PL	Zgorzelec	15.00835	accep	51.14942	23 Dec 2014
BR	Canavieiras	-38.94722	good	-15.675	12/02/2015, 00:00:00
PH	Cebu City	123.89071	accep	10.31672	2021-09-16
RU	Solntsevo	37.38115	good	55.63711	2020-12-19
ZA	Mokopane	29.00974	accep	-24.19436	05/30/2013, 00:00:00
US	West Des Moines	-93.71133	average	41.57721	2013/12/05
CU	Media Luna	-77.43532	maintenance	20.14298	03 Jul 2021
US	American Canyon	-122.2608	building	38.17492	2020-04-06
IN	Bhuban	85.83334	maintenance	20.88197	11/26/2019, 00:00:00
NG	Argungu	4.52514	average	12.74482	02/21/2019, 00:00:00
ES	Novelda	-0.76773	average	38.38479	2013/08/29
US	Middletown	-71.29144	accep	41.54566	2016-09-17
MG	Ambatondrazaka	48.41667	accep	-17.83333	2013-01-29
DE	Memmingen	10.18527	excellent	47.98372	2018/12/16
AM	Hrazdan	44.7662	building	40.49748	29 Aug 2017
IQ	Karbala	44.02488	accep	32.61603	02 May 2016
GB	Penzance	-5.53715	excellent	50.11861	2013-12-16
IN	Gajendragarh	75.96976	excellent	15.73628	04 Oct 2012
DE	Halstenbek	9.85	accep	53.63333	2019/10/03
DE	Bretten	8.70745	accep	49.03685	2022/07/14
CN	Longgang	120.33063	average	37.65181	03 Apr 2020
IT	Lanciano	14.39024	accep	42.22718	2021/03/21
JP	Motomachi	144.09638	excellent	43.82634	2022-08-26
DE	Bad Honnef	7.2278	average	50.64336	08 May 2021
IN	Gingee	79.41727	average	12.25282	2016-05-17
MG	Sakaraha	44.53333	accep	-22.9	2018-09-13
UA	Artsyz	29.41824	building	45.99194	22 Feb 2022
US	Bryn Mawr-Skyway	-122.24092	accep	47.4943	2020-05-28
RU	Solntsevo	37.38115	average	55.63711	2020-01-18
TD	Mongo	18.69303	building	12.18441	24 Aug 2021
CU	Varadero	-81.24441	accep	23.15678	05/02/2013, 00:00:00
US	South Lawndale	-87.71255	excellent	41.84364	2019/09/08
CD	Kamina	24.99798	accep	-8.73508	2017-08-28
CR	Liberia	-85.43772	excellent	10.63504	2022/02/04
BR	Aracaju	-37.07167	average	-10.91111	2018-05-19
DZ	Messaad	3.50309	maintenance	34.15429	25 Oct 2018
CL	San Bernardo	-70.6996	good	-33.59217	11/08/2019, 00:00:00
US	Palm Desert	-116.37697	excellent	33.72255	2016-09-01
IT	San Giuliano Milanese	9.29109	maintenance	45.39402	01/10/2017, 00:00:00
SY	Tadmur	38.28402	maintenance	34.5624	15 Feb 2015
IN	Calangute	73.7553	average	15.5439	2021/07/25
IN	Gajendragarh	75.96976	excellent	15.73628	2016-06-10
IT	Cordenons	12.70038	building	45.9836	06/08/2014, 00:00:00
CN	Jingzhou	112.19028	average	30.35028	2013/02/06
IN	Kenda	86.51499	maintenance	23.1959	09 Mar 2020
US	New City	-87.65644	good	41.80753	2021-10-20
BR	Catende	-35.71667	excellent	-8.66667	15 Dec 2019
ES	Tudela	-1.60452	accep	42.06166	2019-01-18
US	Kearns	-111.99633	good	40.65995	2013-03-04
SO	Baki	43.38531	excellent	9.89206	2016-01-31
CN	Jiangyan	120.14278	accep	32.50611	20 May 2015
AU	Carnegie	145.06667	building	-37.88333	04/05/2015, 00:00:00
PH	Calauan	121.3152	excellent	14.14989	2013-11-01
DK	Frederiksberg	12.53463	average	55.67938	2022/07/12
ID	Tebingtinggi	99.1625	average	3.3285	2019-11-28
UA	Lutsk	25.34244	excellent	50.75932	2017/02/22
DE	Siegburg	7.20769	average	50.80019	2014-03-11
PH	Santa Catalina	122.8637	good	9.3337	2020-12-14
IN	Kalavoor	76.32756	accep	9.57046	2013/10/12
UA	Svatove	38.15035	accep	49.41029	17 Oct 2016
TH	Roi Et	103.65309	good	16.0567	2022/03/21
RU	Ozersk	60.70278	accep	55.75556	12/08/2018, 00:00:00
IN	Sojat	73.66633	accep	25.92493	12 Nov 2016
PL	Jaworzno	19.27498	excellent	50.20528	04/11/2015, 00:00:00
FR	Pamiers	1.6	accep	43.11667	30 Jun 2021
PK	Daud Khel	71.57118	average	32.87533	2013-08-20
PH	Jagna	124.3697	accep	9.6531	2017/08/28
FR	Bron	4.91667	maintenance	45.73333	11/02/2018, 00:00:00
IN	Dharmapuri	78.15794	average	12.1277	2014/10/04
CA	Markham	-79.2663	average	43.86682	22 Oct 2012
IN	Tiruppuvanam	78.25795	good	9.82564	2015-04-24
ES	Caravaca	-1.86343	accep	38.10558	2017/12/02
US	Coralville	-91.58045	good	41.6764	2021/04/12
AU	Nowra	150.60036	accep	-34.88422	04 Feb 2013
RU	Ozersk	60.70278	average	55.75556	2017/05/01
CU	Corralillo	-80.58556	average	22.98212	2012-10-11
ES	Baza	-2.77259	good	37.49073	2015-05-13
US	Clermont	-81.77285	accep	28.54944	10/14/2019, 00:00:00
NL	Oldenzaal	6.92917	accep	52.31333	2017-09-21
CL	La Ligua	-71.23106	excellent	-32.45242	2013/04/12
US	Gilbert	-111.78903	excellent	33.35283	01 May 2016
TR	Yakuplu	28.67582	excellent	40.98894	03/22/2016, 00:00:00
US	Greenfield	-85.76942	building	39.78504	2018/06/08
CN	Tianfu	122.05228	excellent	37.19723	2013/06/09
IN	Madhipura	86.79271	accep	25.92127	2021/10/20
BR	Viradouro	-48.29694	average	-20.87306	2017-02-25
PK	Bhit Shah	68.49143	building	25.80565	22 Jan 2017
