CO	PRES	warning	NOx	Pb	CH4	PM2.5	C2H3NO5	NH3	TEMP	H2CO	SO2	longitude	PAHs	latitude	PM10	O3	CFCs
6.61318	1171.34243	1.00000	7.02166	20.36396	6.61656	8.29354	2.56546	7.39634	30.20614	55.38543	7.52087	11.37703	7.12366	48.06919	5.71979	8.85508	60.97620
5.81202	1060.40669	1.00000	4.78605	23.23405	7.72828	5.02752	3.15998	6.21480	29.57848	48.46737	5.57272	145.13643	10.97575	-38.16604	6.83832	7.65286	54.27663
6.74533	1162.19004	1.00000	9.47534	47.40727	6.96900	7.31661	31.32943	5.91068	8.82716	41.09238	9.04523	33	5.48287	-2.68333	10.35325	7.24839	84.40273
8.36550	1126.28012	1.00000	6.62207	18.39663	7.80585	8.66895	3.75528	7.31753	22.93300	33.07386	9.75975	-1.29772	4.36375	50.76306	7.86296	8.68905	67.53852
7.23768	1082.68374	1.00000	8.07884	47.46371	6.57312	6.88600	12.13550	5.29699	35.27785	48.24509	6.47763	-59.13316	7.71434	-37.32167	9.29037	8.80001	62.36016
5.15928	1127.41128	0.00000	7.99927	47.09199	7.79645	5.68333	1.45147	4.78182	-1.23160	44.07530	5.79519	74.80555	7.58690	34.08565	5.19806	2.87197	57.20012
7.04874	1151.83739	1.00000	6.34555	70.30901	5.93760	9.66990	3.32588	7.79219	31.77594	47.41633	10.15331	-73.86586	2.64572	45.43341	7.30269	8.49824	67.47186
6.59752	1182.48918	1.00000	9.10606	19.42500	8.24606	8.20853	3.70139	5.87996	5.08590	51.29133	8.62524	120.74221	5.72887	31.64615	7.71960	6.78922	65.57835
7.41847	1128.34791	0.00000	7.09933	58.18774	8.12799	8.45320	2.04286	6.16139	4.65634	43.07412	6.71355	15.87735	7.04703	4.94273	4.15597	10.41818	59.95412
5.52246	1129.18924	1.00000	8.45829	52.34768	6.99114	9.80932	3.00466	7.06887	24.63764	53.74496	8.77266	-52.20639	2.59462	-3.20333	6.83268	8.73496	58.79771
5.47383	1066.82109	0.00000	7.02669	59.40149	5.82914	5.52121	1.62186	6.44749	3.80398	75.11538	4.21970	76.35484	10.41054	10.10649	4.94896	7.71233	51.42474
7.88917	1094.39224	0.00000	7.45717	39.39381	7.15492	7.83977	0.95855	6.02533	11.47350	54.08000	5.43813	76.11996	4.38519	11.12018	2.98745	8.09908	65.34145
6.53558	1179.20537	0.00000	7.46055	50.34448	9.43963	7.72639	1.78911	7.43682	24.49770	46.39860	7.31727	76.03889	5.60486	18.18158	3.86993	10.20822	68.75737
7.01094	1182.48520	1.00000	3.34090	58.80911	7.21610	2.95590	2.31861	6.24522	6.21175	15.03545	3.09399	85.4265	6.88111	55.8736	4.36310	7.91461	63.84325
6.59149	1185.46524	1.00000	9.03152	52.20697	6.05720	7.88147	2.86096	7.01273	37.88837	45.25473	5.74416	24.99798	5.33450	-8.73508	7.48133	6.88292	65.60542
5.56307	1133.01685	0.00000	5.49570	54.93538	5.78884	7.53441	1.73819	6.90058	15.55233	59.11507	4.41339	113.69785	5.42912	-7.73379	5.39127	6.30461	72.78614
3.83103	1115.45443	1.00000	9.59899	46.38422	9.00077	8.63878	3.78773	7.79377	-3.67204	44.17426	5.50346	91.00632	6.05650	26.32293	7.65660	7.11274	62.89192
6.92501	1142.08715	0.00000	7.75228	68.80093	7.52546	8.07069	2.03365	7.35131	9.95074	45.43914	7.03755	-84.13722	6.64797	9.92787	4.12102	9.85738	58.94178
6.36441	1111.55062	0.00000	3.57858	40.52512	7.19381	8.65648	2.56749	8.82102	2.89278	41.71141	5.05374	-73.86586	4.04213	45.43341	7.16581	7.72008	67.30061
7.54455	1145.68888	0.00000	10.12447	47.50653	6.45123	7.16892	1.93465	5.27471	24.92712	45.26466	6.67850	8.62118	8.66092	45.44694	5.79650	4.65906	78.14665
8.08599	1128.28769	1.00000	5.08375	37.44732	6.63313	6.70168	0.85340	8.54560	6.84914	42.38892	5.58400	-117.54866	6.67894	33.93113	3.57317	8.76957	65.94901
8.23671	1111.69977	0.00000	6.18661	45.75947	6.38522	5.85321	1.81112	7.76680	14.49916	46.43879	3.82395	9.47629	6.59084	53.59337	3.27751	2.69075	54.54242
6.47890	1078.17204	1.00000	6.42823	52.81431	6.53544	6.54272	21.29092	7.82278	11.39265	51.98594	8.32641	-75.87877	5.76907	5.6561	9.92397	7.23350	59.44475
5.18554	1162.01897	1.00000	6.16981	46.55339	7.03543	3.94475	0.83486	7.11427	28.61618	52.27499	4.96315	145.13643	10.04689	-38.16604	5.95723	6.18205	83.67092
7.68279	1152.78731	0.00000	6.04851	52.36531	5.13352	7.28619	3.82045	6.48239	0.81560	61.74224	6.57175	-2.68758	6.23886	53.69786	7.32978	10.76085	69.60458
6.18828	1147.48672	1.00000	2.92182	44.22793	6.58494	3.59334	2.11573	7.08414	10.50624	50.46889	3.77361	10.18003	9.15785	24.96334	5.49999	7.34063	53.00653
4.17068	1080.46178	0.00000	4.75872	59.20469	6.98030	8.57746	2.96739	5.47730	4.23342	43.54701	6.61142	178.00417	7.43530	-38.65333	6.63640	6.15809	57.71521
6.49893	1174.61809	1.00000	6.60873	47.99388	7.24786	6.98222	1.98898	4.83704	18.37607	46.42040	6.39274	-86.78777	7.23806	33.44872	4.13480	9.93772	62.16365
6.85545	1084.59147	1.00000	11.26460	48.89042	5.88579	7.76086	9.55613	8.91342	17.13610	37.31377	7.92281	120.03308	4.34785	28.88162	9.09397	5.54448	53.26137
6.09394	1186.41983	1.00000	3.38125	63.70314	8.81197	4.72367	2.29276	7.06488	17.19015	39.16992	4.42727	-75.64963	9.58429	40.24537	6.16603	8.09455	61.65155
7.40182	1056.41741	1.00000	5.15115	47.47134	5.96730	8.28415	1.66762	7.42718	13.38137	73.09811	6.48894	5.03586	4.32389	43.83125	2.85191	12.77659	65.77378
7.55176	1121.51330	1.00000	10.79039	70.99477	7.11367	8.88965	4.54162	6.94495	14.82009	41.49671	7.48929	48.26258	5.26235	33.86419	7.85201	8.04341	60.37434
5.88887	1056.51541	0.00000	4.87107	79.01792	6.94173	8.19316	1.63423	6.13401	17.97727	42.35163	5.10606	41.77921	4.10307	41.82143	5.28520	5.65028	51.84673
7.07632	1058.01557	0.00000	5.34788	55.18178	6.29655	7.57378	2.04853	5.70932	6.92861	64.06686	4.69620	18.34717	3.72220	54.60528	4.79388	8.29712	49.39495
7.55783	1195.83327	1.00000	8.96061	64.14999	6.51087	8.16838	2.25464	6.96204	11.84039	22.31714	7.93823	-65.61427	6.67042	-27.4338	7.39735	7.35185	63.01783
6.30121	1094.75648	0.00000	3.20599	29.04557	6.32576	9.02796	2.44916	5.51344	22.60541	50.15892	5.39378	18.84	5.26124	42.28639	6.49431	4.69541	76.21587
8.42303	1114.24765	1.00000	9.90102	64.36696	4.24866	8.74090	3.51249	6.38743	15.96732	47.52842	6.50494	101.96857	4.16253	4.88441	7.63671		55.35398
6.42849	1162.54729	0.00000	4.07529	40.15892	5.99764	7.95826	1.81848	7.46206	23.76764	60.94004	3.77604	-73.86586	2.51474	45.43341		7.98901	61.66511
7.17062	1077.88125	1.00000	8.91160	32.03156	9.38954	7.53802	4.25049	5.61902	5.58210		6.48880	9.72749	6.31669	48.28259	7.92619	7.61253	49.26002
5.96989	1162.52125	0.00000	7.47315	57.02159	6.27011	6.97229	2.28181	7.63874	17.25466	46.01644	5.07934	120.74221	8.89179	31.64615	3.94622	3.31862	64.66885
6.74281	1071.70713	1.00000	11.68788	36.02745	6.96207	7.80550	10.54842	6.77719	6.67458	59.12007	6.70787	-42.19667	5.90113	-21.41222	9.13427	7.91830	87.30592
6.44717	1104.57933	1.00000	5.41698	44.38314	7.06779	7.33330	2.22948	8.32745	0.64386	32.95102	6.86679	126.835	6.25920	37.65639	5.91857	8.88893	62.08651
7.46591	1141.49351	1.00000	8.48982	12.53361	5.82662	5.61335	43.60284	6.91413	20.04352	33.77108	5.74350	120.5875	7.32098	16.455	10.71398	7.67836	62.41246
5.27386	1199.80497	0.00000	3.71904	44.02999	8.95046	8.43579	1.59892	6.77283	10.91675	49.88121	4.53811	43.2379	5.04660	50.06	5.56465	9.79139	60.64039
6.31028	1122.19954	0.00000	6.41179	50.84002	9.08846	8.37672	1.47829	7.18536	15.74790	51.08616	6.25475	24.6522	6.75623	60.2052	4.19286	10.22216	55.98528
8.17147	1057.91940	0.00000	8.95288	35.40692	6.61292	5.04120	2.71676	6.73957	2.71664	41.24532	5.86997	24.95034	8.29846	60.18427	6.85165	5.54171	68.00540
7.70576	1182.78016	0.00000	6.16315	37.03517	5.68983	5.82041	1.51631	6.39586	17.62594	64.92454	6.21411	0.47713	8.32452	51.39323	3.71601	7.03587	65.17172
6.82033	1144.91490	0.00000	10.88780	54.67530	6.65314	8.71050	2.32373	7.50572	29.09911	38.82339	6.06505	25.34244	10.07722	50.75932	5.47664	5.70527	78.19853
6.64101	1103.12650	1.00000	3.25151	37.03307	7.53748	2.52105	3.66841	5.59352	8.71125	21.83702	3.70062	112.73333	11.49825	38.40917	7.64611	6.08460	64.02144
6.95457	1103.00994	1.00000	5.82320	27.44795	5.80018	7.34819	1.13972	7.89503	-0.08846	24.69257	6.50607	-87.882	7.45237	41.85059	4.24546	10.01012	50.59858
