QoS	location	latitude	code	longitude	revision
average	Europe/Warsaw	50.86079	PL	17.4674	2015-02-18
excellent	America/New_York	39.32011	US	-76.51552	2018/11/10
maintenance	Europe/Kiev	49.07866	UA	30.96755	2018-08-11
excellent	America/Caracas	8.62261	VE	-70.20749	22 Jul 2022
good	Europe/London	51.78967	GB	1.15597	2019/01/02
average	America/Bogota	8.79577	CO	-75.69947	2020/04/08
excellent	America/Los_Angeles	34.09611	US	-118.10583	2015-04-23
good	America/New_York	42.93369	US	-72.27814	2017/09/16
building	America/New_York	30.17746	US	-81.38758	2019-07-11
good	Europe/Berlin	53.63333	DE	9.85	2019/04/24
excellent	Africa/Tunis	36.46917	TN	10.78222	09/13/2014, 00:00:00
average	Europe/Brussels	51.12794	BE	4.21372	2013-06-11
accep	Europe/Samara	53.37596	RU	51.3452	2014/09/16
maintenance	America/Detroit	42.7392	US	-84.62081	12 Dec 2014
maintenance	Asia/Kolkata	15.45144	IN	78.14797	2015/04/16
good	Europe/Moscow	55.63711	RU	37.38115	24 Jun 2020
maintenance	Europe/Moscow	54.84444	RU	38.16694	2020/12/30
excellent	America/Fortaleza	-4.24444	BR	-42.29444	2018/12/12
good	Africa/Tunis	35.72917	TN	10.58082	24 Dec 2012
accep	America/Porto_Velho	-8.76194	BR	-63.90389	15 Apr 2021
building	Africa/Kampala	2.41669	UG	30.98551	2017/09/21
average	Africa/Dar_es_Salaam	-10.33333	TZ	39.28333	2019-08-21
average	Europe/Berlin	49.03685	DE	8.70745	2021-09-14
accep	Africa/Nairobi	3.11988	KE	35.59642	10/31/2018, 00:00:00
good	Europe/Andorra	42.50729	AD	1.53414	11/04/2014, 00:00:00
excellent	America/New_York	40.68066	US	-73.47429	02/02/2014, 00:00:00
average	America/Bogota	10.15031	CO	-73.9614	2019/05/28
accep	America/Sao_Paulo	-21.41222	BR	-42.19667	09/08/2017, 00:00:00
good	America/New_York	41.48199	US	-81.79819	21 Sep 2019
accep	America/Managua	13.48082	NI	-86.58208	2020/09/06
good	America/Lima	-11.94306	PE	-76.70944	2013-11-23
accep	America/Port-au-Prince	18.57677	HT	-72.22625	2016-10-16
average	Europe/Sofia	41.57439	BG	24.71204	2021/12/21
good	Europe/Podgorica	42.28639	ME	18.84	12 May 2014
excellent	Europe/Moscow	53.95278	RU	32.86389	2015/11/12
excellent	Africa/Khartoum	11.8659	SD	34.3869	2019/04/24
excellent	America/Chicago	47.92526	US	-97.03285	2017-03-21
excellent	America/Denver	40.65995	US	-111.99633	27 Jan 2015
average	Europe/Vilnius	55.25	LT	24.75	31 Jul 2018
good	America/Mexico_City	19.32932	MX	-98.1664	05/11/2018, 00:00:00
accep	Asia/Novokuznetsk	55.8736	RU	85.4265	01/16/2014, 00:00:00
maintenance	Asia/Jakarta	-7.81667	ID	112.01667	2015-02-05
accep	Asia/Jakarta	-7.54972	ID	110.71639	2019/05/09
excellent	America/Jamaica	18.00747	JM	-76.78319	2013/06/06
maintenance	Africa/Tunis	37.16911	TN	10.03478	11 Sep 2017
good	Asia/Shanghai	37.65181	CN	120.33063	2012-12-07
average	Europe/London	52.66277	GB	-2.01111	2015/08/27
maintenance	Africa/Casablanca	33.42585	MA	-6.00137	26 Feb 2022
average	Africa/Tripoli	30.75545	LY	20.22625	2014-04-06
maintenance	Asia/Shanghai	45.75279	CN	130.57211	05/16/2017, 00:00:00
excellent	Europe/Rome	37.31065	IT	13.57661	15 Jun 2019
average	America/Caracas	8.62261	VE	-70.20749	2019-10-31
excellent	Asia/Kolkata	26.2649	IN	81.54855	24 Jul 2013
maintenance	Europe/Berlin	52.59319	DE	13.32127	04/02/2022, 00:00:00
excellent	Asia/Tokyo	33.3213	JP	130.94098	2020/06/04
accep	Asia/Almaty	47.46657	KZ	84.87144	18 Aug 2020
accep	Asia/Kolkata	25.6439	IN	77.9129	2013/10/31
good	Asia/Seoul	36.82167	KR	128.63083	2018/07/27
accep	Asia/Kolkata	10.10649	IN	76.35484	2013/03/16
good	Asia/Shanghai	37.30553	CN	120.82747	06 May 2013
building	Europe/Berlin	49.13645	DE	8.91229	04 Jul 2021
building	Asia/Kolkata	21.34222	IN	71.30633	2013-05-27
good	America/Los_Angeles	47.80527	US	-122.24064	22 Oct 2019
excellent	Europe/Kiev	49.07866	UA	30.96755	17 Dec 2014
average	Europe/Brussels	50.56149	BE	4.69889	10 Nov 2015
good	America/Chicago	47.92526	US	-97.03285	02 Jan 2020
excellent	Europe/Rome	42.67164	IT	14.01481	2022-06-27
average	Asia/Kolkata	18.87813	IN	72.93924	22 Nov 2016
accep	Asia/Kolkata	22.75218	IN	72.68533	2019-11-18
accep	Europe/Vilnius	54.39635	LT	24.04142	2018-02-21
average	Asia/Vladivostok	45.47885	RU	133.42825	2021/05/30
excellent	America/New_York	39.08367	US	-84.50855	09 Jan 2018
accep	America/Sao_Paulo	-22.57306	BR	-47.1725	2015-04-25
good	Europe/Moscow	55.62047	RU	37.49338	01 May 2016
excellent	America/Havana	23.04419	CU	-82.00919	2015-03-24
accep	Europe/Chisinau	48.15659	MD	28.28489	2018/04/26
building	America/New_York	40.57788	US	-73.95958	2015-05-23
average	Europe/Madrid	43.48961	ES	-8.2194	2019-01-07
building	Africa/Lagos	11.86064	NG	9.0027	2021/11/01
good	America/Tegucigalpa	15.48131	HN	-86.57415	11 Jul 2014
average	Europe/Rome	41.72063	IT	12.6723	2019-08-16
accep	Africa/Lagos	7.50251	NG	5.06258	01 Feb 2018
good	Asia/Riyadh	27.0174	SA	49.62251	2015-05-28
maintenance	America/Manaus	-3.14306	BR	-58.44417	2017/07/10
