PM10	NH3	CH4	NOx	latitude	O3	SO2	CO	PRES	warning	Pb	TEMP	PM2.5	C2H3NO5	PAHs	CFCs	H2CO	longitude
5.72362	8.18207	5.13597	7.78158	55.64776	6.68381	6.94956	5.83076	1199.08954	0.00000	60.85875	18.07656	7.80425	6.46497	8.48082	70.51413	57.07599	38.02486
5.54628	7.12472	5.74217	8.28436	50.11861	8.30190	8.01081	5.83012	1128.14770	1.00000	44.11641	34.99113	6.22549	6.77434	7.84002	43.98569	62.50474	-5.53715
5.53984	4.05893	7.22895	7.19827	46.7055	6.75762	5.74834	6.57098	1067.26509	1.00000	66.66971	16.67040	6.41890	5.75723	6.51661	54.25891	26.78931	38.2739
6.23254	4.45671	5.23228	7.70842	53.30972	5.99276	6.35205	6.97219	1095.39362	1.00000	53.16857	9.46573	7.18263	4.84654	4.17506	29.34740	45.15058	83.62389
7.05280	7.58221	8.05498	7.19020	42.50729	6.83780	6.89988	6.06863	1173.85917	1.00000	55.35362	7.22472	7.83098	8.92378	6.46943	49.87641	46.36387	1.53414
5.47363	8.86978	1.15245	5.92930	26.44931	8.25518	9.03529	1.94367	1184.66162	0.00000	62.65621	10.21605	7.19652	5.73725	6.67229	46.94109	40.62197	91.61356
9.13866	7.07282	4.94396	8.17984	13.8196	8.09659	4.50207	5.12880	1080.22680	1.00000	71.86152	13.05131	5.78462	26.90159	6.61284	54.12517	67.66314	100.04427
5.73699	7.46027	5.03084	5.67877	26.9423	7.29322	6.32426	5.22916	1074.77093	0.00000	45.13663	-6.16782	6.76080	4.78350	9.03366		53.07712	68.11759
6.26064	3.22779	5.73098	6.47284	8.56697	7.10597	8.50407	6.21992	1093.07831	1.00000	8.74365	25.69246	7.02213	7.31099	4.84287	59.06911	83.79470	123.33471
5.54675	5.51161	7.12982	8.45961	30.17746	7.48060	8.32622	5.93740	1123.94585	1.00000	66.06412	15.20216	6.95290	5.20718	5.57449	67.50183	52.99621	-81.38758
7.91581	7.89647	6.06931	8.49317	-4.16694	6.20914	5.73730	6.07909	1199.44632	0.00000	44.86772	8.95803	9.04630	12.33586	7.93785	52.62523	38.96236	-40.7475
9.41097	9.85502	3.64777	7.72783	44.85278	7.66513	7.57397	2.99798	1175.56868	1.00000	54.07127	25.25090	9.49090	36.57768	6.21500	36.98750	26.06210	65.50917
8.11392	7.30128	4.90707	10.95385	33.03699	5.87983	7.38792	8.03746	1186.95325	1.00000	55.72174	20.67906	8.40296	13.25146	5.06288	36.81676	47.43708	-117.29198
4.81333	9.38682	5.78534	7.08142	41.72063	9.09604	6.41474	6.24614	1072.56217	0.00000	54.55998	23.73712	6.46782	6.16662	9.08045	36.98402	31.81269	12.6723
8.78362	6.64719	4.93440	6.02235	43.54072	6.70146	7.74601	6.89078	1158.05899	1.00000	27.91419	14.45316	7.96847	22.47356	3.94303	50.82043	40.78474	-116.56346
7.03506	7.01234	5.00203	9.84962	52.4581	8.58248	7.42965	4.80022	1147.11853	0.00000	75.25351	13.72417	7.27995	9.37212	8.71169	47.98784	44.19120	13.28702
4.85484	8.75461	6.83746	5.15750	52.41667	7.58437	7.74402	7.43267	1084.75235	0.00000	52.44771	6.81397	5.84153	5.86795	8.70643	40.24858	42.03289	0.75
8.96297	9.46306	5.71780	6.38194	47.98372	5.30902	8.25963	3.59154	1079.53447	1.00000	43.65310	10.63545	5.48160	24.36757	6.21416	59.80874	64.69724	10.18527
6.90569	5.46220	6.76972	6.34424	4.2475	5.80747	6.71609	6.92948	1076.72126	1.00000	38.66819	26.13800	8.44292	5.60436	5.94191	27.28045	22.83255	9.00472
8.65469	7.14488	6.77126	6.77757	55.82885	5.56177	7.48378	5.03583	1143.47807	1.00000	51.57884	20.93559	6.61098	17.55581	6.74006	44.53291	33.57639	-4.21376
4.48427	5.25544	5.41967	9.81287	-34.74785	4.43053	7.85447	5.67196	1092.91699	1.00000	51.94352	10.98661	7.35424	5.00281	6.77094	42.68037	63.96636	-58.70072
8.34468	9.78928	4.31234	9.13701	34.9	8.12071	8.81303	6.45514	1116.06687	1.00000	41.49518	16.39686	9.39793	13.89113	4.65547	64.27454	44.68189	137.5
6.18740	8.64395	7.26017	4.37063	40.64621	7.04872	7.15203	5.00391	1068.69745	0.00000	31.25144	3.84708	5.81246	6.10911	9.81114	45.12131	40.48615	-73.97069
5.50778	7.63415	6.46627	5.62149	40.34912	7.36917	5.54816	5.58087	1155.27423	0.00000	63.16739	9.53490	5.65114	4.48252	8.78156	19.57065	51.61211	-111.90466
5.56921	8.04382	4.86944	10.43518	40.64621	7.49205	8.93980	5.47301	1183.71821	1.00000	49.80665	6.82057	5.81379	3.09155	5.24396	50.71434	50.34707	-73.97069
7.16271	8.30733	6.93114	9.43369	52.59319	7.57968	8.10849	8.71484	1150.86243	1.00000	61.78888	22.16158	7.55941	7.91458	4.35714	56.14947	61.53335	13.32127
9.04238	9.14647	4.48130	8.52023	33.93113	5.04824	7.62372	4.84616	1158.10218	1.00000	57.61284	25.40757	7.74961	25.22885	7.19132	50.74012	47.90796	-117.54866
8.42297	7.43484	3.75075	6.20346	54.58048	7.42299	8.04933	4.26193	1157.07878	0.00000	36.92321	9.80432	8.81962	14.82218	9.22395	45.09699	68.69057	16.86194
8.18642	6.63105	5.95971	10.01104	46.1351	6.64541	6.11082	6.90703	1176.55959	1.00000	72.32557	21.58374	8.09461	15.20474	6.07532	45.40247	46.74543	-60.1831
5.01123	11.31234	5.62739	3.98551	32.65246	4.61376	7.35417	7.69748	1074.06135	0.00000	44.55221	11.49961	5.72098	4.49800	8.46212	64.23964	59.80901	51.67462
3.55374	6.40931	8.52365	4.16051	41.09822	7.46823	5.42695	6.51806	1083.52329	0.00000	62.58872	12.46453	6.32617	2.84221	10.44334	45.53642	37.71570	120.74792
4.54435	4.94985	5.01389	9.00366	36.76775	7.80546	8.27569	6.71993	1053.41166	1.00000	22.84532	29.54254	4.98038	8.03547	5.38735	51.42829	39.14685	2.95924
8.42032	10.52390	6.61417	6.08444	44.59445	5.51843	8.05389	4.47398	1172.47062	1.00000	66.97970	25.76288	7.67263	17.24275	7.63498	27.91959	62.04650	11.04979
4.84953	7.86126	5.46284	6.12307	44.43579	7.05721	8.62565	6.47915	1092.16193	0.00000	44.18683	19.99160	6.09434	4.04598	8.08798	52.97439	67.14130	26.01649
6.21597	7.58311	5.49911	9.49231	-6.48167	8.52799	5.55165	5.21369	1071.39821	0.00000	32.32607	1.10651	7.33212	5.08100	7.69378	42.22523	63.97391	106.85417
7.33613	7.45527	9.20066	7.63681	13.51825	5.79621	8.16569	8.12281	1195.33714	1.00000	34.05397	18.98635	6.50740	7.03061	6.57704	31.27723	38.97532	99.95469
4.80943	6.37416	2.65479	9.73990	19.04222	8.03514	7.28007	6.69342	1191.69211	1.00000	51.16371	9.49529	6.84734	2.79235	6.68077	18.30747	49.32927	-98.11889
6.04669	11.28310	5.24584	6.32258	19.04222	6.43374	6.17801	5.80383	1090.14333	0.00000	26.78871	11.34098	7.56543	7.46813	6.23291	40.78180	54.58372	-98.11889
6.80574	8.65753	5.08217	5.22023	52.2	7.57182	7.12855	5.81250	1094.25260	0.00000	47.78804	-8.34324	7.34955	8.49774	9.06673	57.47205	36.89877	8.63333
7.68704	4.51101	7.25068	5.35820	59.80917	7.27472	8.60265	6.48373	1162.69059	1.00000		6.16055	6.20935	8.01117	5.12577	33.67661	60.18425	30.38167
6.77628	7.56236	6.51477	4.93284	37.56667	7.11279	7.42125	4.48832	1117.17299	0.00000	39.92430	21.75532	9.40367	4.65417	10.10148	38.88491	35.27167	140.11667
5.03035	6.90280	5.23271	6.47171	30.17746	7.16141	9.04459	6.37523	1160.87347	0.00000	51.97002	16.26613	7.23146	5.94039	8.41813	38.71629	52.10598	-81.38758
6.13610	10.45056	7.01046	6.14072	23.18	6.20680	6.61202	7.51872	1166.26367	0.00000	55.89894	13.77121	6.74573	8.85620	9.56178	45.63906	68.25884	88.58
6.08277	6.07648	4.05690	8.95065	41.09246	7.72917	5.98694	4.86559	1181.75313	1.00000	69.63864	21.37509	6.26466	3.43681	5.24523	34.81561	59.50717	45.36561
6.15276	5.70111	7.54928	7.73834	-7.81667	7.79574	7.41045	5.60990	1175.40965	1.00000	21.35009	0.22777	6.94160	6.90860	6.00692	41.65047	45.70720	112.01667
7.37616	8.26721	8.60341	8.57768	18.57677	6.06693	7.28796	7.50869	1164.86686	1.00000	34.76882	2.36641	6.74128	5.14242	6.72429	40.70919	69.27547	-72.22625
5.61045	8.48633	7.28023		33.92866	6.98975	7.64731	6.22029	1079.14419	0.00000	16.01669	11.24201	7.67033	3.45990	9.40461	36.83126	47.52115	-6.90656
6.29572	8.42399	3.38024	5.47322	41.50343		7.56606	4.82519	1176.76556	0.00000	34.52002	4.01773	5.80731	3.42636	8.79351	60.60542	37.93645	-74.01042
5.85995	5.39597	4.14034	7.59294	51.95838	8.38802	6.95942	6.58185	1149.17809	1.00000	46.28585	27.49152	6.31495	4.38205	5.51726	46.41522	61.21164	4.47124
8.73194	8.93216	3.99043	9.26951	37.16911	6.51427	7.64488	4.86369	1057.23642	1.00000	25.79292	17.09720	8.36627	19.40633	5.09678	44.48116	27.33624	10.03478
4.42478	10.96916	4.82369	4.76525	23.07492	6.32394	6.99545	5.85374	1059.36664	0.00000	18.79482	14.97619	9.60511	3.43811	7.47665	23.84323	64.32133	88.28637
3.43909	10.04534	7.15490	7.38318	3.27833	6.85297	6.94150	9.04027	1182.74282	0.00000	75.31694	32.48802	6.68049	3.61639	5.45482	33.80224	32.93005	32.88667
6.64877	7.60809	4.97851	9.23180	52.2	6.31850	6.00419	4.46376	1171.81168	0.00000	73.85720	11.61979	7.36498	4.39491	8.00400	51.98642	54.68144	8.63333
8.51372	9.22585	4.40277	9.14994	53.69786	6.12329	6.89572	5.97293	1129.62303	1.00000	49.72123	11.27418	7.40284	14.43529	6.08037	67.90448	46.86416	-2.68758
5.30385	6.56210	4.09903	9.17446	52.2	6.11511	6.86604	5.66809	1127.91698	0.00000	44.09342	8.38000	7.85849	3.79250	6.94938	63.87533	34.00728	8.63333
4.57435		4.32453	11.21786	5.90702	6.07746	7.09582	5.33272	1101.33809	1.00000	47.73094	22.72223	7.19342	5.40363	4.62770	61.22470	51.06567	116.10146
