latitude	location	longitude	station	QoS	revision
50.75767	Europe/London	-1.5443	Lymington	accep	16 Apr 2015
4.92675	Africa/Lagos	6.26764	Yenagoa	average	24 Apr 2017
8.35122	America/Caracas	-62.64102	Ciudad Guayana	average	09/27/2019, 00:00:00
26.11527	Asia/Kolkata	86.59509	Supaul	excellent	2019-01-25
-17.83333	Indian/Antananarivo	48.41667	Ambatondrazaka	excellent	11 Jun 2014
49.41029	Europe/Zaporozhye	38.15035	Svatove	excellent	2022-01-08
56.85836	Europe/Moscow	35.90057	Tver	average	09/18/2018, 00:00:00
32.44874	America/Chicago	-99.73314	Abilene	average	22 Jun 2017
42.819	Europe/Moscow	47.1192	Buynaksk	accep	09/24/2018, 00:00:00
41.54566	America/New_York	-71.29144	Middletown	accep	2014/10/15
36.6009	Asia/Seoul	126.665	Hongseong	maintenance	11/04/2015, 00:00:00
-21.44345	America/La_Paz	-65.71875	Tupiza	average	11 Jan 2018
55.8736	Asia/Novokuznetsk	85.4265	Yashkino	accep	2019/01/27
36.20829	America/Los_Angeles	-115.98391	Pahrump	average	08/04/2017, 00:00:00
37.05944	Europe/Istanbul	37.3825	Gaziantep	building	2015/03/24
6.46838	America/Bogota	-73.26022	Socorro	building	2020/01/17
41.48199	America/New_York	-81.79819	Lakewood	excellent	2022-02-15
44.59445	Europe/Rome	11.04979	Castelfranco Emilia	excellent	04/19/2019, 00:00:00
41.72063	Europe/Rome	12.6723	Ariccia	excellent	06 Feb 2022
-10.95817	America/Bahia	-38.79084	Tucano	accep	2015/07/28
35.82756	Asia/Tokyo	137.95378	Ina	excellent	2018-12-08
27.09978	America/New_York	-82.45426	Venice	good	2018/03/07
53.78333	Europe/London	-1.06667	Selby	good	15 Aug 2014
27.85	Asia/Shanghai	112.9	Xiangtan	accep	25 Feb 2022
30.16688	America/Chicago	-96.39774	Brenham	excellent	21 Jul 2020
43.31667	Europe/Madrid	-2.68333	Gernika-Lumo	accep	01 Jun 2021
50.56149	Europe/Brussels	4.69889	Gembloux	accep	02 Apr 2016
-33.79176	Australia/Sydney	151.08057	Eastwood	good	2017-07-25
7.57944	Africa/Monrovia	-8.53778	New Yekepa	building	21 Apr 2019
0.46005	Africa/Nairobi	34.11169	Busia	accep	2015-10-31
26.9423	Asia/Karachi	68.11759	Tharu Shah	accep	2022/05/31
52.48173	Europe/London	-2.12139	Brierley Hill	excellent	2021-10-07
4.92675	Africa/Lagos	6.26764	Yenagoa	average	2013/12/14
35.06667	Asia/Tokyo	135.21667	Sasayama	accep	2015/02/09
42.06166	Europe/Madrid	-1.60452	Tudela	good	05/12/2019, 00:00:00
29.22254	Asia/Kolkata	79.5286	Haldwani	accep	06/26/2018, 00:00:00
