Pb	CO	TEMP	NH3	PM10	CFCs	SO2	PAHs	PRES	NOx	H2CO	C2H3NO5	longitude	O3	CH4	warning	latitude	PM2.5
59.34863	9.51904	2.96518	5.39784	8.01711	64.77923	10.26302	9.83966	1162.58231	9.17277	22.29732	4.41178	-71.10077	5.70546	7.23371	1.00000	18.20854	10.19995
22.14480	8.07868	2.38800	6.41912	7.79730	36.25689	5.74755	8.78241	1196.80798	8.10496	37.33534	4.07343	-89.66123	7.08546	6.98043	0.00000	21.28306	9.54006
47.92010	9.32475	12.87460	5.42674	6.76012	56.80547	9.33569	10.56663	1160.98101	8.70268	45.87839	2.75218	86.51499	4.87460	7.06118	1.00000	23.1959	8.82808
19.89437	9.33018	23.88591	6.69054	4.59808	52.17452	5.71141	5.45487	1122.14759	8.74477	72.30004	2.12621	28.19028	7.75459	6.05212	0.00000	59.37722	6.35271
47.05606	8.72147	22.38980	5.20223	6.96937	39.83995	6.29028	6.61090	1168.80269	8.91273	45.88079	2.09092	-116.21677	6.53272	8.47587	1.00000	33.7207	9.09011
44.07398	5.06708	8.49675	11.62200	7.38463	68.53106	4.12888	9.13914	1095.60651	10.02437	29.86862	2.43157	-88.64235	7.22926	8.32564	1.00000	46.09273	5.12146
54.07306	5.70878	11.73165	10.12175	5.91133	31.13702	4.08458	7.69784	1182.09077	7.90051	61.91804	2.17100	29.91582	6.73843	7.89788	1.00000	31.20176	5.22725
54.03872	8.89341	46.25329	6.85963	5.00323	54.71246	6.22713	9.86065	1160.61756	9.55952	45.06334	1.73699	43.38531	7.31351	7.12621	0.00000	9.89206	7.15352
63.17130	5.74376	20.41867	9.82304	8.50347	43.22936	6.73471	9.89048	1187.26951	10.03941	38.75692	6.56457	38.66667	6.81149	6.61058	1.00000	-6.25	5.62946
56.04806	6.16687	20.35210	12.09843	6.35617	53.60370	7.68241	9.29780	1092.32677	8.17342	38.11015	2.74744	32.88667	6.88933	7.84740	0.00000	3.27833	7.12494
25.94083	4.57328	2.02581	7.58966	8.21055	46.04704	5.55039	8.05943	1197.04261	6.73114	23.90765	4.11869	-4.1	7.71629	6.08894	1.00000	48	5.51167
50.42396	9.40653	4.47672	3.94040	7.74555	66.36123	5.73526	7.44930	1144.73666	8.23952	30.50063	3.75100	15.16554	6.62550	6.03450	0.00000	-4.5833	9.80207
54.82938	7.26975	14.86925	6.23201	5.60797	55.32234	7.48790	7.33761	1126.63570	10.04185	34.23465	1.49249	18.69303	8.55635	6.95881	1.00000	12.18441	9.24193
43.82030	9.83707	21.96430	2.50454	8.13515	58.25921	5.62196	6.46997	1125.41536	6.43754	45.27586	3.50468	30.91105	8.52071	8.57945	0.00000	3.02013	11.15865
59.63418	9.08000	8.61257	4.92169	8.87467	54.46772	5.24173	8.97898	1192.60004	7.82011	54.74545	7.94126	136.13108	8.74002	8.67988	0.00000	34.75856	7.55923
16.58402	7.32846	17.53521	12.22823	6.49415	43.66792	3.76215	5.43103	1097.77724	10.27630	63.16332	2.48339	137.5	6.59235	6.29957	0.00000	34.9	3.87333
64.15643	10.31624	-1.60435	8.24061	7.32004	40.01893	7.63081	6.55182	1184.39737	6.99131	33.65058	2.30104	3.50309	7.35370	8.46205	0.00000	34.15429	7.97486
48.84423	9.75623	-1.02031	6.62480	6.87814	36.23454	6.36985	6.21709	1086.27676	11.83002	36.86453	2.15595	128.62667	6.33391	7.46125	0.00000	34.8825	6.38047
10.38647	9.02553	16.60663	5.56885	6.51541	31.98634	8.17107	7.19345	1074.65695	9.65864	67.89026	1.96903	39.8302	7.88009	7.34979	1.00000	64.5635	7.19581
59.00265	6.93731	27.70904	5.31669	7.22137	63.82342	6.84823	7.26638	1182.79049	11.66460	52.65973	2.85225	109.05389	6.57502	7.28562	1.00000	-7.51611	9.17425
60.25978	5.27662	9.45602	9.65776	6.75272	49.16392	4.89753	10.48341	1109.53306	9.32739	45.25254	2.22871	120.03308	5.00258	7.47267	1.00000	28.88162	4.96768
24.56914	8.74721	32.22215	7.84380	6.25939	45.53900	5.34511	7.38041	1133.85434	6.62020	47.11506	1.97593	43.2379	8.75957	7.41231	0.00000	50.06	5.48527
37.90494	8.60690	11.11606	4.10865	7.78912	64.66053	6.41348	7.02973	1199.67622	6.17800	49.32672	3.61757	33.2525	6.32919	7.56757	0.00000	57.97472	12.66273
53.68333	6.16558	24.40956	7.56029	8.11132	45.82017	7.50352	5.74713	1072.98964	11.20043	43.36083	4.79204	78.23456	7.15339	6.43219	0.00000	28.92694	6.07790
40.59373	9.27811	22.23252	7.03290	7.96180	50.86212	4.89766	5.90291	1093.78869	6.25709	44.72368	4.32997	-87.88754	5.77319	7.33505	0.00000	41.15376	4.58568
27.38132	7.30112	0.10685	7.34914	6.87005	61.41547	7.52380	6.93236	1155.13284	7.53291	35.59686	1.91128	112.19028	7.20260	9.06607	0.00000	30.35028	8.74508
57.54824	8.44450	7.03966	7.20324	6.60738	62.99862	8.53413	8.20990	1160.48867	7.10490	36.63625	2.29351	79.82979	7.95164	8.92429	1.00000	11.93381	6.96642
29.22873	7.96497	14.91937	6.20003	7.15746	53.41518	5.92261	9.74939	1182.74262	7.33558	52.67134	2.74444	2.59753	7.39669	6.59919	0.00000	8.88649	9.47465
61.49177	8.81691	13.87454	4.22065	6.21136	39.86169	4.97045	7.72990	1195.09656	8.53557	45.40398	1.42829	4.25633	6.60315	6.49925	0.00000	51.21187	9.56846
46.36208	10.22315	11.75622	9.23687	6.65889	65.51658	4.56162	6.02424	1115.75751	9.13111	41.68869	2.06193	57.3552	8.42604	7.98291	0.00000	51.4781	6.23669
63.12510	6.95393	31.04025	6.83630	6.12457	63.52572	9.32611	9.95015	1062.72060	10.25348	35.55757	1.42358	68.49143	7.10335	5.46126	1.00000	25.80565	10.01015
	9.16772	40.51782	7.02111	7.50108	75.90151	5.65549	8.63358	1175.62271	10.81387	37.00862	3.54852	-2.98333	8.78531	6.21159	0.00000	53.83333	6.20365
37.00264	10.91417	30.24162	4.16178	6.96301	63.99961	9.99619	11.36807	1126.93522	8.82034	48.91566	2.27888	113.69785	7.77399	8.60752	1.00000	-7.73379	9.42088
40.27456	8.00584	19.02511	6.15456	8.45787	65.40920	5.64336	10.04356	1084.05776	7.17263	56.01294	6.09523	-4.83076	5.99325	8.00378	0.00000	39.96348	7.55841
31.35446	8.21744	30.11095	9.36154	7.91402	66.98905	2.88476	7.54224	1112.90078	6.47358	44.82233	3.58409	140.72287	7.44947	8.37845	0.00000	53.14657	4.07729
45.28469	9.17145	9.36365	4.62630	9.04980	70.51305	4.04033	9.52624	1102.21590	8.28459	42.28811	8.56368	1.26738	5.93483	7.28069	1.00000	51.84819	6.56200
46.80752	10.45086	5.90759	11.65544	7.01244	45.76617	4.74172	6.25888	1127.17632	7.45284	30.71293	3.56249	101.96857	7.12371	6.11744	0.00000	4.88441	5.70697
40.02440	8.21109	14.71040	8.03570	6.28191	45.51328	7.28031	6.21048	1133.02842	8.75457	32.09960	3.15119	-117.29198	7.24376	4.54097	0.00000	33.03699	6.36447
43.11400	6.78788	6.95592	8.54036	7.70578	54.74565	2.96836	7.74803	1135.21889	9.24027	34.11693	3.04549	-37.03861	7.57819	8.27559	1.00000	-10.90889	6.82950
