latitude	revision	longitude	location	code	QoS
38.07789	01/16/2019, 00:00:00	13.44275	Europe/Rome	IT	excellent
43.2907	10/12/2016, 00:00:00	5.4384	Europe/Paris	FR	maitennce
13.65805	2013-08-06	102.56365	Asia/Phnom_Penh	KH	good
39.00622	2014/01/29	-77.4286	America/New_York	US	accep
33.43443	2020/09/23	-5.22126	Africa/Casablanca	MA	average
23.1959	25 Jul 2013	86.51499	Asia/Kolkata	IN	excellent
40.58654	20 Dec 2018	-122.39168	America/Los_Angeles	US	average
37.52487	05 Jul 2013	-77.55777	America/New_York	US	good
9.15093	2020-10-05	-79.62098	America/Panama	PA	excellent
13.65805	20 Oct 2015	102.56365	Asia/Phnom_Penh	KH	good
30.46907	27 Apr 2020	70.96699	Asia/Karachi	PK	excellent
53.77166	2019/08/28	38.12408	Europe/Moscow	RU	average
40.82232	2012-11-05	-74.15987	America/New_York	US	average
14.95472	2022-05-04	120.89694	Asia/Manila	PH	good
48.77644	12 Sep 2017	2.29026	Europe/Paris	FR	good
3.27833	2016-03-24	32.88667	Africa/Kampala	UG	accep
56.85836	2020/12/17	35.90057	Europe/Moscow	RU	maintenance
40.66482	16 Aug 2017	122.22833	Asia/Shanghai	CN	good
58.7002	2020/03/12	59.4839	Asia/Yekaterinburg	RU	accep
18.42745	11 Jul 2017	-67.15407	America/Puerto_Rico	PR	good
34.14251	2022-08-02	-118.25508	America/Los_Angeles	US	excellent
32.55531	2016-09-14	76.12647	Asia/Kolkata	IN	excellent
60.2052	02 Dec 2014	24.6522	Europe/Helsinki	FI	average
41.91738	2018/08/22	3.1631	Europe/Madrid	ES	accep
15.46063	2013-08-13	99.89166	Asia/Bangkok	TH	average
32.42067	2017-04-08	-104.22884	America/Denver	US	accep
45.51667	2018/08/18	4.86667	Europe/Paris	FR	acceptable
9.92787	05 Apr 2022	-84.13722	America/Costa_Rica	CR	excellent
16.68911	2013-10-21	98.50893	Asia/Yangon	MM	good
-22.57306	2014/08/20	-47.1725	America/Sao_Paulo	BR	average
-8.73508	2019-06-09	24.99798	Africa/Lubumbashi	CD	accep
-28.81833	2019/05/11	-52.51028	America/Sao_Paulo	BR	accep
39.43534	2022/04/29	-84.20299	America/New_York	US	maintenance
35.8	2015-11-17	137.23333	Asia/Tokyo	JP	excellent
17.30858	2016-10-29	97.01124	Asia/Yangon	MM	good
51.03427	2021-08-13	5.37429	Europe/Brussels	BE	average
6.25947	06/19/2019, 00:00:00	102.05461	Asia/Bangkok	TH	maintenance
20.88953	2013/06/03	-156.47432	Pacific/Honolulu	US	accep
47.80527	2013-12-23	-122.24064	America/Los_Angeles	US	average
53.0233	2013-04-30	-1.48119	Europe/London	GB	maintenance
48.8765	2018/04/08	2.18967	Europe/Paris	FR	maintenance
34.14251	2020-01-12	-118.25508	America/Los_Angeles	US	accep
44.35056	2019/06/23	142.45778	Asia/Tokyo	JP	accep
37.1759	2020/12/08	128.9889	Asia/Seoul	KR	average
31.84568	2018-12-08	-102.36764	America/Chicago	US	average
51.26	2021-11-27	-2.1875	Europe/London	GB	excellent
42.62833	2015/03/29	20.89389	Europe/Belgrade	XK	average
41.75338	25 Feb 2015	-86.11084	America/Indiana/Indianapolis	US	accep
31.20176	2018-12-05	29.91582	Africa/Cairo	EG	excellent
12.37169	2016/02/20	123.62494	Asia/Manila	PH	average
55.82737	2017/04/18	-4.0573	Europe/London	GB	accep
26.18924	12/28/2018, 00:00:00	-98.15529	America/Chicago	US	excellent
46.09273	28 Jul 2022	-88.64235	America/Menominee	US	accep
54.60528	2019-06-29	18.34717	Europe/Warsaw	PL	good
23.49668	2019/09/13	86.68363	Asia/Kolkata	IN	maintenance
43.32393	2018/04/10	5.4584	Europe/Paris	FR	excellent
48.73218	04/01/2013, 00:00:00	11.18709	Europe/Berlin	DE	average
32.17629	2013/10/26	75.06583	Asia/Karachi	PK	average
54.39635	08/05/2019, 00:00:00	24.04142	Europe/Vilnius	LT	average
41.20485	2014/09/23	-8.33147	Europe/Lisbon	PT	accep
13.65805	01/12/2022, 00:00:00	102.56365	Asia/Phnom_Penh	KH	accep
39.96348	12/28/2013, 00:00:00	-4.83076	Europe/Madrid	ES	excellent
-5.85746	02 Mar 2019	144.23058	Pacific/Port_Moresby	PG	excellent
37.49073	2017-12-16	-2.77259	Europe/Madrid	ES	maintenance
47.48444	2021/09/08	36.25361	Europe/Zaporozhye	UA	building
37.1759	2021/05/22	128.9889	Asia/Seoul	KR	good
56.85836	02/06/2013, 00:00:00	35.90057	Europe/Moscow	RU	excellent
11.50526	19 Jul 2022	77.23826	Asia/Kolkata	IN	excellent
50.26729	2019/11/25	-119.27337	America/Vancouver	CA	good
-17.83333	2015-04-26	48.41667	Indian/Antananarivo	MG	excellent
55.38752	23 Jan 2016	36.73307	Europe/Moscow	RU	maintenance
34.25628	2015/04/01	-78.04471	America/New_York	US	good
