Pb	TEMP	longitude	NH3	PM10	SO2	H2CO	PAHs	NOx	latitude	CFCs	PM2.5	O3	CO	warning	CH4	C2H3NO5	PRES
28.59719	11.04406	121.3152	7.19114	6.66998	6.33893	79.08189	8.29503	7.62408	14.14989	54.92485	7.83125	6.31265	7.77169	0.00000	6.27236	2.06369	1097.76565
55.15575	14.28030	32.88667	8.15281	8.35337	9.58590	36.64114	7.69185	6.19774	3.27833	47.99359	11.72257	5.66360	9.11028	1.00000	7.12529	8.34103	1166.85093
39.72922	25.02433	-122.2608	8.22926	7.97614	7.77657	50.69647	6.84518	9.10213	38.17492	50.28107	13.48021	5.55603	11.60951	1.00000	10.09102	6.14011	1194.66825
50.79254	19.94050	100.24529	7.13110	7.93098	12.27532	57.16222	7.06759	7.02555	5.4709	55.42131	10.09328	10.77031	5.61334	0.00000	4.59498	4.85996	1140.28291
43.33528	14.84473	44.02488	7.94513	8.49904	9.92290	52.14784	7.81959	7.92138	32.61603	32.42793	8.67559	8.44572	4.48573	0.00000	8.61437	9.06632	1081.57095
47.20322	9.69417	-84.67837	6.92932	8.50264	3.26994	65.36467	6.81378	6.62722	34.06635	62.31935	7.34745	1.73292	8.07028	0.00000	9.48266	7.85396	1115.97150
44.69150	10.12309	118.53333	8.21809	7.32437	8.08437	44.95636	6.48291	5.75130	27.92333	63.51855	9.15985	6.74125	7.84492	1.00000	7.71217	4.96555	1058.75526
36.65040	14.01802	-88.27205	8.59971	8.02859	5.24365	68.50461	8.12000	8.49448	44.27804	64.45236	9.48675	6.44733	8.88605	1.00000	9.20917	7.20593	1064.48898
60.66426	18.86505	152.70493	6.71410	9.44788	11.70859	56.18422	6.83142	3.92764	-25.54073	63.87067		7.78696	10.17701	1.00000	8.61531	20.98698	1136.66056
47.33935	13.48417	122.8637	6.82822	5.94041	9.67917	36.92297	6.79513	8.90289	9.3337	44.80220	8.34917	8.38242	5.15816	0.00000	8.47954	1.96451	1126.68573
40.76042	20.83108	5.74861	8.33666	5.98176	8.42208	50.56708	8.24142	6.59742	52.71083	70.99066	10.56053	5.84990	9.17287	1.00000	10.77564	2.69132	1141.02271
67.77066	24.58858	-4.83076	7.69589	8.08433	5.38444	39.91362	8.41848	6.03594	39.96348	51.40837	7.99066	4.39251	5.03690	0.00000	7.19707	7.65089	1179.83667
65.28484	15.35919	136.51667	8.11669	9.08385	8.66563	55.79478	8.29153	8.68880	35	35.94684	7.50685	9.30778	7.04639	0.00000	8.42268	13.83797	1129.20180
50.31656	29.33788	-77.02303	6.93719	7.15137	8.84480	45.25040	8.26285	7.16903	38.70734	47.10524	10.39409	9.90718	6.33267	0.00000	7.95517	2.37048	1122.43219
54.41663	23.99779	4.21372	6.80880	7.10478	9.28649	69.64162	7.69230	6.00191	51.12794	51.13219	7.82017	7.40141	6.79312	1.00000	8.50852	3.14731	1103.51598
46.28225	8.75194	73.7553	7.92315	7.26596	6.39322	42.75403	6.61389	4.57989	15.5439	59.04859	8.39028	8.83581	5.42192	1.00000	10.95386	2.50657	1092.55228
58.69595	11.09967	5.4584	9.01627	8.61242	3.15777	40.38612	9.09971	7.01256	43.32393	71.88095	8.46235	4.48691	5.17415	0.00000	8.88246	7.68136	1058.92296
59.78908	18.86636	9.15214	7.26225	7.77369	10.89273	46.88969	7.21321	7.81372	49.97704	32.71868	7.83989	11.06220	6.42549	0.00000	8.40345	3.52041	1103.29419
61.09401	19.95738	41.00817	8.86925	6.98556	7.90780	46.67232	7.44368	10.71773	38.13708	56.55801	7.74253	6.74333	3.89738	0.00000	11.12096	3.75215	1064.74370
47.25137	32.33489	-104.22884	8.20981	7.96067	5.26138	50.36000	6.89913	9.47812	32.42067	48.13499	10.15431	8.00908	4.52043	0.00000	6.22252	7.01273	1172.63996
61.55304	30.11933	-1.32471	8.13887	8.48604	10.54219	53.67926	10.59118	7.58951	51.40148	67.39186	6.28022	7.37954	7.27694	1.00000	7.26418	8.19139	1188.37564
52.57493	18.52524	51.0193	6.98055	7.75478	8.42185	44.54263	7.85565	8.40956	35.6803	90.72672	8.46997	7.84338	6.66593	0.00000	8.15914	4.54329	1107.65111
