longitude	code	QoS	latitude	revision	station
-74.73584	CO	accep	5.20856	2021-01-16	Honda
38.15035	UA	accep	49.41029	09/19/2016, 00:00:00	Svatove
-89.10944	SV	excellent	13.70167	2015/09/28	Ilopango
-116.97725	US	good	33.92946	2017/04/29	Beaumont
4.18333	NG	average	7.6	2019-10-29	Olupona
-118.03917	US	excellent	33.95015	2020/08/06	South Whittier
139.6853	JP	average	35.815	07/18/2018, 00:00:00	Shimotoda
7.36027	DE	average	51.20219	09/08/2021, 00:00:00	Radevormwald
117.65694	CN	average	36.19278	03/03/2017, 00:00:00	Laiwu
-156.47432	US	accep	20.88953	12/16/2018, 00:00:00	Kahului
91.00632	IN	good	26.32293	2018-12-01	Barpeta
-88.27205	US	maintenance	44.27804	2014/06/23	Kaukauna
4.62744	DZ	maintenance	36.06386	2016/08/15	El Achir
-97.54667	US	average	30.5427	2014/07/10	Hutto
31.3237	BY	good	52.4089	10/15/2013, 00:00:00	Dobrush
79.883	LK	accep	6.9909	07 Jan 2021	Hendala
-94.74049	US	excellent	32.5007	2019-12-02	Longview
106.85417	ID	excellent	-6.48167	20 Jul 2018	Cibinong
12.87117	CZ	average	50.23271	2014/03/26	Karlovy Vary
-89.71472	SV	good	13.73417	2019-01-27	Sonzacate
111.50861	CN	accep	32.54278	12 Feb 2019	Danjiangkou
86.59509	IN	excellent	26.11527	09 Apr 2013	Supaul
2.29026	FR	good	48.77644	2022/02/26	Sceaux
29.00974	ZA	accep	-24.19436	01/05/2020, 00:00:00	Mokopane
77.70636	IN	good	28.98002	03/03/2014, 00:00:00	Meerut
-0.32247	GB	excellent	50.82882	28 Nov 2018	Lancing
122.74754	CN	maintenance	40.85158	2022/02/08	Haicheng
115.70111	CN	building	37.73222	15 May 2019	Hengshui
-1.99421	GB	accep	51.35084	2018-05-30	Devizes
-72.09391	HT	building	18.65297	2016-09-11	Thomazeau
74.80555	IN	accep	34.08565	23 Feb 2017	Srinagar
9.29109	IT	good	45.39402	17 Apr 2018	San Giuliano Milanese
11.18709	DE	accep	48.73218	08/16/2017, 00:00:00	Neuburg an der Donau
43.67663	RU	excellent	53.53041	2014-10-06	Nizhniy Lomov
-50.00639	BR	maintenance	-25.42944	2015-07-23	Palmeira
-79.00453	EC	good	-2.90055	2021-03-11	Cuenca
24.14662	FI	average	65.84811	2020/03/05	Tornio
104.1451	TH	excellent	15.79408	2019/09/13	Yasothon
136.61667	JP	good	36.53333	09/17/2022, 00:00:00	Nonoichi
34.75699	IL	good	31.39547	03/11/2014, 00:00:00	Rahat
34.86563	IL	excellent	31.92923	05 Jul 2015	Ramla
-86.78777	US	average	33.44872	10 Jun 2019	Vestavia Hills
-86.57415	HN	maintenance	15.48131	2016-04-06	Olanchito
-73.97069	US	excellent	40.64621	2021/02/26	Kensington
-2.68333	ES	accep	43.31667	2018/02/02	Gernika-Lumo
100.04427	TH	good	13.8196	12/07/2016, 00:00:00	Nakhon Pathom
5.4584	FR	excellent	43.32393	25 Jan 2022	Les Olives
17.80774	IT	building	40.55851	02 Apr 2019	Mesagne
6.26764	NG	average	4.92675	2021-08-01	Yenagoa
4.52514	NG	building	12.74482	2021/10/03	Argungu
