C2H3NO5	warning	PAHs	longitude	latitude	H2CO	CFCs	TEMP	PRES	NOx	NH3	O3	CH4	SO2	Pb	CO	PM2.5	PM10
0.06138	0.00000	6.84115	9.85	53.63333	52.57625	68.41618	19.15524	1132.40137	6.15660	4.51544	11.04784	5.02166	5.97317	50.66559	9.66063	6.84701	5.84334
0.04030	1.00000	7.56113	72.68533	22.75218	44.40486	46.39636	24.01618	1190.49203	5.08854	7.58212	8.55904	8.69504	7.32916	73.77060	7.97544	8.02929	5.30450
0.03146	1.00000	9.35904	123.758	10.20898	53.41360	69.46951	-5.54079	1173.79522	3.23547	7.89038	6.55593	10.97108	10.17510	40.79276	5.98578	7.60355	5.06645
0.59850	0.00000	8.33594	-61.4867	-31.25033	70.74974	38.02588	-1.04799	1197.41125	8.13255	9.09403	4.36201	7.68450	5.78191	47.78536	6.57286	5.72037	9.87012
0.07508	1.00000	7.50833	-51.87389	-23.44361	45.86931	29.63190	15.73117	1144.23955	5.81935	3.29536	9.17704	10.36769	6.47671	44.00739	5.52849	7.30801	6.88550
0.08490	0.00000	9.05976	12.6723	41.72063	44.51180	17.75750	12.19568	1187.18439	7.73045	7.91509	4.18802	8.70649	5.47172	44.62039	7.76829	7.10211	6.26116
0.09373	0.00000	8.04153	37.3825	37.05944	47.14413	46.17673	4.63968	1102.41452	9.36861	10.39577	5.93574	5.68486	9.73800	50.08714	7.94910	8.74851	7.09964
0.05133	1.00000	6.90208	171.25364	-44.39672	38.49402	36.96750	16.35815	1092.41536	6.03417	5.29248	8.42056	8.28332	5.37193	27.53467	6.53370	7.26412	5.58968
0.14037	1.00000	7.90782	133.42825	45.47885	57.12586	32.32007	26.64178	1185.51089	6.53043	6.65726	7.71880	8.07010	7.82665	45.92674	7.18069	7.75387	7.94087
0.03691	1.00000	7.44088	-1.325	38.47917	41.38722	47.60251	8.28102	1158.08521	5.40829	7.97758	7.56742	5.03688	4.08731	50.46029	7.63919	8.64348	3.67988
0.05638	1.00000	6.94091	-7.35	53.53333	48.72840	34.93130	20.99757	1136.00028	5.13679	7.23135	7.50499	7.82530	5.83429	60.37108	6.02187	6.95609	4.88064
0.06070	0.00000	7.59920	14.39024	42.22718	23.48329	38.45165	11.40575	1094.09308		8.00246	9.69331	3.36136	7.10060	62.04953	6.44440	6.75727	7.01732
0.06937	0.00000	6.74034	33.72798	53.53395	47.81018	37.49039	7.97789	1146.28491	12.31433	9.23242	7.58181	7.29205	7.36498	52.35413	7.38768	5.96621	6.78467
0.47375	0.00000	6.63807	6.61944	52.57583	46.67908	47.67407	23.67469	1192.46451	8.57463	8.76510	5.84318	7.73954	6.41538	67.51897	8.42701	6.44273	9.62415
0.53538	0.00000	7.51495	83.62389	53.30972	66.37477	32.55217	-9.77877	1133.68424	7.94917	8.49602	4.29968	8.22974	4.59317	64.20451	8.82868		9.78352
0.20598	1.00000	6.94131	98.19151	14.0823	54.59599	49.20279	13.23068	1107.50011	6.96782	3.35636	4.38678	6.78709	7.94765	64.61192	5.68265	7.26103	8.41495
0.08813	1.00000	8.11780	82.85749	17.54907	30.34732	38.45300	6.83630	1187.30069	5.37762	6.56377	6.41933	8.33107	8.54293	50.90330	7.75654	8.43233	5.81953
0.43764	0.00000	9.06855	-119.48568	49.88307	48.50855	50.37921	21.72833	1157.98873	6.98706	9.49993	4.44174	6.86575	7.48838	47.07196	6.69764	7.70648	9.50189
0.04753	1.00000	8.79603	12.1369	51.04962	32.46125	56.84602	24.37058	1117.44584	5.20274	5.01032	8.59379	5.63121	4.16110	57.52104	7.51714	7.51325	4.14994
0.14509	0.00000	7.07566	17.4674	50.86079	54.57524	48.07433	1.86098	1098.05422	8.12858	9.11366	5.81961	8.77829	7.28000	52.27557	7.37315	8.79559	7.86895
0.07458	1.00000	8.69180	-38.94722	-15.675	62.12977	49.14323	16.16219	1160.11258	5.98091	4.04951	5.17374	6.51254	6.46241	41.53844	8.21152	9.18924	5.80762
0.14259	0.00000	7.17853	57.3552	51.4781	36.43975	45.40803	7.75651	1155.86822	9.67499	9.78466	7.24695	11.30762	7.79033		7.59042	8.57084	8.03771
0.07328	1.00000	9.76405	-0.29825	51.39148	49.80101	40.46027	18.57488	1154.32009	4.09758	4.39388	10.28552	10.02409	9.02387	33.12340	8.61541	9.06709	6.07989
0.05968	1.00000	6.77495	26.97253	49.65186	39.95875	55.60955	7.76244	1069.46213	6.24819	4.71145	8.87716	9.94398	6.23479	63.63073	7.31497	7.83717	6.87139
1.04753	0.00000	7.86799	-78.19444	38.91817	59.91488	65.30960	2.00982	1065.21631	6.15446	9.72483	3.22769	5.19120	7.64853	57.06130	7.59241	5.90120	10.45377
0.13298	0.00000	7.56140	135.6	34.61667	56.00975	55.47912	27.47168	1185.99855	5.25745	5.70351	8.60106	6.00532	4.68077	55.21639	7.68070	7.03401	7.96689
1.44828	0.00000	6.19214	114.33333	-8.43333	44.55037	39.99301	6.64715	1070.84070	11.34528	10.54282	6.43831	4.68928	7.55782	38.30803	9.01898	7.85336	10.80546
0.10332	0.00000	9.38011	10.18527	47.98372	62.46580	46.41527	25.04670	1059.75925	6.33992	5.68840	9.16869	5.10944	6.86203	48.30172	7.45377	5.43322	7.59891
0.20393	0.00000	6.85651	-2.58736	56.56317	43.00118	63.44329	14.14165	1152.99091	7.54568	9.32371	4.96537	8.70254	7.73740	50.72960	5.60293	7.53843	8.72989
0.05842	1.00000	9.10175	34.33825	53.59782	40.19747	42.60340	21.35460	1154.48774	7.66222	6.13400	4.02512	9.13799	0.86401	38.84857	6.25731	6.75496	5.32801
