code	revision	location	longitude	latitude	QoS
US	2021/07/13	America/Chicago	-97.92977	38.06084	excellent
RU	2020-10-04	Asia/Yakutsk	111.4834	65.93381	good
CU	10/16/2012, 00:00:00	America/Havana	-82.00919	23.04419	excellent
DO	2018/08/28	America/Santo_Domingo	-71.10077	18.20854	average
PH	2015-12-22	Asia/Manila	123.758	10.20898	accep
MX	12 Apr 2015	America/Mexico_City	-94.91386	17.94979	accep
IN	09/13/2016, 00:00:00	Asia/Kolkata	91.00632	26.32293	average
CL	2013-09-22	America/Santiago	-70.6996	-33.59217	excellent
UA	2020/05/23	Europe/Kiev	29.41824	45.99194	average
IN	2012-12-20	Asia/Kolkata	73.08333	19.21667	good
US	2018/12/18	America/New_York	-76.51552	39.32011	accep
IN	04 Jan 2020	Asia/Kolkata	79.41727	12.25282	good
IT	27 Apr 2021	Europe/Rome	7.60872	43.78956	excellent
IN	06/08/2020, 00:00:00	Asia/Kolkata	85.83636	25.66795	accep
GB	2019-11-30	Europe/London	-2.98333	53.83333	building
US	11/21/2020, 00:00:00	America/New_York	-72.86843	41.27621	accep
CO	2015-12-21	America/Bogota	-75.69947	8.79577	good
DE	2012/10/01	Europe/Berlin	12.1369	51.04962	good
JP	12/19/2014, 00:00:00	Asia/Tokyo	135.6	34.61667	building
PH	2013-08-16	Asia/Manila	123.758	10.20898	accep
US	12 Mar 2013	America/New_York	-71.06616	42.4251	good
BR	09/01/2019, 00:00:00	America/Bahia	-37.93278	-11.48472	maitennce
BR	2015/12/14	America/Recife	-34.88111	-8.05389	average
BR	02 Aug 2017	America/Sao_Paulo	-52.51028	-28.81833	good
ES	2015/10/08	Europe/Madrid	2.18247	41.41204	average
FR	2022/09/11	Europe/Paris	2.29026	48.77644	accep
NL	2017/07/30	Europe/Amsterdam	6.61944	52.57583	excellent
US	06/15/2019, 00:00:00	America/Chicago	-90.10674	29.84576	good
FR	08/09/2020, 00:00:00	Europe/Paris	1.6	43.11667	excellent
AU	12/15/2016, 00:00:00	Australia/Melbourne	145.18333	-37.9	excellent
DE	2018-06-06	Europe/Berlin	11.18709	48.73218	building
UA	2015-10-29	Europe/Kiev	26.97253	49.65186	average
DE	2020-09-21	Europe/Berlin	10.18527	47.98372	good
RW	2021/03/06	Africa/Kigali	30.4347	-1.9487	maintenance
US	15 Jan 2019	America/Chicago	-86.78777	33.44872	good
US	02 Jan 2017	America/Los_Angeles	-120.00865	46.32374	building
IN	10/19/2015, 00:00:00	Asia/Kolkata	81.54855	26.2649	good
PH	07 Aug 2015	Asia/Manila	121.12251	14.62578	maintenance
US	04/22/2021, 00:00:00	America/Los_Angeles	-118.10583	34.09611	maintenance
US	02/07/2013, 00:00:00	America/Chicago	-95.63079	31.76212	building
AU	2022-03-20	Australia/Sydney	151.08057	-33.79176	average
AU	05/22/2016, 00:00:00	Australia/Sydney	150.99292	-33.75881	maintenance
HT	2018/03/12	America/Port-au-Prince	-72.22625	18.57677	accep
FR	10 Jan 2017	Europe/Paris	5.16108	48.77275	accep
GB	2017-10-24	Europe/London	-1.99421	51.35084	building
DE	18 Jun 2020	Europe/Berlin	6.74549	49.5099	good
FR	2014-05-02	Europe/Paris	5.4384	43.2907	building
VN	2017/08/17	Asia/Ho_Chi_Minh	105.75635	10.29085	average
MG	2019-09-04	Indian/Antananarivo	48.41667	-17.83333	average
FR	2016-06-16	Europe/Paris	4.91667	45.73333	maintenance
FR	2014/01/28	Europe/Paris	3.87723	43.61092	accep
PH	2015-10-21	Asia/Manila	121.12251	14.62578	average
ZA	2017-01-02	Africa/Johannesburg	29.00974	-24.19436	good
JP	2022/04/18	Asia/Tokyo	137.4	34.81667	maintenance
DE	2018-06-15	Europe/Berlin	13.10984	51.30001	excellent
US	09/02/2016, 00:00:00	America/New_York	-72.86843	41.27621	excellent
IT	2016/02/13	Europe/Rome	8.55552	40.72586	average
BR	08 Jun 2016	America/Sao_Paulo	-48.59278	-23.7975	average
TZ	22 Apr 2015	Africa/Dar_es_Salaam	39.28333	-10.33333	average
IN	17 Apr 2021	Asia/Kolkata	85.83636	25.66795	good
BD	17 Sep 2022	Asia/Dhaka	91.84128	22.83957	excellent
GB	01/16/2013, 00:00:00	Europe/London	-4.0573	55.82737	excellent
CN	2019/05/09	Asia/Shanghai	117.55417	34.86472	excellent
RU	07/23/2013, 00:00:00	Asia/Yekaterinburg	56.36091	51.78771	acceptable
US	01/26/2014, 00:00:00	America/Chicago	-97.03285	47.92526	excellent
RU	24 Mar 2016	Europe/Moscow	43.83992	55.39485	accep
GB	2022-03-21	Europe/London	-0.91979	51.42708	building
ES	2012/10/04	Atlantic/Canary	-15.58602	27.76056	accep
US	2014-10-01	America/Indiana/Indianapolis	-85.76942	39.78504	accep
CU	12/28/2019, 00:00:00	America/Havana	-81.24441	23.15678	maintenance
PH	23 May 2021	Asia/Manila	123.99333	12.97389	average
US	2019-03-08	America/New_York	-73.0515	41.55815	average
DE	2017/11/28	Europe/Berlin	10.30215	53.94313	maintenance
US	12 Oct 2018	America/New_York	-84.67837	34.06635	average
RU	2021-09-04	Asia/Vladivostok	133.42825	45.47885	maintenance
FR	06 Mar 2014	Europe/Paris	2.2469	48.90472	building
KZ	2018-07-29	Asia/Qyzylorda	65.50917	44.85278	building
TL	03 Mar 2018	Asia/Dili	125.21972	-8.99167	excellent
GB	2020/02/12	Europe/London	-1.99421	51.35084	maintenance
AR	14 Feb 2015	America/Argentina/Cordoba	-60.93173	-31.4488	average
US	04/20/2015, 00:00:00	America/Chicago	-97.54667	30.5427	average
CD	2019/01/11	Africa/Lubumbashi	24.99798	-8.73508	excellent
US	2019/01/09	America/Chicago	-96.67834	34.77453	maintenance
US	11 Nov 2014	America/Los_Angeles	-120.93549	37.73604	excellent
DE	2018-06-13	Europe/Berlin	9.20427	48.49144	excellent
MY	11/08/2017, 00:00:00	Asia/Kuala_Lumpur	102.3278	2.2139	good
DE	02 Mar 2021	Europe/Berlin	9.72749	48.28259	good
CA	01/02/2015, 00:00:00	America/Toronto	-73.86586	45.43341	building
GB	2022-03-16	Europe/London	-1.5443	50.75767	good
GH	30 Mar 2020	Africa/Accra	-2.31938	6.46346	accep
MK	2020-07-31	Europe/Skopje	20.91361	41.92361	accep
BR	07/08/2021, 00:00:00	America/Fortaleza	-41.45861	-4.42472	excellent
NL	11 Apr 2020	Europe/Amsterdam	5.23333	52.09	excellent
ID	2021-06-13	Asia/Jakarta	106.85417	-6.48167	accep
GB	2016-12-20	Europe/London	-1.48119	53.0233	accep
NG	2016-02-10	Africa/Lagos	5.06258	7.50251	average
US	03 Dec 2014	America/Los_Angeles	-116.97725	33.92946	excellent
RU	2013/01/25	Europe/Moscow	43.91385	54.03876	average
