SO2	PM2.5	Pb	C2H3NO5	NH3	CH4	PRES	NOx	longitude	latitude	CFCs	CO	H2CO	PAHs	warning	O3	PM10	TEMP
7.65507	4.72127	57.50336	0.23263	6.76165	6.42194	1186.46548	10.70345	-45.94722	-21.42917	47.57645	7.19756	53.70867	8.79984	1.00000	7.82005	7.04412	25.03728
8.28883	8.39268	55.87075	0.76499	8.71007	8.45925	1065.27758	7.27390	-82.4017	23.0072	51.97736	6.12939	18.66801	2.71618	1.00000	8.60727	8.88796	15.57765
7.46107	6.81926	43.19932	1.47949	9.62472	7.22711	1133.26216	6.54166	5.16108	48.77275	56.93262	8.61402	54.29497	7.28033	1.00000	5.86097	9.64571	6.22054
6.90903	7.25926	47.94836	0.14540	8.19970	7.18102	1066.76460	8.36240	-116.21677	33.7207	40.93114	6.91857		4.72315	1.00000	5.97536	5.74800	17.96097
6.68592	7.15530	56.03916	0.13492	9.18038	8.85971	1054.63453	8.91066	24.75	55.25	51.40931	4.18659	63.17908	6.29628	1.00000	7.58605	5.02411	12.00215
7.89611	4.63408	39.97494	0.15030	8.20836	6.24851	1143.38745	9.22513	45.36561	41.09246	47.29729	6.45581	66.62326	7.42849	1.00000	8.56323	4.57235	5.82789
7.13212	7.06082	54.18412	1.42285	6.46090	6.69655	1074.17108	8.60739	29.47306	0.49113	28.68490	4.47594	53.30934	9.30458	1.00000	6.93435	9.55676	5.61002
8.46769	4.56056	59.80908	0.79169	5.64694	5.41696	1177.90220	7.04321	74.12286	30.76468	60.17791	11.25361	57.56443	8.01596	1.00000	5.42445	8.87653	9.66830
7.12231	2.85717	36.26851	0.50485	6.30784	7.78289	1054.68473	8.68284	100.24529	5.4709	40.61725	7.18146	47.49556	8.72739	1.00000	7.98054	8.20505	13.63928
8.01323	5.94504	67.18163	1.83248	6.90043	8.43380	1173.24135	7.97761	-25.66689	37.74615	55.52751	9.76834	48.66830	9.48940	1.00000	7.31380	9.89087	14.65819
6.46981	10.04278	49.06960	0.64332	4.11322	6.19618	1126.03799	9.33322	-73.95958	40.57788	72.49362	7.67958	47.71302	5.35977	0.00000	7.74799	8.68953	10.96325
7.07342	7.03742	70.10673	4.27107	6.52379	6.46362	1057.31171	11.98911	44.53333	-22.9	52.20845	6.80599	65.00720	8.40350	0.00000	8.51326	10.77264	17.92044
7.38797	8.51692	45.76598	0.73004	6.06174	8.12672	1056.63306	9.05110	13.39954	43.62558	38.06033	6.28783	58.68649	7.37639	1.00000	7.32650	8.67295	16.45054
8.16820	6.46276	22.30350	0.23521	4.94495	7.14664	1142.13990	7.83424	-73.95958	40.57788	42.68999	8.93439	58.38358	5.19131	1.00000	6.25837	7.25918	30.59318
6.87254	4.83483	62.20577	0.12722	8.23115	8.35933	1102.28212	8.79209	122.9666	10.7375	45.35668	5.91975	54.99302	6.27448	1.00000	6.63446	5.40265	28.30022
6.52446	7.36467	52.83534	3.36089	5.13089	7.27653	1112.55575	5.81166	72.68533	22.75218	43.36750	7.92310	60.98032	8.16109	1.00000	7.56007	10.51316	17.87551
9.17353	11.96743	33.29578	0.25458	5.80814	7.44496	1147.33025	11.25508	119.58627	23.5654	50.65676	8.46378	35.35323	6.82709	0.00000	5.43428	7.33766	9.98895
7.34987	5.83609	57.64761	0.14614	7.75808	9.06102	1092.12570	9.28731	121.12251	14.62578	27.09522	5.53615	67.44858	4.76560	1.00000	7.19466		18.62326
7.95241	6.24660	49.21252	0.18764	7.51312	7.22568	1196.72932	9.51941	6.92917	52.31333	32.39674	4.61187	75.64000	5.17523	1.00000	6.09845	3.42437	13.94647
5.02232	6.19994	53.31455	0.14890	7.16995	8.19905	1135.08596	8.78743	43.63417	43.96222	55.11007	7.11292	66.91535	6.49499	1.00000	6.38477	4.60191	29.10875
7.57318	8.32807	54.89418	0.14058	6.84663	7.87172	1113.46373	8.95286	-73.47429	40.68066	50.38589	7.50761	46.93463	7.85412	1.00000	7.43956	4.77211	15.18183
7.84530	7.73714	68.22479	4.38627	5.83985	8.12986	1171.79023	11.01942	-40.7475	-4.16694	54.14694	7.46212	36.23493	7.08454	0.00000	7.34744	10.79711	7.70955
6.46015	5.73932	28.91409	0.96635	6.63470	8.17981	1145.05876	7.20479	-2.77259	37.49073	34.46577	3.51802	69.67203	12.05295	0.00000	6.00285	9.22234	19.36426
6.93817	6.57635	26.70615	0.16830	6.71509	7.59149	1163.12876	9.19870	-42.19667	-21.41222	43.35078	6.28392	59.33161	5.98228	1.00000	6.68772	4.20438	6.40746
7.35211	4.95169	74.39361	0.14110	5.12254	7.65831	1187.41033	4.16235	113.69785	-7.73379	45.40925	5.11207	62.34904	9.99998	0.00000	7.38608	5.16301	24.51344
8.79088	6.35831	48.12179	0.25974	5.64878	7.15845	1055.77499	10.07524	120.57224	15.72892	67.93470	8.55431	57.07676	8.48295	1.00000	7.90757	7.01432	6.28806
6.92383	4.06883	46.62032	0.18465	10.33056	7.06236	1059.50064	8.54127	118.53333	27.92333	70.25057	3.43319	55.72845	5.43656	1.00000	7.28938	6.31302	-2.12407
6.74427	5.11410	41.57771	0.15822	8.11929	5.35631	1164.00609	9.39887	110.71639	-7.54972	75.03587	5.51072	56.48758	4.50478	1.00000	5.72640	4.44422	16.05162
5.22330	8.99327	52.32032	0.40337	5.77198	6.28212	1155.30755	9.13323	38.12408	53.77166	35.74950	5.98250	48.06102	9.12646	0.00000	7.07656	8.06717	15.48206
8.02653		52.00492	0.48595	6.07320	7.32157	1084.21192	8.81854	-117.14392	32.9156	57.95002	10.08452	52.77220	8.68098	1.00000	6.71081	8.06657	24.03853
