revision	QoS	latitude	station	code	longitude
2013-04-09	building	3.31332	Tarakan	ID	117.59152
09/21/2021, 00:00:00	excellent	-8.05389	Recife	BR	-34.88111
2016/02/18	accep	23.18	Aistala	IN	88.58
2016-02-06	average	-3.5403	Majene	ID	118.9707
17 Nov 2015	accep	35.06667	Sasayama	JP	135.21667
2021-03-08	excellent	37.95143	Rolla	US	-91.77127
2014-10-23	good	40.37528	Mudanya	TR	28.88222
2013/02/04	good	37.51803	Misterbianco	IT	15.00913
04/26/2019, 00:00:00	average	42.22718	Lanciano	IT	14.39024
2015/10/07	excellent	50.23271	Karlovy Vary	CZ	12.87117
04/26/2016, 00:00:00	excellent	43.61058	Colomiers	FR	1.33467
2013-05-14	maintenance	42.8334	Norfolk County	CA	-80.38297
2017-07-09	maintenance	43.62558	Falconara Marittima	IT	13.39954
2022-05-13	average	26.2173	North Lauderdale	US	-80.22588
02 Apr 2013	good	38.58894	Fairview Heights	US	-89.99038
2016-08-27	accep	23.04419	Jaruco	CU	-82.00919
2016/11/23	excellent	50.56149	Gembloux	BE	4.69889
02/10/2014, 00:00:00	accep	50.9803	Weimar	DE	11.32903
03/29/2017, 00:00:00	average	49.68369	Bensheim	DE	8.61839
2015-12-04	accep	51.35084	Devizes	GB	-1.99421
10/27/2020, 00:00:00	accep	43.11667	Pamiers	FR	1.6
2015-09-30	good	-37.9	Wheelers Hill	AU	145.18333
2021-09-26	good	3.31332	Tarakan	ID	117.59152
2015-12-09	good	-15.21194	Minas de Marcona	PE	-75.11028
02 Dec 2020	excellent	48.77644	Sceaux	FR	2.29026
15 Oct 2020	building	33.54428	Stockbridge	US	-84.23381
19 May 2016	accep	35.815	Shimotoda	JP	139.6853
01 May 2017	good	36.64852	Nowshahr	IR	51.49621
2014/08/12	average	22.4711	Pujali	IN	88.1453
08/31/2016, 00:00:00	good	61.72744	Hudiksvall	SE	17.10558
02/05/2015, 00:00:00	building	47.30997	Adliswil	CH	8.52462
2016-05-08	average	55.25	Ukmerge	LT	24.75
2020/10/12	excellent	52.21099	Gronau	DE	7.02238
2012-10-02	good	-25.42778	Curitiba	BR	-49.27306
2017/10/22	accep	33.92946	Beaumont	US	-116.97725
22 Apr 2016	excellent	16.0567	Roi Et	TH	103.65309
01/10/2018, 00:00:00	maitennce	36.46917	Beni Khiar	TN	10.78222
10/07/2014, 00:00:00	good	46.1351	Sydney	CA	-60.1831
01/30/2016, 00:00:00	good	51.20219	Radevormwald	DE	7.36027
2015/06/28	good	42.06166	Tudela	ES	-1.60452
2022/05/11	good	23.5654	Magong	TW	119.58627
2017/02/26	accep	43.41949	Otegen Batyra	KZ	77.0202
2020-04-19	maintenance	50.23019	Karben	DE	8.77155
2015/08/29	excellent	-27.76952	Vryheid	ZA	30.79165
2015/06/05	maintenance	38.38479	Novelda	ES	-0.76773
2015-11-17	average	-21.98333	Okahandja	NA	16.91667
06/06/2013, 00:00:00	average	40.72586	Sassari	IT	8.55552
