PAHs	H2CO	latitude	O3	CH4	CFCs	PM2.5	SO2	Pb	longitude	NOx	C2H3NO5	TEMP	PM10	CO	warning	PRES	NH3
11.92244	66.62249	34.4833	7.99956	7.40550	23.28618	5.27830	7.72779	57.64931	136.84186	7.18281	5.40823	28.53092	9.65052	8.35546	1.00000	1085.45679	7.74750
8.55313	49.02139	60.02427	7.09970	10.92240	47.66294	11.11110	5.59399	55.35500	30.28491	11.00214	0.85353	8.04889	7.73104	8.42070	1.00000	1197.72983	
7.76367	54.76573	41.82143	8.52796	6.36551	63.97086	11.32777	6.71076	60.32698	41.77921	8.86561	10.61574	8.61314	10.31969	6.52022	0.00000	1076.66174	11.80361
9.30947	52.23769	51.12794	7.35545	6.51061	51.59464	9.27648	6.84681	59.95627	4.21372	8.11388	7.98316	26.74039	9.98845	7.84087	1.00000	1061.99153	10.81132
7.92570	59.42236	41.72059	9.87342	7.62291	65.68648	6.73403	7.17622	35.41188	-87.70172	7.64168	1.20722	11.13143	7.53064	7.53892	1.00000	1110.46174	10.82529
8.54092	62.52325	38.40917	10.61010	11.02305	62.83361	10.26881	6.86390	33.39299	112.73333	8.86085	1.51104	18.12300	8.25279	10.81861	1.00000	1191.45923	10.46869
11.16342	59.53463	61.72744	7.21627	10.72638	83.26273	9.55766	5.34231	41.53123	17.10558	4.32709	0.70997	8.43808	7.58393	14.32985	1.00000	1146.45284	9.64883
7.98074	54.34697	61.78491	8.82879	5.56490	38.21014	8.36180	8.17889	32.26058	34.34691	10.38720	2.04008	38.25570	8.43905	7.71562	0.00000	1082.21803	8.37561
10.59721	25.45327	47.83333	7.84556	6.77396	79.54176	9.22146	6.30785	52.59329	59.6	8.01410	5.94040	4.23640	9.65522	9.56587	1.00000	1169.36096	8.18630
8.23729	59.94391	11.84962	7.55346	10.06166	63.77075	8.42078	7.31491	51.23828	-86.19903	7.41573	2.63608	8.18846	8.81625	6.41466	1.00000	1051.73704	10.57454
9.42218	82.61746	34.65918	8.03353	7.68992	50.86660	11.22684	6.73421	51.98882	109.22921	10.73102	1.41539	10.29889	7.95811	7.43298	1.00000	1155.80500	11.92980
9.70420	62.76641	47.83333	8.82976	9.12248	40.70680	8.18407	7.13938	31.56354	59.6	7.47845	4.68357	21.08808	9.51281	9.08996	0.00000	1060.09504	8.13216
9.49758	41.63328	36.64852	9.46644	8.03101	48.55154	8.09193	6.43701	47.12763	51.49621	7.42050	0.92686	-3.97504	7.59248	9.39554	1.00000	1136.64961	10.78405
8.05956	53.90217	27.92333	8.67848	9.94772	65.50717	10.89492	7.95598	54.17592	118.53333	8.66836	0.97108	5.18155	7.71529	10.82142	1.00000	1178.52768	10.20942
7.71975	47.87438	55.39485	7.25247	9.08883	59.79295	8.79596	12.01259	58.77766	43.83992	6.23297	2.67642	21.60634	8.82782	6.91821	1.00000	1125.42107	7.98331
6.99179	43.52066	46.51872	6.99521	5.77592	71.13396	9.43387	9.13782	84.67205	86.00214	10.39268	5.08035	22.69713	9.46171	8.55939	0.00000	1092.63170	11.19364
8.74085	72.58918	37.13548	8.78978	9.11905	65.17679	12.10618	9.63368	71.18306	-3.67029	11.78366	2.59249	26.36935	8.92609	7.93492	1.00000	1079.97900	10.10485
8.51631	35.87959	43.31667	7.09561	7.74534	86.47146	8.47572	7.27946	53.95469	-2.68333	7.39168	24.61968	17.78026	11.15685	9.05262	1.00000	1067.92402	5.78596
7.50256	44.50965	-17.74431	9.50868	10.52358	63.98170	9.91940	6.35252	52.32132	-48.62789	7.72733	2.59835	12.67160	8.68644	11.16994	1.00000	1194.87760	9.31050
8.93194	61.12120	32.44874	10.21190	8.33308	50.75070	12.68083	7.64754	44.94957	-99.73314	10.75166	2.08052	30.14915	8.52165	7.30883	0.00000	1061.55043	9.95778
9.18173	61.62772	11.50526	10.05539	10.95205	69.52408	8.21967	5.58926	53.80275	77.23826	9.18357	2.18675	12.94986	8.51129	6.87595	0.00000	1066.90543	8.39231
8.99785	48.71718	10.98778	8.18237	7.58313	46.33515	6.39746	9.23419	65.42536	-74.95472	6.70707	2.07868	14.83686	8.64984	5.95652	1.00000	1060.70819	9.19473
8.57712	39.51582	34.4833	7.53114	6.48379	52.35269	5.50803	8.93561	42.53422	136.84186	7.78197	2.10642	26.87398	8.62643	4.10196	1.00000	1087.51139	10.86237
9.93341	64.22936	48.35149	9.87717	6.21803	60.10446	8.44494	7.88219	38.66488	8.96317	7.81598	1.00134	24.86312	7.44686	7.23605	1.00000	1078.53521	6.67063
8.81409	50.97020	44.98901	7.74297	7.76146	55.63246	10.37115	8.48674	48.06351	38.94324	7.66324	1.22653	20.46474	7.88743	7.47087	0.00000	1092.36828	7.76745
7.84326	37.53839	38.55632	7.79230	7.79298	52.17665	7.07333	7.66077	49.93732	69.01354	10.57928	0.67866	13.14115	7.61055	7.71178	0.00000	1084.02042	6.79395
7.99366	27.39152	51.84819	8.92415	11.59917	68.70914	8.24908	7.39029	38.63674	1.26738	7.15316	3.79491	20.89598	9.31994	9.79084	0.00000	1151.88123	9.58415
8.73293	43.44118	29.65163	8.14042	10.26629	58.72868	6.30291	7.90425	63.05697	-82.32483	9.52641	0.52420	-1.69775	7.08813	7.12648	0.00000	1178.32099	7.14456
7.81527	60.25826	33.52253	7.67227	8.02506	67.36366	6.05691	8.44535	66.40008	-117.70755	6.76450	1.90973	0.14683	8.30083	5.92178	1.00000	1070.04501	13.69558
8.82878	51.82416	33.76446	7.78277	12.10598	41.31719	8.33772	5.99829	59.44057	-117.79394	7.92015	2.73016	17.11923	8.86852	5.98147	0.00000	1069.50240	9.44584
7.99976	52.12707	-31.95224	9.50017	5.50620	63.33434	12.99195	8.09722	39.55457	115.8614	8.42761	3.49175	40.24593	9.06100	7.11505	0.00000	1195.01799	10.99528
6.64583	59.97204	13.44581	8.48518	8.40217	40.53734	8.24864	7.20432	48.88800	101.18445	7.56702	2.28054	20.79985	8.70849	7.11049	1.00000	1088.55058	11.06710
11.22439	41.12317	40.37528	9.07742	5.69872	66.31152	12.75614	7.98563	44.45288	28.88222	8.93809	0.64502	8.43224	6.73034	6.65343	0.00000	1175.93432	12.78869
8.05763	41.93084	33.86419	9.02466	10.28627	66.14757	8.86004	8.93210	56.84237	48.26258	7.57476	100.00000	-0.47479	12.56904	7.89533	1.00000	1069.26069	8.91272
8.01071	58.55154	53.59782	10.05213	4.89277	55.40579	9.28569	9.06573	52.96201	34.33825	8.62516	1.15194	8.09252	7.99655	7.65368	0.00000	1075.25959	11.71109
8.48653	63.04738	-37.32167	7.69874	8.99681	42.32273	9.84931	7.03421	51.50425	-59.13316	7.57827	1.65268	20.83734	8.38877	7.56859	1.00000	1074.30070	9.00330
9.13747	44.75600	51.65	8.40384	7.23237	40.26852	6.11496	6.04690	77.88291	-0.2	7.60409	0.76288	19.04434	7.12363	10.11590	1.00000	1099.16573	11.97591
10.59294	43.53560	56.9083	8.54083	7.90962	54.34829	6.86040	9.79778	46.08760	60.8019	11.80865	14.48498	15.36260	10.61913	10.16541	0.00000	1097.62458	5.36706
7.81168	54.15541	47.64995	9.65942	9.11316	39.23944	11.72146	7.31050	42.47203	-117.23991	7.49085	1.64354	27.96320	8.09057	7.00496	0.00000	1099.16747	7.92326
9.42439	80.48521	-31.95224	8.62114	11.61840	66.00063	8.68576	5.52034	69.77309	115.8614	8.90864	3.93673	4.89389	9.27376	7.01532	0.00000	1193.24522	8.79158
7.85009	49.48571	40.87363	8.05576	7.98356	85.59341	5.92675	8.98368	58.64554	14.34085	6.70663	3.95878	19.13861	9.28132	6.15084	1.00000	1151.96274	8.48879
9.33473	34.04705	52.53048	10.46692	6.93809	39.31721	7.95762	9.11432	41.18852	13.29371	7.22881	2.84608	3.33165	8.89068	6.27083	1.00000	1161.73601	4.68946
9.70387	40.79506	36.24624	8.11558	10.17897	41.34325		9.32857	42.63975	139.07204	6.99209	10.47875	17.72985	10.29384	7.59680	1.00000	1055.31830	10.18932
9.20098	39.07275	46.51872	9.21745	8.97081	34.79914	11.84240	5.22445	55.42165	86.00214	6.97801	6.69896		9.83444	12.85031	1.00000	1102.32662	10.09453
8.63031	54.84005	18.57677	8.57510	11.43340	46.55811	9.24137	8.37510	65.17590	-72.22625	7.95629	8.68266	8.41284	10.07681	10.55486	1.00000	1054.68818	10.78842
9.04272	51.24563	47.56494	11.51556	10.07816	71.82460	11.18018	5.89964	36.42072	31.33078	8.74631	0.73097	16.18168	7.15559	11.08772	1.00000	1133.28245	10.46330
8.86208	41.63319	55.82885	9.04025	10.50169	43.63318	8.66604	7.61124	51.06019	-4.21376	5.32889	5.72424	18.18526	9.65366	9.58090	1.00000	1115.23970	9.35206
8.29757	74.80166	13.70727	8.86418	7.43192	54.92813	7.57741	7.88729	68.83175	9.15013	7.40886	5.53847	-8.16183	9.69672	7.25765	1.00000	1052.71668	8.31931
8.51025	51.83876	-3.14306	7.79366	8.91673	75.73481	6.36408	7.85378	28.84350	-58.44417	7.25615	1.85484	-7.54349	8.46814	9.65730	0.00000	1124.64216	5.91717
8.79075	32.39241	29.65163	9.56521	9.39648	41.82874	10.30934	10.03978	64.41346	-82.32483	6.03041	3.09566	19.40404	8.98782	10.40913	1.00000	1181.40539	9.97333
9.89334	44.57085	-31.95224	7.21067	8.22239	56.74232	6.81794	7.70420	47.31723	115.8614	9.18415	3.99472	33.69766	9.31032	10.11265	0.00000	1090.14518	5.58154
