longitude	revision	location	QoS	station	latitude
-122.23484	08/03/2016, 00:00:00	America/Los_Angeles	average	Kent	47.38093
-102.04897	2018-08-09	America/Mexico_City	excellent	Paracho de Verduzco	19.64745
42.85693	2021-10-03	Europe/Istanbul	accep	Patnos	39.22493
-4.21376	11/17/2015, 00:00:00	Europe/London	acceptable	Rutherglen	55.82885
139.07204	2016-04-15	Asia/Tokyo	building	Fujioka	36.24624
42.7125	01/18/2019, 00:00:00	Africa/Djibouti	accep	'Ali Sabieh	11.15583
-77.96389	2017/04/08	America/New_York	acceptable	Martinsburg	39.45621
73.08333	02/27/2016, 00:00:00	Asia/Kolkata	good	Dombivli	19.21667
34.33825	10/26/2013, 00:00:00	Europe/Moscow	good	Dyat’kovo	53.59782
37.38115	03 Oct 2020	Europe/Moscow	good	Solntsevo	55.63711
123.89071	2017/09/24	Asia/Manila	excellent	Cebu City	10.31672
-45.94722	14 Aug 2018	America/Sao_Paulo	maintenance	Alfenas	-21.42917
-85.76942	2021/07/09	America/Indiana/Indianapolis	accep	Greenfield	39.78504
-76.72803	2019/10/01	America/New_York	accep	Woodlawn	39.32288
122.9666	2015/10/15	Asia/Manila	maintenance	Talisay	10.7375
30.2049	2019/12/11	Europe/Minsk	average	Vitebsk	55.1904
-71.8023	2014-06-16	America/New_York	average	Fitchburg	42.58342
18.30056	12 Mar 2021	Europe/Warsaw	good	Strzelce Opolskie	50.5107
9.5586	2018/11/19	Europe/Berlin	good	Schleswig	54.52156
17.4674	2018-09-03	Europe/Warsaw	good	Brzeg	50.86079
27.46153	13 Jun 2017	Africa/Gaborone	accep	Tonota	-21.44236
101.96857	08/17/2022, 00:00:00	Asia/Kuala_Lumpur	average	Gua Musang	4.88441
77.23826	2016/02/21	Asia/Kolkata	excellent	Sathyamangalam	11.50526
102.05461	2018-07-05	Asia/Bangkok	good	Tak Bai	6.25947
-51.87389	2013/09/09	America/Sao_Paulo	excellent	Sarandi	-23.44361
38.07083	14 Apr 2022	Europe/Moscow	average	Stupino	54.90083
43.67663	2020-05-27	Europe/Moscow	average	Nizhniy Lomov	53.53041
8.73812	2021-08-29	Europe/Paris	excellent	Ajaccio	41.91886
-74.01042	2017-12-01	America/New_York	average	Newburgh	41.50343
29.24152	2014-08-17	Africa/Johannesburg	average	Standerton	-26.93366
9.17702	2018-08-09	Europe/Berlin	accep	Stuttgart	48.78232
44.02488	2022/09/25	Asia/Baghdad	good	Karbala	32.61603
-116.37697	11/19/2014, 00:00:00	America/Los_Angeles	building	Palm Desert	33.72255
-9.24671	24 Jan 2021	Europe/Lisbon	building	Carnaxide	38.72706
-89.10944	2016/06/13	America/El_Salvador	good	Ilopango	13.70167
120.33063	18 Jun 2021	Asia/Shanghai	average	Longgang	37.65181
14.34085	06 May 2019	Europe/Rome	building	Volla	40.87363
53.47103	08/25/2017, 00:00:00	Asia/Yekaterinburg	accep	Oktyabr’skiy	54.48147
-77.55777	2015/12/05	America/New_York	average	Bon Air	37.52487
73.38333	24 Jun 2021	Asia/Karachi	accep	Sangla Hill	31.71667
-0.91979	2022/05/23	Europe/London	excellent	Lower Earley	51.42708
-122.39168	30 Jul 2021	America/Los_Angeles	good	Redding	40.58654
-15.6	2012-10-28	Africa/Banjul	good	Farafenni	13.56667
11.412	04/14/2015, 00:00:00	Europe/Rome	maintenance	Montecchio Maggiore-Alte Ceccato	45.50369
98.50893	08/26/2018, 00:00:00	Asia/Yangon	building	Myawadi	16.68911
9.20427	2012-10-17	Europe/Berlin	good	Reutlingen	48.49144
-77.96389	2014/11/14	America/New_York	excellent	Martinsburg	39.45621
-4.1	2018/10/17	Europe/Paris	average	Quimper	48
-72.22625	16 Dec 2016	America/Port-au-Prince	building	Croix-des-Bouquets	18.57677
107.60389	05/05/2019, 00:00:00	Asia/Jakarta	building	Pameungpeuk	-7.01833
-84.13722	2013-08-08	America/Costa_Rica	excellent	San Rafael	9.92787
78.95693	08/11/2018, 00:00:00	Asia/Kolkata	good	Kashipur	29.21399
111.4834	2014-08-18	Asia/Yakutsk	good	Aykhal	65.93381
-111.78903	07/26/2020, 00:00:00	America/Phoenix	excellent	Gilbert	33.35283
32.6178	2021/09/05	Europe/Kiev	accep	Kherson	46.65581
88.28637	18 Mar 2021	Asia/Kolkata	maintenance	Pandua	23.07492
42.54536	04/12/2013, 00:00:00	Africa/Mogadishu	good	Kismayo	-0.35817
4.92235	2015/03/19	Africa/Lagos	good	Efon-Alaaye	7.65649
43.63417	2015/12/10	Europe/Moscow	maintenance	Novopavlovsk	43.96222
10.03478	08/04/2020, 00:00:00	Africa/Tunis	building	El Alia	37.16911
77.0202	26 Mar 2022	Asia/Almaty	good	Otegen Batyra	43.41949
14.39024	2016-11-14	Europe/Rome	good	Lanciano	42.22718
71.57737	2017-05-15	Asia/Kolkata	average	Gariadhar	21.53889
-42.98194	2013-02-25	America/Sao_Paulo	accep	Guapimirim	-22.53722
8.55552	16 Oct 2019	Europe/Rome	average	Sassari	40.72586
73.66633	04/14/2017, 00:00:00	Asia/Kolkata	good	Sojat	25.92493
10.18003	04 Jan 2022	Africa/Tripoli	good	Ghat	24.96334
150.60036	2013-10-15	Australia/Sydney	average	Nowra	-34.88422
2.59753	2020/06/15	Africa/Porto-Novo	excellent	Tchaourou	8.88649
24.43973	07/24/2022, 00:00:00	Africa/Lubumbashi	excellent	Yangambi	0.76755
107.60389	03/29/2022, 00:00:00	Asia/Jakarta	building	Pameungpeuk	-7.01833
5.2875	2022-01-24	Europe/Amsterdam	accep	Vught	51.65333
84.87144	2020/07/22	Asia/Almaty	accep	Zaysan	47.46657
3.87723	2021-08-06	Europe/Paris	excellent	Montpellier	43.61092
-2.58736	08/27/2022, 00:00:00	Europe/London	excellent	Arbroath	56.56317
-79.62098	2017/03/03	America/Panama	building	Chilibre	9.15093
115.8614	2022-02-23	Australia/Perth	maintenance	Perth	-31.95224
85.94001	2020-01-13	Asia/Kolkata	excellent	Teghra	25.49043
26.01649	2018-04-19	Europe/Bucharest	accep	Sector 6	44.43579
7.20769	2022/02/25	Europe/Berlin	maintenance	Siegburg	50.80019
-73.97069	2017-07-20	America/New_York	good	Kensington	40.64621
-98.1664	2016-05-16	America/Mexico_City	accep	Contla	19.32932
-73.9625	15 Feb 2017	America/New_York	accep	Morningside Heights	40.81
-98.11889	15 Aug 2017	America/Mexico_City	excellent	Casa Blanca	19.04222
5.51978	03/29/2013, 00:00:00	Europe/Amsterdam	maintenance	Tongelre	51.44889
4.82313	2017-08-29	Europe/Brussels	good	Lille	51.24197
-38.94722	14 Apr 2015	America/Bahia	good	Canavieiras	-15.675
4.21372	2013-07-19	Europe/Brussels	maintenance	Temse	51.12794
43.63417	01/12/2021, 00:00:00	Europe/Moscow	building	Novopavlovsk	43.96222
-1.325	2017/04/23	Europe/Madrid	building	Jumilla	38.47917
-1.48119	2022-01-25	Europe/London	accep	Belper	53.0233
-7.32097	05/30/2022, 00:00:00	Europe/Lisbon	good	Custoias	41.1053
0.47713	21 Feb 2015	Europe/London	average	Strood	51.39323
5.37429	24 Jun 2016	Europe/Brussels	good	Houthalen	51.03427
18.34717	28 Nov 2013	Europe/Warsaw	maintenance	Reda	54.60528
-122.2608	2015/11/07	America/Los_Angeles	good	American Canyon	38.17492
9.29109	2021/04/27	Europe/Rome	good	San Giuliano Milanese	45.39402
42.7125	2019/07/16	Africa/Djibouti	excellent	'Ali Sabieh	11.15583
-52.2	04 Jun 2022	America/Sao_Paulo	good	Marau	-28.44917
-122.23484	05 Sep 2013	America/Los_Angeles	accep	Kent	47.38093
-76.72803	2017/09/25	America/New_York	accep	Woodlawn	39.32288
3.16667	2019-10-31	Europe/Brussels	maintenance	Wevelgem	50.8
118.53333	2020/09/18	Asia/Shanghai	accep	Pucheng	27.92333
-71.29144	2015/07/25	America/New_York	building	Middletown	41.54566
-71.06616	2014-03-14	America/New_York	maintenance	Malden	42.4251
15.87735	2017/04/06	Africa/Bangui	accep	Carnot	4.94273
-0.2	2021-01-27	Europe/London	building	Barnet	51.65
112.9	2016-10-28	Asia/Shanghai	accep	Xiangtan	27.85
86.68363	2015/07/09	Asia/Kolkata	good	Adra	23.49668
109.22921	2017/12/24	Asia/Shanghai	accep	Yanliang	34.65918
75.35927	2014-02-17	Asia/Kolkata	accep	Talipparamba	12.04161
-2.58736	2013/12/12	Europe/London	maintenance	Arbroath	56.56317
-78.04471	07/30/2019, 00:00:00	America/New_York	average	Leland	34.25628
10.98461	2020/05/06	Europe/Berlin	accep	Friedberg	48.35693
116.10146	2019-01-19	Asia/Kuching	accep	Donggongon	5.90702
-86.19903	2016-08-29	America/Managua	average	Jinotepe	11.84962
-51.87389	2015-09-14	America/Sao_Paulo	good	Sarandi	-23.44361
49.62251	2016/09/21	Asia/Riyadh	building	Al Jubayl	27.0174
