H2CO	O3	TEMP	CO	longitude	CFCs	PRES	warning	C2H3NO5	PM10	NH3	SO2	Pb	NOx	PM2.5	latitude	CH4	PAHs
51.36220	8.84430	13.73102	8.71675	-116.37697	66.92384	1050.40550	1.00000	2.69116	10.95522	3.07994	9.88142	52.43579	8.06072	11.19274	33.72255	8.46127	9.83705
40.37227	7.71398	15.43794	10.60511	2.59753	45.69326	1157.62799	1.00000	0.16085	7.64129	4.83125	8.84432	61.46120	8.70763	11.56156	8.88649	9.28897	9.74112
46.14595	8.41173	2.09013	9.02390	88.1453	55.25884	1153.65646	1.00000	0.11237	7.10560	8.60591	8.12302	51.53260	9.37320	8.63718	22.4711	10.34103	8.59300
63.01443	9.59721	24.23287	9.67862	-2.58736	66.30348	1125.21180	1.00000	0.05841	5.39975	8.42955	8.57280	62.24980	8.21609	6.68501	56.56317	11.05865	7.28033
38.78394	8.45045	13.21605	7.96282	-93.12577	69.71391	1112.00239	1.00000	0.33316	8.65789	7.02344	10.81139	60.69299	7.91457	12.92895	44.73941	10.66266	8.29762
63.93061	7.41770	13.23666	9.69654	76.12647	56.29175	1195.97842	0.00000	0.29864	8.49511	7.83012	8.91708	43.93340	7.69565	9.45576	32.55531	7.03343	9.46280
50.35604	6.88923	-10.23167	11.03181	11.32903	51.92422	1076.18845	0.00000	0.11069	6.96764	10.30680	10.16989	53.22930	7.93800	11.57609	50.9803	6.68859	8.09145
45.47044	7.26815	14.95779	4.96199	72.54064	27.09155	1143.60515	1.00000	28.37609	13.32735	8.70764	8.91197	83.66162	9.04767	7.00891	31.82539	12.44729	8.57302
68.61288	7.17683	-0.07131	5.20557	51.0193	43.00710	1123.24158	1.00000	2.04933	10.67680	8.12469	8.09677	33.22984	6.70462	10.37727	35.6803	9.69462	10.23644
55.87483	9.96498	6.40482	9.27983	4.85668	65.28704	1119.80639	1.00000	0.55935	9.29073	11.82901	8.37038	55.92919	7.97839	8.32691	36.27462	7.66846	8.58754
44.29069	10.44044	12.88224	6.92558	-88.64235	64.12445	1140.26290	0.00000	0.25468	8.41431	12.28593	10.34884	58.91081	9.61117	11.08995	46.09273	7.95640	11.07740
53.97937	7.36970	30.82942	6.89016	139.6853	42.02373	1081.09781	1.00000	0.27032	8.55142	9.97780	8.09348	71.32958	8.31109	9.28051	35.815	10.09677	10.52793
53.86575	7.74873	24.71362	8.56464	-85.43772	59.47585	1054.97993	1.00000	0.07439	6.17028	8.09471	7.08499	58.40658	8.35023	8.32382	10.63504	10.48126	9.16851
59.82482	10.12183	16.94095	8.40423	30.98551	68.85776	1078.15857	1.00000	0.05591	4.42923	7.21023	9.71501	61.27925	9.21588	8.15907	2.41669	10.32760	8.86260
53.93174	9.75213	25.07055	8.43903	98.50893	49.51348	1158.76371	0.00000	0.94111	9.90333	2.34274	7.10203	41.74747	7.63305	14.04686	16.68911	11.30424	7.67945
6.16708	10.62933	26.60706	8.45792	73.06784	27.16710	1086.74754	0.00000	0.08534	6.59326	10.19837	7.78056	35.22706	6.29324	9.98129	25.13915	5.54983	10.28728
51.17736	6.83885	23.66566	10.06406	72.34424	42.47875	1081.97884	0.00000	1.37819	10.28572	7.94844	9.41611	54.85114	9.73338	10.20744	40.78206	10.06331	11.09795
20.64118	6.90588	28.54759	9.38582	6.76111	26.98273	1192.08648	1.00000	0.11729	7.25026	10.15196	9.76064	60.50880	10.25709	8.03818	53.16167	10.75166	8.30495
48.60016	7.69911	24.74282	10.41384	72.54566	47.72143	1091.84444	1.00000	0.11843	7.24727	7.80838	8.78820	55.10633	7.39125	9.33032	29.69221	11.63331	8.28710
70.50623	9.15701	15.07422	10.60360	-53.13722	66.31729	1146.82682	0.00000	0.70463	9.59771	6.76081	8.75687	55.00395	8.92639	9.26922	-22.92306	10.20242	8.91988
36.06918	8.66061	11.13682	10.96613	-75.69947	47.06181	1086.25860	0.00000	0.32736	8.68407	6.43922	8.30603	74.30975	8.17448	8.49926	8.79577	11.00293	10.08191
53.01579	8.26055	5.88694	8.60025	-43.80139	33.86900	1078.71431	0.00000	1.00583	9.95979	7.22470	9.33589	68.67222	10.95909	10.88296	-20.25333	9.49164	9.65014
67.58717	8.09790	18.88406	6.12443	123.17306	59.56249	1189.93294	1.00000	0.66899	9.52401	7.96335	8.34297	51.96163	8.17523	10.36753	41.27194	10.97344	9.62095
34.61433	8.76180	15.71642	10.44820	0.93333	34.40610	1114.79084	0.00000	2.23740	10.75280	7.53986	6.98068	59.08823	9.81088	11.31884	52.68333	8.26262	13.04118
38.41569	6.83758	-1.67988	10.74820	30.4347	59.07410	1064.47014	1.00000	0.44263	8.87724	12.05106	8.76182	68.21166	6.95311	7.36801	-1.9487	11.54791	8.23882
46.83923	8.65870	13.52065	11.11228	117.59152	39.77866	1136.12019	1.00000	0.12943	7.45881	8.89444	8.88364	40.23650	9.04486	7.80732	3.31332	11.03967	5.98787
56.38521	9.34432	30.16547	8.42266	28.28489	22.43265	1183.03722	1.00000	1.30113	10.18113	6.78977	9.32796	48.97886	8.38590	9.55698	48.15659	10.71286	8.88451
74.15496	7.45644	10.42398	9.05361	76.12647	40.85360	1184.29130	1.00000	0.16175	7.74531	10.50114	9.70407	65.51385	9.94665	5.95544	32.55531	9.24591	6.86712
69.11643	8.08586	20.83645	11.74034	99.89166	27.39116	1139.93345	1.00000	0.10539	5.70012	9.91416	10.15246	41.36167	11.06674	6.43912	15.46063	9.69448	6.89361
41.55600	8.58789	24.04124	9.43363	-96.72365	44.94870	1127.63647	0.00000	0.59439	9.34948	6.64153	9.30172	53.47067	8.92263	8.77853	17.06542	11.06825	8.65771
19.27360	8.83864	16.64588	11.94668	-89.64066	44.31970	1173.34758	0.00000	0.18552	7.88798	8.64491	7.78794	55.43784	8.29043	9.66017	40.56754	8.28533	10.19071
73.46254	8.36876	12.91067	6.10400	46.58333	50.12727	1177.83163	1.00000	1.46751	10.34113	7.53705	6.70045	49.97707	7.73780	9.04681	-21.15	11.62763	9.69578
40.47543	8.67580		6.39002	4.82313	71.27526	1091.64895	1.00000	0.40973	8.87489	7.03426	8.28008	48.89000	8.13017	11.72411	51.24197	10.82372	9.82969
57.95491	7.89470	13.98389	11.58942	88.18466	49.29946	1171.02369	0.00000	0.40375	8.90911	5.80261	8.83558	43.67139	11.29065	8.79284	22.19303	9.81072	10.74738
33.93397	8.79319	6.60658	8.56027	9.0027	45.32920	1139.92832	1.00000	5.75531	11.72956	4.54856	8.77253	50.65521	7.48474	8.74261	11.86064	9.81369	9.58313
65.64363	8.63781	32.00446	8.11616	5.74861	36.94552	1052.52063	0.00000	7.04240	11.92219	9.24953	9.34868	56.17639	10.86100	11.92754	52.71083	8.50797	8.07693
62.98377	8.55003	-4.32566	6.08610	75.06583	35.23669	1187.85424		2.15519	10.74103	8.37635	9.02706	61.06773	8.65509	7.80774	32.17629	11.37733	10.23367
18.10123	8.93284	9.99633	11.94420	75.06583	42.00298	1093.42127	1.00000	1.03024	9.97228	11.08272	8.42733	32.45356	9.04516	7.51556	32.17629	11.24658	7.12792
29.19582	7.58143	12.72967	7.45324	110.71639	48.15428	1092.27540	1.00000	1.67395	10.47376	4.12330	7.52030	58.61534	6.92842	13.06189	-7.54972	9.74364	8.78778
52.76031	8.93392	8.36834	10.08634	39.28333	64.06827	1171.89706	1.00000	0.42697	8.99047	8.24868	6.64353	56.44727		8.41788	-10.33333	8.80309	10.20319
37.95916	9.39856	16.81615	8.24803	123.33471	53.84143	1134.46025	1.00000	0.06763	3.90594	7.12492	8.25095	60.10879	8.72556	6.54890	8.56697	8.72535	5.29393
36.62558	9.02752	22.63251	12.93673	2.45012	47.54330	1153.79130	0.00000	0.26158	8.23540	4.07895	7.77804	58.53178	7.48858	7.53620	48.90982	9.09570	9.30881
32.54573	8.23003	16.70396	9.57620	-83.2321	40.93241	1057.89276	1.00000	0.15553	7.23379	9.12347	8.34663	40.81629	9.05122	8.25412	33.08014	11.51663	7.64700
59.32838	8.69015	15.12852	9.85897	13.57661	57.41252	1180.42778	0.00000	0.29227	8.51008	8.18757	7.42253	64.22729	9.41260	9.45242	37.31065		12.00243
51.34765	9.14340	15.91682	6.66590	71.67164	38.22439	1080.37340	1.00000	9.76006	12.25267	6.37308	9.30107	77.12801	7.32602	7.49144	30.29184	9.64598	10.64882
51.57155	7.26196	8.93583	10.19250	-81.24441	79.71677	1191.66022	1.00000	0.54255	9.22278	12.82153	8.75770	65.72187		6.33155	23.15678	8.42527	5.77323
47.17997	8.55280	11.91738	11.83482	7.2278	46.28378	1145.67761	0.00000	0.12106	7.39325	7.18702	6.12097	53.63838	6.89297	8.01402	50.64336	7.31429	9.46536
