location	QoS	longitude	station	latitude	revision
America/New_York	accep	-73.89875	Yonkers	40.93121	11/23/2013, 00:00:00
Asia/Kolkata	good	75.37991	Deoli	25.75728	08/31/2018, 00:00:00
Europe/Prague	good	13.63617	Most	50.50301	06/02/2019, 00:00:00
Europe/Paris	accep	5.55575	Lons-le-Saunier	46.67535	07/11/2018, 00:00:00
Africa/Mogadishu	accep	42.54536	Kismayo	-0.35817	2014/05/08
Africa/Dar_es_Salaam	good	35.7	Iringa	-7.76667	2021/04/01
Africa/Bangui	accep	15.87735	Carnot	4.94273	12/23/2014, 00:00:00
Indian/Antananarivo	good	47.31667	Antanifotsy	-19.65	2016-04-15
America/Martinique	good	-60.94228	Le Robert	14.67751	2013/01/21
America/New_York	excellent	-84.23381	Stockbridge	33.54428	06/22/2017, 00:00:00
Europe/London	good	0.47713	Strood	51.39323	2020-06-08
Asia/Karachi	excellent	72.54566	Hasilpur	29.69221	2019/06/22
Africa/Bangui	accep	15.87735	Carnot	4.94273	2016/11/22
Asia/Baku	good	45.36561	Qazax	41.09246	17 Mar 2014
Asia/Tokyo	accep	136.13108	Ueno-ebisumachi	34.75856	2013-04-29
Asia/Kolkata	building	76.03889	Osmanabad	18.18158	15 Dec 2020
Europe/London	building	0.93333	East Dereham	52.68333	02/02/2013, 00:00:00
America/Sao_Paulo	average	-50.19556	Iturama	-19.72806	2018-08-29
Asia/Manila	accep	124.84472	Maasin	10.13361	01/04/2014, 00:00:00
America/Sao_Paulo	excellent	-51.87389	Sarandi	-23.44361	01/24/2013, 00:00:00
Asia/Kolkata	maintenance	88.1453	Pujali	22.4711	2016-04-05
America/Sao_Paulo	building	-43.80139	Itabirito	-20.25333	2020-06-07
Asia/Jerusalem	good	34.86563	Ramla	31.92923	14 Sep 2019
America/New_York	maintenance	-81.23621	Lexington	33.98154	2017-08-20
Europe/Moscow	good	37.56667	Likhobory	55.85	2019-08-14
Asia/Shanghai	excellent	120.74221	Changshu City	31.64615	10/02/2013, 00:00:00
Asia/Makassar	good	116.82887	Balikpapan	-1.26753	2017-03-03
America/Guatemala	excellent	-91.11667	Chichicastenango	14.93333	2020/05/16
Asia/Shanghai	good	117.33333	Taozhuang	34.85	07/21/2021, 00:00:00
America/Recife	good	-35.03333	Cabo	-8.28333	09/11/2021, 00:00:00
Asia/Qyzylorda	good	65.50917	Kyzylorda	44.85278	2014/12/15
Europe/Dublin	good	-7.95	Athlone	53.43333	06/13/2013, 00:00:00
Europe/Paris	good	5.55575	Lons-le-Saunier	46.67535	02/13/2014, 00:00:00
Europe/Paris	excellent	4.91667	Bron	45.73333	2016/12/12
Asia/Kolkata	accep	76.35484	Alwaye	10.10649	2022/07/10
America/New_York	average	-73.49484	New Canaan	41.14676	03/29/2021, 00:00:00
America/Los_Angeles	excellent	-120.93549	Riverbank	37.73604	2014/09/25
America/Edmonton	average	-113.3187	Sherwood Park	53.51684	06/03/2022, 00:00:00
Africa/Nairobi	average	34.11169	Busia	0.46005	2016/08/14
Europe/Kiev	accep	25.34244	Lutsk	50.75932	2014-09-16
Asia/Kuching	good	116.10146	Donggongon	5.90702	2019-03-30
