latitude	PAHs	warning	O3	C2H3NO5	PRES	TEMP	Pb	CFCs	PM2.5	CH4	H2CO	longitude	NOx	PM10	SO2	NH3	CO
30.46907	5.84496	1.00000	7.22048	3.89794	1112.87006	14.62639	19.20959	76.43190	5.78923	8.18878	42.16587	70.96699	7.22668	6.29677	10.70346	7.78795	9.47252
45.53069	6.25410	1.00000	10.04827	6.33530	1111.65632	20.56024	46.68844	71.55896	5.60620	9.24912	62.91083	9.40531	7.41512	8.41222	7.85307	6.46213	7.66243
0.46005	6.87482	1.00000	6.63295	1.66712	1083.62961	7.33400	52.98475	74.22011	6.23537	8.15416	44.37156	34.11169	5.83867	5.69936	11.39480	6.15349	11.08178
42.24113	8.59322	0.00000	9.57871	4.53620	1126.25384	35.71286	43.33723	69.33431	8.77116	6.03433	76.69362	-88.3162	4.86873	7.58190	7.52119	7.50885	5.39117
36	8.57152	1.00000	6.88206	7.28992	1195.70778	22.76753	45.20989	77.81369	7.07186	5.84247	59.57678	139.55722	7.04312	8.46943	7.03008	6.62290	5.66828
53.81667	6.68574	0.00000	8.98634	6.81613	1132.38182	8.89717	33.56495	82.20034	10.57222	6.86400	56.56144	-3.05	6.71879	8.31510	8.93763	8.33391	5.57441
45.9836	8.87624	1.00000	5.52430	2.81752	1115.41752	4.36742	74.87454	66.59700	6.51663	4.89367		12.70038		6.76264	6.24196	6.46960	7.70437
-29.2975	7.35183	1.00000	4.12954	2.62526	1101.68526	20.66342	60.05583	62.65576	5.30377	4.79602	50.56748	-51.50361	7.68358	6.67115	4.97626	6.35566	8.26614
-33.59217	9.72415	1.00000	6.78904	2.84280	1193.35051	22.54876	64.26230	77.17315	6.26420	5.08594	16.76677	-70.6996	7.02626	6.59811	6.67355	5.32476	5.90490
13.44581	9.09137	0.00000	9.25895	10.92729	1130.35426	19.22815	53.40741	67.24476	8.80984	4.79530	48.92425	101.18445	6.79382	8.76673	8.81507	6.37543	4.54469
31.39547	7.21747	1.00000	9.50826	13.29436	1062.81601	-2.97479	52.74475	76.25658	5.14203	10.98339	40.41689	34.75699	6.96338	9.14176	12.79482	6.53822	8.14465
51.12794	9.08830	0.00000	5.78840	3.97522	1143.07987	4.33482	32.03110	71.34047	7.39120	8.78210	35.06001	4.21372	6.34674	7.53562	8.36777	7.31828	7.31613
41.84364	5.58285	1.00000	8.82313	1.76487	1145.58487	13.62301	63.21089	77.65628	7.64251	8.16310	33.00598	-87.71255	6.70094	5.37775	8.06157	7.04827	10.59429
39.57582	7.78051	0.00000	7.99528	19.46300	1111.22699	12.46283	39.75393	77.10675	10.98088	7.27499	38.62952	-105.11221	9.67715	9.55826	9.23151	6.67451	8.21652
39.43534	10.39191	0.00000	8.92395	2.07185	1078.92100	19.24161	56.91776	61.32773	8.65140	6.47899	38.15536	-84.20299	8.31812	5.55841	9.64991	7.84974	3.12739
59.33333	8.30127	1.00000	6.22974	2.98663	1153.74262	25.20499	49.87621	76.90845	6.85367	6.96113	57.38563	18.28333	7.37561	6.68204	5.70104	6.95271	4.49479
49.5099	8.36426	0.00000	9.85463	3.60626	1110.37890	3.13489	49.83046	72.60624	9.13806	5.13172	36.83570	6.74549	7.79471	7.07345	8.53418	6.71919	4.09667
45.50369	6.84348	0.00000	9.68161	4.66010	1140.84637	14.75037	56.31335	68.00049	9.76770	4.55865	68.69420	11.412	6.45505	7.63802	8.17901	8.05081	6.09259
50.75	8.41570	1.00000	7.22318	3.53324	1052.08813	31.79100	68.63106	75.61925	2.38455	8.52864	62.76503	2.25	8.17405	7.16323	4.63243	5.65000	6.96278
