code	station	longitude	latitude	QoS	revision
NL	Schiebroek	4.47124	51.95838	maintenance	2013/07/31
DE	Kirchlengern	8.63333	52.2	accep	06 Dec 2017
DE	Trossingen	8.64409	48.07667	average	08 Jan 2022
NO	Harstad	16.54165	68.79833	maintenance	02 Aug 2017
PK	Daud Khel	71.57118	32.87533	excellent	16 Aug 2020
UA	Nova Kakhovka	33.34864	46.75451	good	2013/08/11
TR	Serinhisar	29.26639	37.58105	good	2018/07/20
MY	Donggongon	116.10146	5.90702	accep	2013/05/10
PK	Bhit Shah	68.49143	25.80565	good	13 Feb 2018
FR	Colomiers	1.33467	43.61058	maintenance	04/27/2013, 00:00:00
DE	Gifhorn	10.5511	52.47774	excellent	2015/07/23
AR	Aguilares	-65.61427	-27.4338	good	08/03/2017, 00:00:00
US	Ada	-96.67834	34.77453	maintenance	2022-09-18
TD	Mongo	18.69303	12.18441	maintenance	05/07/2016, 00:00:00
GB	Rutherglen	-4.21376	55.82885	accep	16 Sep 2018
DE	Halstenbek	9.85	53.63333	average	07/01/2014, 00:00:00
CD	Kasangulu	15.16554	-4.5833	accep	03/08/2022, 00:00:00
JP	Shinshiro	137.5	34.9	excellent	2017-02-18
GB	Devizes	-1.99421	51.35084	excellent	2016/04/26
SD	Ar Ruseris	34.3869	11.8659	accep	2020/06/10
FR	Le Chesnay	2.12213	48.8222	good	2020/02/03
TR	Serinhisar	29.26639	37.58105	good	20 May 2017
DZ	Bordj Zemoura	4.85668	36.27462	excellent	18 Oct 2017
ID	Wangon	109.05389	-7.51611	accep	15 Apr 2019
IT	Roseto degli Abruzzi	14.01481	42.67164	good	2020/09/02
US	Pottstown	-75.64963	40.24537	excellent	09/25/2016, 00:00:00
BE	Beveren	4.25633	51.21187	maintenance	2019-05-30
FR	Mitry-Mory	2.61667	48.98333	good	2020/03/01
RW	Rwamagana	30.4347	-1.9487	average	12 Apr 2013
CR	Liberia	-85.43772	10.63504	excellent	03/26/2019, 00:00:00
DE	Charlottenburg-Nord	13.29371	52.53048	maitennce	02/18/2014, 00:00:00
MG	Sakaraha	44.53333	-22.9	acceptable	2012/10/04
BR	Caldas Novas	-48.62789	-17.74431	accep	17 Nov 2018
US	Collinwood	-81.56929	41.55838	good	2022/05/19
FR	Vienne	4.86667	45.51667	excellent	2022-09-03
RU	Severodvinsk	39.8302	64.5635	excellent	2019-12-22
TH	Nakhon Pathom	100.04427	13.8196	average	2019/11/10
MY	Ulu Tiram	103.81667	1.6	maitennce	2018/07/18
MX	Jocotepec	-103.42897	20.28527	maintenance	04 Dec 2013
US	Sunnyside	-120.00865	46.32374	excellent	2019/04/06
IN	Talipparamba	75.35927	12.04161	accep	2019-10-13
DE	Hofheim am Taunus	8.4493	50.09019	good	05/19/2017, 00:00:00
IT	Francavilla Fontana	17.58522	40.53123	accep	2016-06-04
IN	Sojat	73.66633	25.92493	good	03 Feb 2016
DE	Marburg an der Lahn	8.77069	50.80904	average	11/21/2020, 00:00:00
IN	Hungund	76.0586	16.06213	building	2013-05-21
IN	Osmanabad	76.03889	18.18158	maintenance	03/14/2020, 00:00:00
MY	Kulai	103.6032	1.6561	good	26 Oct 2016
CN	Dongfeng	125.51176	42.64031	excellent	10/22/2021, 00:00:00
MY	Teluk Intan	101.02083	4.02219	excellent	2020/12/01
CZ	Most	13.63617	50.50301	average	09/22/2018, 00:00:00
CL	Ovalle	-71.19901	-30.60106	accep	07 May 2013
BD	Kushtia	89.11943	23.9028	accep	06/13/2019, 00:00:00
US	Fairview Heights	-89.99038	38.58894	average	2014-05-27
RU	Danilov	40.17171	58.1908	building	23 Dec 2016
US	Abilene	-99.73314	32.44874	good	08/11/2015, 00:00:00
AR	Pontevedra	-58.70072	-34.74785	good	02/15/2013, 00:00:00
US	Lebanon	-84.20299	39.43534	excellent	2016-09-05
JP	Fujioka	139.07204	36.24624	accep	2013-03-27
US	Carlsbad	-104.22884	32.42067	building	06/29/2014, 00:00:00
DK	Frederiksberg	12.53463	55.67938	average	11 Dec 2014
US	Watsonville	-121.75689	36.91023	excellent	08/17/2018, 00:00:00
PK	Jhol	68.88871	25.95533	accep	2017/11/29
MA	Oulmes	-6.00137	33.42585	average	29 Sep 2016
BR	Cabo	-35.03333	-8.28333	excellent	11/23/2017, 00:00:00
RU	Volokolamsk	35.96944	56.03361	accep	2014/05/23
US	American Canyon	-122.2608	38.17492	maintenance	2017-06-15
DE	Karben	8.77155	50.23019	maintenance	2016/08/13
CN	Taozhuang	117.33333	34.85	good	2012/10/03
IR	Aleshtar	48.26258	33.86419	excellent	02/03/2020, 00:00:00
CN	Changzhi	111.73861	35.20889	average	29 Nov 2014
US	Hueytown	-86.99666	33.45122	building	2015-03-21
IT	Gorgonzola	9.40531	45.53069	excellent	2019-10-27
UA	Shepetivka	27.06365	50.18545	accep	01/22/2020, 00:00:00
US	Opportunity	-117.23991	47.64995	average	2013-05-02
IN	Betamcherla	78.14797	15.45144	good	11/27/2012, 00:00:00
AU	Baulkham Hills	150.99292	-33.75881	good	12 Feb 2016
NE	Mirriah	9.15013	13.70727	maintenance	25 Nov 2013
BR	Barras	-42.29444	-4.24444	accep	2021-11-08
US	Rutland	-72.97261	43.61062	accep	2018/10/10
FR	Montpellier	3.87723	43.61092	average	2016-03-04
FR	Talence	-0.59543	44.80477	excellent	03/06/2014, 00:00:00
ID	Cibinong	106.85417	-6.48167	accep	08/20/2020, 00:00:00
IN	Gariadhar	71.57737	21.53889	average	2014/12/14
US	San Gabriel	-118.10583	34.09611	good	12/14/2021, 00:00:00
MX	Paracho de Verduzco	-102.04897	19.64745	maintenance	12 Feb 2016
NG	Yenagoa	6.26764	4.92675	building	2020-11-17
MT	Valletta	14.51472	35.89972	accep	2016-05-28
BE	Temse	4.21372	51.12794	maintenance	2018-12-17
US	Camarillo	-119.0376	34.21639	maintenance	14 Oct 2013
MM	Myawadi	98.50893	16.68911	excellent	2021-07-08
US	Westchester	-87.882	41.85059	excellent	08/10/2015, 00:00:00
IN	Sheoganj	73.06784	25.13915	accep	2017-09-21
CN	Laiwu	117.65694	36.19278	accep	2020/01/06
VE	Ciudad Guayana	-62.64102	8.35122	accep	15 Oct 2019
US	Longview	-94.74049	32.5007	good	05/21/2018, 00:00:00
ES	Puertollano	-4.10734	38.68712	excellent	24 Dec 2012
DE	Marburg an der Lahn	8.77069	50.80904	maintenance	2014-06-16
IN	Gajendragarh	75.96976	15.73628	excellent	2019-08-01
US	Brunswick	-69.96533	43.91452	good	06/23/2016, 00:00:00
KE	Busia	34.11169	0.46005	excellent	03/28/2015, 00:00:00
IN	Elamanchili	82.85749	17.54907	maintenance	2016/06/01
TR	Serinhisar	29.26639	37.58105	excellent	10/06/2015, 00:00:00
NZ	Gisborne	178.00417	-38.65333	excellent	05/28/2017, 00:00:00
BR	Soure	-48.52333	-0.71667	excellent	2014/09/19
US	Murray	-88.31476	36.61033	excellent	09/14/2020, 00:00:00
NZ	Gisborne	178.00417	-38.65333	building	01/02/2020, 00:00:00
CL	Chiguayante	-73.02841	-36.9256	accep	2017-12-19
PK	Bhit Shah	68.49143	25.80565	accep	06/27/2022, 00:00:00
IT	Portogruaro	12.84052	45.78071	average	08/10/2022, 00:00:00
US	San Gabriel	-118.10583	34.09611	average	09 Nov 2013
US	Brenham	-96.39774	30.16688	good	03/21/2022, 00:00:00
RU	Kireyevsk	37.92792	53.93361	accep	13 Apr 2022
AU	Maryborough	152.70493	-25.54073	average	27 Apr 2018
DZ	Boumerdas	3.47717	36.76639	excellent	04/12/2019, 00:00:00
AU	Maryborough	152.70493	-25.54073	average	10/14/2017, 00:00:00
US	Crystal Lake	-88.3162	42.24113	maintenance	08 Dec 2017
GH	Bibiani	-2.31938	6.46346	accep	2012-10-27
TH	Roi Et	103.65309	16.0567	building	2021/08/13
KG	Jalal-Abad	73	40.93333	maintenance	2018/12/16
US	West Chester	-75.60804	39.96097	good	2019/07/15
HN	Olanchito	-86.57415	15.48131	accep	2014-03-15
DE	Siegburg	7.20769	50.80019	average	2017/08/11
BR	Resplendor	-41.25528	-19.32556	maintenance	11 Aug 2016
CA	Sydney	-60.1831	46.1351	average	2013/12/22
RU	Alatyr’	46.5813	54.8421	maitennce	2017-10-23
ID	Kediri	112.01667	-7.81667	excellent	16 Feb 2013
JP	Hita	130.94098	33.3213	accep	2018-10-15
US	Stockbridge	-84.23381	33.54428	average	2016-02-06
IT	Ariccia	12.6723	41.72063	good	07 Aug 2017
DE	Trossingen	8.64409	48.07667	excellent	25 Sep 2020
TH	Phanat Nikhom	101.18445	13.44581	excellent	04/07/2021, 00:00:00
BO	Tupiza	-65.71875	-21.44345	good	03/12/2013, 00:00:00
US	New Canaan	-73.49484	41.14676	good	12/17/2017, 00:00:00
GN	Camayenne	-13.68778	9.535	average	08/27/2020, 00:00:00
US	Grand Forks	-97.03285	47.92526	excellent	04 Feb 2021
ES	Puertollano	-4.10734	38.68712	good	2012-10-13
UG	Kitgum	32.88667	3.27833	average	2020/09/10
BR	Cabo	-35.03333	-8.28333	accep	03 Jun 2014
AR	Chacabuco	-60.47389	-34.64167	good	2022/04/06
US	Granger	-86.11084	41.75338	maintenance	2021/12/27
US	Hutchinson	-97.92977	38.06084	excellent	2018-10-02
TR	Patnos	42.85693	39.22493	accep	2018/03/31
US	Encinitas	-117.29198	33.03699	accep	03 Jun 2014
GB	Newbury	-1.32471	51.40148	excellent	12/16/2014, 00:00:00
ID	Muncar	114.33333	-8.43333	average	2017/07/22
CU	Varadero	-81.24441	23.15678	excellent	05/29/2021, 00:00:00
ID	Kediri	112.01667	-7.81667	building	01/20/2015, 00:00:00
IN	Rajaori	74.3092	33.37526	average	20 Apr 2016
US	Utica	-75.23266	43.1009	good	05 Oct 2021
NE	Mirriah	9.15013	13.70727	excellent	2020-06-28
US	Nutley	-74.15987	40.82232	acceptable	2014/09/22
PH	Maasin	124.84472	10.13361	excellent	2019/04/15
DZ	Frenda	1.04945	35.06544	excellent	2017/11/25
UA	Zvenihorodka	30.96755	49.07866	excellent	04/13/2021, 00:00:00
