C2H3NO5	PM2.5	CFCs	CH4	TEMP	PAHs	PM10	Pb	longitude	latitude	SO2	warning	PRES	O3	CO	NOx	H2CO	NH3
3.00564	6.05703	48.93413	10.30158	52.97626	11.17321	8.61259	56.83546	-84.62081	42.7392	9.90450	0.00000	1063.06108	9.97062	9.34515	9.80227	33.82246	10.05931
1.02632	10.31119	43.16616	7.72486	31.85928	12.90614	7.78707	60.07057	112.01667	-7.81667	9.20865	1.00000	1081.63309	6.09042	9.56191	8.43145	35.43819	10.33562
4.04262	5.43137	41.68489	10.98600	21.43494	8.88860	9.11740	49.12450	-87.45476	41.47892	8.33081	0.00000	1130.63509	10.77936	7.50871	9.54336	54.06182	6.78102
1.57711	10.62102	73.87991	6.73204	13.87849	12.42236	8.20716	64.09413	-4.22398	57.47908	11.00908	1.00000	1124.30038	8.20725	9.64423	8.89744	31.20132	6.93364
2.24920	9.01180	58.79443	9.20634	23.32627	7.20173	8.48078	39.71577	-120.93549	37.73604	10.28918	0.00000	1112.52681	6.58478	9.38406	8.69317	56.24934	9.99357
2.90800	9.94686	61.17720	7.11285	13.86365	8.39381	8.60846	65.07948	47.3799	33.14447	7.79853	1.00000	1130.00339	10.34027	9.92820	9.29220	57.12259	8.65279
3.10103	9.61205	55.19735	6.14629	14.94078	11.02432	8.74271	56.98369	-75.69947	8.79577	10.80559	1.00000	1077.90520	7.47032	8.79788	9.58650	46.85427	8.96533
0.80610	11.81403	54.40502	9.26473	3.97724	6.38713	7.01179	38.31858	10.03988	53.6052	7.67714	1.00000	1120.43374	10.07894	11.00470	6.36911	46.57970	7.70615
2.56725	9.25624	75.34472	8.27000	12.92346	11.35946	8.53988	50.09877	-80.08199	35.88264	10.95649	1.00000	1074.69517	8.68613	10.29118	8.48004	60.43376	10.08045
2.39597	9.79435	39.98323	3.70371	9.91447	9.94678	8.50470	37.87479	-0.33525	53.7446	10.47478	0.00000	1136.75611	10.56942	5.92752	9.13982	42.04078	10.48783
2.36644	13.27238	31.43233	10.00765	4.35580	4.16877	8.27496	46.14124	-73.49484	41.14676	4.86991	1.00000	1052.36677	11.45699	11.21713	9.91486	42.05016	7.81773
1.85482	9.58114	51.92259	8.35411	8.69815	8.20155	7.80972	40.48654	13.10984	51.30001	8.68369	1.00000	1087.00972	6.59786	10.15545	11.00067	25.44781	9.38607
2.76345	5.83923	35.56758	7.22995	12.59968	7.29383	8.62618		115.70111	37.73222	12.75787	0.00000	1142.64634	9.50930	6.99371	8.30182	53.80431	8.59276
