revision	latitude	longitude	QoS	station	code
2015-05-17	42.30865	-83.48216	good	Canton	US
2014/04/22	45.73333	4.91667	building	Bron	FR
28 Feb 2018	50.80019	7.20769	maintenance	Siegburg	DE
2016/09/05	51.12794	4.21372	maintenance	Temse	BE
2016/10/29	50.72043	11.34046	building	Rudolstadt	DE
02 Sep 2020	9.3337	122.8637	accep	Santa Catalina	PH
19 Apr 2022	51.39148	-0.29825	average	Surbiton	GB
08/26/2016, 00:00:00	41.91738	3.1631	average	Palafrugell	ES
2021-07-04	50.09019	8.4493	accep	Hofheim am Taunus	DE
14 Jun 2020	33.45122	-86.99666	average	Hueytown	US
11/24/2013, 00:00:00	10.20898	123.758	accep	Naga	PH
2016-04-29	24.05979	77.40858	maintenance	Leteri	IN
05/29/2018, 00:00:00	40.55851	17.80774	maintenance	Mesagne	IT
14 Sep 2014	5.90702	116.10146	average	Donggongon	MY
05/17/2016, 00:00:00	39.32011	-76.51552	accep	Rosedale	US
17 Nov 2016	39.57582	-105.11221	accep	Ken Caryl	US
02/25/2020, 00:00:00	43.61062	-72.97261	maintenance	Rutland	US
29 Apr 2022	51.08468	7.11393	maintenance	Burscheid	DE
2016-04-13	12.35275	121.06761	excellent	San Jose	PH
08/06/2022, 00:00:00	42	21.32778	excellent	Saraj	MK
07 Mar 2016	33.37526	74.3092	maintenance	Rajaori	IN
2019/04/11	-23.7975	-48.59278	maintenance	Buri	BR
21 Dec 2018	53.37596	51.3452	maintenance	Otradnyy	RU
21 Nov 2017	53.7446	-0.33525	excellent	Kingston upon Hull	GB
08/02/2013, 00:00:00	40.24537	-75.64963	excellent	Pottstown	US
2015-10-27	36.81667	117.81667	building	Zhoucun	CN
2014/08/15	-38.16604	145.13643	maintenance	Frankston South	AU
2020-09-27	36.65	138.31667	good	Suzaka	JP
2017-08-05	41.16704	-73.20483	building	Bridgeport	US
10/16/2015, 00:00:00	54.39304	53.26023	accep	Bavly	RU
01 Mar 2016	36.75965	137.36215	maintenance	Namerikawa	JP
2015-02-11	18.18158	76.03889	building	Osmanabad	IN
13 Feb 2020	13.70167	-89.10944	average	Ilopango	SV
2022-05-02	9.6531	124.3697	good	Jagna	PH
12/26/2017, 00:00:00	53.5942	25.8191	good	Novogrudok	BY
2015-07-08	33.7207	-116.21677	accep	Indio	US
2018-10-26	41.55815	-73.0515	building	Waterbury	US
01/17/2013, 00:00:00	43.96222	43.63417	good	Novopavlovsk	RU
03/20/2017, 00:00:00	-32.05251	115.88782	average	Willetton	AU
08 Feb 2019	0.46005	34.11169	excellent	Busia	KE
2014/03/11	41.15376	-87.88754	average	Bourbonnais	US
12/15/2021, 00:00:00	37.74615	-25.66689	accep	Ponta Delgada	PT
2020-07-31	47.80527	-122.24064	average	Bothell West	US
2019-08-25	51.26	-2.1875	building	Westbury	GB
06/29/2019, 00:00:00	40.1675	34.37389	good	Sungurlu	TR
2014/02/14	40.60538	-73.75513	accep	Far Rockaway	US
2016-11-21	37.73222	115.70111	maintenance	Hengshui	CN
2020/12/16	60.18427	24.95034	excellent	Kallio	FI
07/25/2017, 00:00:00	24.96334	10.18003	good	Ghat	LY
03/03/2021, 00:00:00	10.10649	76.35484	accep	Alwaye	IN
22 Jul 2017	-7.81667	112.01667	excellent	Kediri	ID
2014/09/11	12.1277	78.15794	accep	Dharmapuri	IN
2016/03/02	37.73604	-120.93549	average	Riverbank	US
01/28/2019, 00:00:00	34.61667	135.6	accep	Yao	JP
2013-11-04	42.7392	-84.62081	accep	Waverly	US
2020-04-14	60.2052	24.6522	building	Espoo	FI
25 Mar 2019	38.68712	-4.10734	excellent	Puertollano	ES
2020-05-27	45.49428	-122.86705	average	Aloha	US
18 Nov 2012	45.0408	-93.263	excellent	Columbia Heights	US
03/26/2013, 00:00:00	38.72706	-9.24671	good	Carnaxide	PT
2016/07/21	-11.78333	19.91667	average	Luena	AO
25 Mar 2016	50.80019	7.20769	maintenance	Siegburg	DE
29 Oct 2018	10.29085	105.75635	average	Sa Dec	VN
06/10/2021, 00:00:00	36.64852	51.49621	accep	Nowshahr	IR
2017-04-16	33.78333	114.51667	good	Wacheng	CN
2018-05-16	20.28527	-103.42897	excellent	Jocotepec	MX
07/01/2017, 00:00:00	51.82721	107.60627	maintenance	Ulan-Ude	RU
08/10/2013, 00:00:00	15.46063	99.89166	average	Thap Than	TH
24 Jun 2018	43.54072	-116.56346	good	Nampa	US
17 Oct 2021	41.1053	-7.32097	excellent	Custoias	PT
2018/01/12	51.168	7.973	building	Finnentrop	DE
2018-08-06	36.76775	2.95924	accep	Cheraga	DZ
02/02/2018, 00:00:00	-1.9487	30.4347	accep	Rwamagana	RW
2013-12-06	35.72917	10.58082	average	Msaken	TN
09/03/2020, 00:00:00	41.57439	24.71204	excellent	Smolyan	BG
2021-03-26	50.06	43.2379	accep	Mikhaylovka	RU
2015/07/19	51.39148	-0.29825	average	Surbiton	GB
2022/05/28	8.79577	-75.69947	good	San Carlos	CO
2021-06-30	18.00747	-76.78319	accep	New Kingston	JM
2013-11-14	54.58048	16.86194	maintenance	Ustka	PL
13 Sep 2019	53.78333	-1.06667	excellent	Selby	GB
10/29/2021, 00:00:00	11.93381	79.82979	accep	Puducherry	IN
06 Apr 2018	48.77275	5.16108	good	Bar-le-Duc	FR
04/29/2021, 00:00:00	36.76775	2.95924	accep	Cheraga	DZ
2021-04-25	49.13645	8.91229	good	Eppingen	DE
2016-04-03	49.41029	38.15035	maintenance	Svatove	UA
2020-10-14	30.16688	-96.39774	average	Brenham	US
2017/12/08	8.35122	-62.64102	good	Ciudad Guayana	VE
06/02/2021, 00:00:00	-32.45242	-71.23106	average	La Ligua	CL
26 Nov 2013	44.43579	26.01649	good	Sector 6	RO
04/12/2014, 00:00:00	48.86667	2.08333	good	Marly-le-Roi	FR
