latitude	O3	Pb	PM2.5	NOx	PAHs	CFCs	TEMP	H2CO	NH3	longitude	warning	PRES	CO	SO2	PM10	C2H3NO5	CH4
35.6803	7.25171	43.06670	5.47219	8.23174	7.58618	47.74941	17.26158	41.87447	7.45587	51.0193	1.00000	1089.68842	9.29399	5.31620	6.42591	3.73004	7.25380
32.05971	6.14100	59.83890	9.97362	8.28230	8.10559	50.42322	15.25539	39.99535	4.19308	34.8732	1.00000	1095.71170	5.64406	7.02513	8.48436	8.97806	11.41616
-22.57306	7.59398	35.31993	7.66696	5.90309	6.23744	42.87545	15.55027	39.99460	7.40083	-47.1725	0.00000	1197.28480	6.42482	6.69220	8.29195	8.36752	5.74534
41.15612	6.55525	33.84035	5.77408	6.68545	9.12365	67.92565	21.75018	63.24523	8.49021	1.10687	1.00000	1121.03480	7.57987	6.80443	6.85486	3.27705	5.63288
27.55898	6.86307	60.52640	3.84518	9.60373	7.89317	55.65129	17.51720	55.66429	11.18384	68.21204	1.00000	1127.03656	7.89950	5.24226	7.89740	5.64739	6.03011
41.48199	4.22595	24.30985	7.01046	7.04063	9.28994	45.79170	1.85835	42.08424	8.99689	-81.79819	1.00000	1119.13334	8.67297	6.03534	8.19386	8.08701	6.07932
38.47917	6.64528	46.02629	7.13493	5.63731	6.47781	37.75682	9.62384	46.97735	5.60888	-1.325	0.00000	1112.22704	7.71621	5.47373	6.08694	2.96878	8.34611
55.54028	5.82426	49.36260	5.68923	7.98854	7.05555	28.66474	2.72922	58.62827	7.23362	89.20083	0.00000	1118.16456	8.70539	6.95360	7.23996	4.13523	8.41633
-14.66463	8.15218	37.66707	6.67856	7.62596	4.47268	34.47919	8.85978	56.54253	7.19360	-52.35558	1.00000	1165.15472	7.20626	8.44316	5.79106	2.33156	9.15704
-10.91722	6.58808	61.39540	7.63126	9.79936	7.06165	72.51259	17.56798	38.35057	4.64027	-37.65	1.00000	1135.67836	8.32450	6.82240	7.78601	4.87338	8.90841
14.53767	4.44321	54.45461	10.81070	8.88864	8.46160	48.42819	26.44350	70.10013	3.07493	46.83187	1.00000	1183.90698	6.52311	8.08187	9.63117	24.46917	11.11379
25.92493	5.61337	46.63196	8.69082	9.88757	8.46316	59.46295	31.98596	56.79118	4.72268	73.66633	0.00000	1082.30533	7.07683	9.78564	7.56461	5.46268	10.76091
-4.26613	7.78059	63.55464	5.82369	6.22586	6.75455	48.48770	22.48435	41.65164	6.12924	15.28318	0.00000	1067.56125	6.66555	7.11699	8.45320	8.67513	6.46619
31.20176	7.11989	59.62737	5.73618	8.63445	0.80532	56.22313	29.09711	37.69220	8.23970	29.91582	1.00000	1145.29103	7.05094	6.57884	7.52904	4.44760	8.05067
41.27194	4.90437	50.09336	9.78807	7.30177	5.43478	39.25950	15.98643	60.03524	6.33004	123.17306	0.00000	1135.39396	6.81948	6.91247	5.45778	2.48024	10.32607
41.09822	6.40576	43.43100	7.57011	8.34369	6.97853	57.20784	10.83453	50.28359	6.31408	120.74792	0.00000	1067.60778	6.18907	7.11421	6.92053	3.05700	7.31415
36.19278	4.86919	59.17504	10.06778	8.08098	7.88860	42.14262	12.57005	39.06147	3.53683	117.65694	1.00000	1067.47253	9.22748	7.21939	7.35851	4.23798	10.74833
7.50251	10.37447	55.94445	8.81568	7.60067	6.47380	47.28573	32.36130	45.24641	7.51830	5.06258	0.00000	1095.60566	7.78319	6.40450	9.17198	18.30088	7.00922
6.03333	4.75081	30.70259	12.42720	5.77774	10.35973	51.78737	26.86554	55.66364	3.74646	37.55	1.00000	1111.67144	6.97398	10.60262	6.87930	3.62955	13.97276
39.08367	6.18793	44.11537	9.92732	7.39113	6.82334	38.91514	11.69333	44.77911	5.35292	-84.50855	1.00000	1099.00399	7.28683	8.48456	7.60249	5.09166	11.65099
41.48199	4.38061	19.27073	6.38311	6.84982	7.34931	52.64571	5.12293	70.17108	7.47857	-81.79819	0.00000	1096.37576	7.47849	9.46744	7.61292	6.36937	6.99937
48.52961	4.90879	52.15379	10.09594	6.61286	6.41382	41.82741	18.34485	43.91690	6.22895	12.16179	1.00000	1099.73044	6.24783	4.36801	7.44076	4.51426	8.16035
50.06	6.61031	42.99055	7.35347	8.52043	3.48589	85.23565	2.20797	66.79048	8.83532	43.2379	1.00000	1092.57460	6.92380	3.12273	5.45634	3.30863	6.91422
11.84962	8.10743	60.86327	3.71679	7.75354	4.77269	48.56153	36.69346	50.62630	5.20056	-86.19903	1.00000	1156.74309	7.19517	3.87809	4.84822	2.21627	5.74186
11.15583	4.98431	22.43483	8.62988	7.17522	6.46085	64.42190	19.64758	58.62535	4.86866	42.7125	1.00000	1121.41313	5.62022	5.66171	8.24409	8.82487	8.13750
4.02219	8.07969	45.10768	8.23491	7.14564	4.27315	43.92426	22.35806	36.81122	4.96614	101.02083	0.00000	1110.57849	6.33138	8.32006	7.70793	5.03001	6.40536
50.82882	6.87009	41.22089	9.60259	6.71680	8.42986	45.80927	17.12041	47.72312	7.91918	-0.32247	1.00000	1100.38033	6.65932	5.32341	6.40271	3.89636	3.63753
41.54566	4.72797	45.74493	7.47610	6.95045	7.07959	52.21339	16.06473	62.88121	7.27890	-71.29144	0.00000	1120.19526	6.74022	9.60590	6.80561	4.13892	6.24146
15.58552	6.26567	41.78546	8.19935	7.11949	5.69415	46.82233	1.45213	44.41862	5.85499	102.42587	1.00000	1085.32343	6.39198	7.11382	7.55361	4.35155	8.94739
31.84568	2.82146	11.40855	9.00991	8.76450	7.64170	58.74052	21.66324	55.21695	5.18407	-102.36764	0.00000	1093.87280	7.96179	12.54436	6.03117	2.00992	4.44448
2.41669	6.99611	28.63796	5.87615	5.53205	9.85252	50.00665	7.86817	24.08131	10.89533	30.98551	1.00000	1054.23692	7.47490	6.15918	8.50372	9.81283	8.22094
-4.16694	4.96433	57.12487	9.64764	7.29025	6.29135	76.68704	10.81145	48.76162	6.74257	-40.7475	0.00000	1089.51562	6.47209	10.59066	6.70701	5.02702	4.66594
50.23271	6.18655	50.61770	8.67729	7.27150	9.95219	64.38906	28.42932	45.09600	10.75120	12.87117	1.00000	1105.56062	7.49665	5.70223	5.54454	2.72796	4.81106
50.50301	5.39609	45.13068	5.61998	9.86031	8.75435	59.20468	26.17682	30.00286	8.52455	13.63617	1.00000	1110.40197	6.29199	6.21155	8.75754	11.93641	6.43804
9.91861	6.27860	41.23772	8.87296	7.13257	4.20044	58.11649	24.42780	46.36099	8.00639	-68.30472	1.00000	1198.33438	7.73232	5.52474	8.87797	13.09657	8.26654
24.05979	7.77349	47.97109	6.31919	7.89945	7.47316	53.35122	17.71938	52.75319	7.39382	77.40858	1.00000	1054.20610	8.67910	4.86016	6.28165	1.96080	6.26257
5.20856	3.80678	60.10995	7.21881	7.48942	7.74476	62.52550	26.81924	28.50634	7.60444	-74.73584	0.00000	1138.01054	7.09297	7.71053	8.43132	8.09983	7.40101
51.08468	6.55226	31.96770	11.35738	8.53855	6.33290	49.31707	4.57691	39.38300	6.44541	7.11393	0.00000	1141.91967	6.85968	9.71244	7.31992	3.60148	9.30701
53.6052	7.39167	69.08615	6.86769	7.61158	3.88022	48.72277	23.13708	47.00828	7.33712	10.03988	1.00000	1051.67736	6.55955	6.11386	7.79709	5.87178	7.46333
50.80904	6.72808	40.77931	5.16975	8.02598	10.58089	56.73100	17.56630	47.46621	9.10068	8.77069	1.00000	1186.32298	5.34331	8.29591	7.29338	4.34986	5.82982
40.34912	6.26456	55.20870	6.07833	6.80085	8.31326	73.89175	17.30407	28.61489	5.71646	-111.90466	1.00000	1101.08181	8.74243	6.93581	7.72347	5.18222	4.35552
36.20389	5.84788	46.81973	7.85477	6.75344	5.48056	44.51345	5.10298	38.51507	6.38529	127.08472	0.00000	1136.94824	8.20485	9.20524	7.87876	5.68980	6.23790
31.28092	7.08814	50.83218	12.84901	7.12737	5.89926	62.00563	19.41232	50.70448	5.97838	74.85849	0.00000	1190.93902	6.72613	9.69403	6.87558	4.37284	9.30745
42.4251	10.10505	53.71462	11.55509	6.87636	6.32752	57.28338	28.26374	46.34524	4.76480	-71.06616	0.00000	1092.84931	6.59999	7.17589	7.96229	6.71446	8.21115
50.26729	6.87347	46.07695	9.71415	8.76086	4.72216	53.72525	-3.31396	48.41636	5.22434	-119.27337	0.00000	1050.33209	7.76110	10.75117	7.26717	3.44800	4.47012
43.62558	7.13178	62.60153	9.15457	7.22093	6.60954	54.19305	21.72102	42.54076	5.84854	13.39954	0.00000	1084.83702	5.60634	8.25708	7.50028	4.15588	5.95593
55.39485	9.71023	57.74436	9.98332	7.88662	6.14224	58.05126	15.95652	44.10974	6.69444	43.83992	0.00000	1162.03278	8.67181	9.83321	6.69976	2.00319	10.46923
41.16704	6.43088	54.07750	8.09385	7.61975	6.49684	52.53049	15.82508	45.34550	5.95138	-73.20483	0.00000	1107.15615	6.92964	6.33682	7.21187	3.90726	7.58699
46.75451	6.37364	59.20458	7.77507	7.37150	8.21954	65.00612	21.47265	57.21980	7.12617	33.34864	1.00000	1076.73601	8.86641	5.54314	8.08103	6.99620	6.49185
37.65639	6.31672	50.48935	7.43823	6.73176	6.14039	68.08392	27.07064	42.59182	5.18817	126.835	1.00000	1180.94025	7.10324	5.28901	7.22619	4.15028	7.08509
44.31771	10.91272	58.97716	8.21921	8.13394	4.60829	54.95943	-2.46622	56.89294	3.85322	9.32241	0.00000	1139.85207	7.14378	8.28356	7.38838	5.00973	7.99274
42.24113	5.98196	45.14842	3.88000	7.48480	8.64391	47.77698	17.90125	48.53174	9.54010	-88.3162	1.00000	1118.96285	8.05801	6.23700	9.64834	26.46995	7.06653
22.75218	4.78102	52.57693	11.17629	6.31806	7.38481	59.16826	29.63093	53.54888	6.85617	72.68533	1.00000	1122.88797	8.22995	5.49808	9.33918	19.04706	10.45509
42.58342	5.54664	29.79004	8.19239	6.85105	5.79536	51.45838	34.78058	25.29669	6.68214	-71.8023	1.00000	1053.88107	8.15549	3.42975	8.05803	8.03931	4.88672
36.82167	9.06988	68.67119	9.01587	6.50052	4.89997	62.30337	15.14967	52.18357	5.72288	128.63083	0.00000	1168.72311	8.59691	9.53277	5.10689	2.55117	9.30033
48.07667	6.05618	27.71506	8.08539	6.74466	4.77152	47.58518	4.75541	43.13689	7.32373	8.64409	1.00000	1129.00414	6.98919	5.05704	5.89134	2.75447	7.30914
11.15583	4.95003	16.65323	3.10533	7.20251	10.13840	35.77441	13.42468	50.93978	7.83820	42.7125	1.00000	1109.16958	8.11781	9.87277	7.09492	5.11068	3.22728
53.19146	6.06846	68.16812	10.40217	6.85702	6.09167	65.54733	2.66094	35.71158	5.54296	-2.52398	0.00000	1101.26383	7.53642	8.57560	7.49013	4.68972	5.24222
-1.26424	8.76281	54.28712	11.03554	6.69105	5.28892	52.63295	10.99931	33.05459	5.09190	104.09701	0.00000	1194.48091	6.49494	7.69187	7.98716	6.24867	7.73768
-37.32167	7.89702	44.57185	10.56936	8.02042	6.93468	37.56252	39.64099	41.56610	6.00296	-59.13316	0.00000	1173.12281	7.66416	8.98141	6.99495	4.67376	9.46909
42.28639	7.30707	67.51022	6.93599	6.39737	8.72618	69.93880	24.44187	32.75082	9.33976	18.84	1.00000	1100.44044	6.56186	5.35463	8.54702	9.33363	5.88326
18.87813	8.87734	40.66299	4.78253	7.80284	3.56339	49.73553	15.89509	65.03044	7.34547	72.93924	1.00000	1177.56913	7.19742	4.94604	8.54507	10.87144	5.81884
23.1959	5.17382	44.63575	9.78628	5.06957	6.12090	48.13614	17.15059	48.84992	5.98226	86.51499	1.00000	1158.62560	9.41173	4.48357	8.18106	7.24489	8.55899
52.86147	6.63987	34.14048	6.31558	7.26946	1.95178	57.08834	11.32815	50.28080	9.12078	9.5926	1.00000	1060.93683	7.97585	3.88991	6.85027	3.43913	5.32804
47.48444	4.89192	56.86245	9.10480	8.13523	9.33101	45.76441	28.33970	31.13413	6.66994	36.25361	1.00000	1092.50902	8.42577	6.96728	10.60360	64.97437	3.75971
-20.25333	4.79610	34.25587	10.10475	8.80395	10.01854	64.50293	-9.97724	44.41242	3.83655	-43.80139	1.00000	1182.46582	6.91065	5.79052	6.98907	3.11558	9.73606
25.6439	6.33035	45.99195	9.12690	7.87903	4.95124	41.07248	5.07498	38.23829	6.00593	77.9129	0.00000	1175.47547	8.41278	9.72173	8.37802	9.16807	5.24296
52.53048	6.60793	55.05991	8.79378	6.83402	5.71552	43.23132	-8.66137	59.05952	5.24128	13.29371	0.00000	1071.83771	6.70037	8.93833	7.78052	5.23104	5.91373
50.82709	5.42223	63.11437	9.17000	6.69712	6.84651	51.57841	5.20331	35.01208	5.56024	6.9747	1.00000	1167.33842	6.01024	5.76453	8.50567	9.04399	9.00119
8.56697	8.92480	49.82559	8.26330	8.19068	5.22645	55.45691	10.03108	28.05364	4.32411	123.33471	0.00000	1073.65197	6.92911	7.08277	8.37631	10.17904	7.09374
65.84811	3.72174	41.55048	6.49229	7.45033	6.49618	77.81267	20.04104	55.96757	7.03467	24.14662	0.00000	1066.70390	8.03259	9.26163	5.78986	1.39072	7.00240
37.51803	5.72144	46.23261	8.93467	7.52644	4.43586	63.71912	8.67368	79.36799	5.78684	15.00913	0.00000	1175.65287	6.35610	8.66907	7.15068	4.61438	5.88446
47.98372	7.23491	42.49593	9.30426	7.25709	5.37120	58.69730	11.47123	45.28905	4.60128	10.18527	0.00000	1068.47984	7.43169	8.81921	6.87025	3.31867	5.55833
39.78504	4.97164	33.31006	6.68428	8.18846	7.34024	44.51868	27.70807	45.43703	7.37985	-85.76942	0.00000	1086.28367	8.89278	8.10401	6.54148	2.66679	7.35589
6.45407	9.48275	57.69402	8.67232	7.34415	6.53780	43.87039	34.06631	52.22206	5.87058	3.39467	0.00000	1184.66030	5.28406	8.97082	5.90224	1.29533	9.64740
34.56861	8.69155	36.19260	6.22460	6.86132	5.76491	47.02103	22.85909	60.18755	7.72172	105.89333	0.00000	1130.95733	6.92669	8.15018	7.66667	5.48284	7.43034
54.52156	7.55115	47.86585	7.58831	8.13591	5.52643	41.41203	14.53869	68.73061	4.36218	9.5586	0.00000	1131.78593	8.14493	8.94911	7.96567	4.96828	6.52773
29.65163	7.15215	38.13415	8.91301	8.22061	5.45410	56.92228	19.50283	43.29610	5.59949	-82.32483	0.00000	1111.04824	6.20899	7.20225	7.14288	3.46789	6.59335
48.06919	8.42936	45.89408	6.37021	6.91050	7.53638	32.03502	9.41328	47.86573	9.25679	11.37703	1.00000	1099.90826	6.08042	4.84609	9.34801	19.12230	5.47671
5.90702	9.37431	49.46840	7.52483	8.69755	4.42157	64.98476	9.70692	43.78261	5.73180	116.10146	0.00000	1089.42671	7.41539	10.74680	5.32638	2.35368	9.99492
25.66795	3.87666	44.71179	4.89825	5.03506	10.41524	38.62885	13.71254	34.09488	9.10454	85.83636	1.00000	1135.35773	6.06664	8.26594	7.05883	2.30562	5.68750
52.61131	5.85948	42.47395	4.61894	8.06661	7.55113	45.58924	6.89145	36.91197	7.60286	13.31783	1.00000	1168.79738	6.43843	5.73524	5.75177	2.00602	7.13020
12.25282	6.99526	45.92071	7.95748	7.35675	4.64186	60.65167	6.73170	45.51831	7.83740	79.41727	1.00000	1186.46902	6.96139	2.49044	6.52890	2.71672	6.46248
34.61667	6.62703	42.32056	6.10099	7.93481	4.71615	54.99375	-2.73000	29.19018	9.56726	135.6	0.00000	1129.84788	5.51436	9.43110	7.52945	4.54295	5.98135
48.52961	8.83717	44.38459	5.43729	7.30576	3.66520	38.33596	29.16146	53.63816	7.74002	12.16179	1.00000	1053.66482	7.83511	5.12646	7.74306	4.98205	6.83797
37.16911	7.74952	32.42962	9.29560	8.10517	4.79467	67.78937	25.56239	59.94366	8.32719	10.03478	0.00000	1160.63844	7.27606	9.79038	6.83877	3.89132	8.23471
36.20389	5.89708	58.04872	6.64012	5.52582	10.52240	46.08733	18.92994	55.98641	8.06284	127.08472	1.00000	1132.30857	8.16534	8.28208	7.20939	4.84518	5.26615
13.65805	5.33398	46.27522	8.43693	6.93909	5.59979	55.08146	-0.77250	45.76029	5.19770	102.56365	0.00000	1051.03231	9.04574	11.46210	8.26529	8.94700	4.94415
41.41204	3.43880	68.59534	11.29332	7.62579	8.57738	42.98098	32.59642	54.52121	4.92583	2.18247	1.00000	1169.30383	5.67535	6.07181	6.09749	2.23717	10.36018
33.03699	5.87814	41.46478	7.43779	6.28016	5.90223	45.96252	41.27782	22.34761	6.44340	-117.29198	0.00000	1157.04113	7.40120	8.59787	8.44276	9.26323	6.68044
9.15093	6.09779	44.16413	8.93935	7.79319	5.34939	46.44318	21.09653	56.83473	6.57057	-79.62098	1.00000	1177.53909	7.53270	6.89272	9.05481	16.71763	9.84765
55.54028	6.11121	40.33845	10.66770	5.27368	5.10446	85.90556	21.94001	49.89945	4.96265	89.20083	0.00000	1173.85712	8.03321	10.68022	7.04355	4.31954	4.05144
38.37255	5.54124	21.80053	10.17194	8.04040	5.18543	49.12611	17.09968	54.56701	6.82242	34.02537	1.00000	1061.68034	7.30085	5.47811	8.22286	9.19569	10.42467
6.45407	6.01258	25.70982	7.43938	6.79808	8.95067	45.68877	21.31754	21.41538	7.59804	3.39467	1.00000	1119.88385	7.87584	6.25862	5.74422	3.46796	4.95982
25.49043	5.99207	40.07307	9.79452	5.76190	7.91861	58.27787	21.87908	37.36922	5.33148	85.94001	1.00000	1112.71457	8.09776	7.44706	4.26861	3.48476	10.09997
33.76446	5.28078	40.65647	10.09116	6.89793	6.39601	62.22162	-0.48965	41.17664	5.77739	-117.79394	1.00000	1081.00311	6.87407	6.72553	7.59274	6.36779	10.25813
20.22816	5.98236	49.63864	6.97636	6.01879	6.51998	39.16572	0.35401	65.50029	5.45275	-103.5687	1.00000	1066.49837	7.44390	3.34305	8.68883	12.89503	4.75455
7.62789	5.27804	67.26731	3.95904	7.22018	5.52477	50.96137	11.16771	63.32389	10.86869	4.74161	0.00000	1161.76234	6.03415	8.34964	7.09001	3.87003	5.27042
20.22816	4.80363	48.90476	8.00937	6.56204	9.35377	43.65708	7.86172	34.84849	8.15269	-103.5687	1.00000	1117.58462	9.20708	6.36077	7.67790	5.21987	5.87351
7.50251	5.69846	53.55722	4.27363	6.78836	9.22310	59.71475	14.51809	42.73259	9.75491	5.06258	1.00000	1053.04610	9.02557	7.18954	7.44783	4.53591	4.56350
29.84576	9.74687	24.50042	9.44231	7.81915	6.78057	46.82242	18.64726	53.72929	2.88270	-90.10674	0.00000	1114.76340	7.25277	6.89927	6.84135	1.74512	7.89871
34.56861	5.56108	42.82108	8.71934	8.05932	4.66287	80.80116	23.23416	45.01990	8.55594	105.89333	1.00000	1078.49635	6.08811	4.67821	6.92186	3.82018	7.77076
