latitude	code	longitude	revision	QoS	station
32.05971	IL	34.8732	04 Aug 2018	excellent	Ganei Tikva
20.88953	US	-156.47432	2021-08-01	accep	Kahului
14.14989	PH	121.3152	2016/12/21	accep	Calauan
14.62072	IN	74.83554	2016-04-18	good	Sirsi
39.08367	US	-84.50855	2020-01-30	excellent	Covington
22.10194	IN	85.37752	2012-12-05	building	Barbil
30.76468	PK	74.12286	06 Jul 2014	excellent	Kanganpur
54.39304	RU	53.26023	01/08/2022, 00:00:00	average	Bavly
14.14989	PH	121.3152	10/16/2018, 00:00:00	average	Calauan
53.38333	GB	-0.76667	09/12/2014, 00:00:00	good	Gainsborough
54.58048	PL	16.86194	03/24/2021, 00:00:00	good	Ustka
50.23019	DE	8.77155	01/03/2013, 00:00:00	excellent	Karben
17.34769	IN	78.55757	2021/06/11	accep	Lal Bahadur Nagar
4.94273	CF	15.87735	2013/08/05	good	Carnot
38.91817	US	-78.19444	2015-07-17	accep	Front Royal
48.79325	FR	2.29275	12/06/2013, 00:00:00	average	Fontenay-aux-Roses
34.77453	US	-96.67834	10/11/2014, 00:00:00	good	Ada
-37.88333	AU	145.06667	2017-05-03	excellent	Carnegie
52.57583	NL	6.61944	04/24/2020, 00:00:00	accep	Hardenberg
-5.85746	PG	144.23058	11/10/2014, 00:00:00	accep	Mount Hagen
27.52948	PK	68.75915	04/12/2015, 00:00:00	accep	Khairpur Mir’s
53.53041	RU	43.67663	2017/03/23	building	Nizhniy Lomov
40.68066	US	-73.47429	2014/05/04	excellent	Massapequa
48.43174	SK	17.8031	2017-10-20	average	Hlohovec
11.00599	IN	77.5609	2012-11-25	accep	Kangayam
9.91861	VE	-68.30472	07 Sep 2016	good	Tinaquillo
50.64336	DE	7.2278	2020/01/06	building	Bad Honnef
12.04161	IN	75.35927	2020/11/11	maintenance	Talipparamba
-11.48472	BR	-37.93278	21 Oct 2020	building	Rio Real
6.25947	TH	102.05461	2020/11/17	maintenance	Tak Bai
53.14657	RU	140.72287	2019/09/27	good	Nikolayevsk-on-Amure
33.98154	US	-81.23621	02 Nov 2021	good	Lexington
42.30865	US	-83.48216	16 Jul 2016	accep	Canton
-19.32556	BR	-41.25528	2015-09-27	good	Resplendor
37.65181	CN	120.33063	2016/06/10	accep	Longgang
12.25282	IN	79.41727	01 May 2017	good	Gingee
10.7375	PH	122.9666	2014/11/08	good	Talisay
36.91023	US	-121.75689	31 Jan 2014	accep	Watsonville
26.2649	IN	81.54855	2021-11-11	average	Jais
12.25282	IN	79.41727	2021-05-13	maintenance	Gingee
31.20176	EG	29.91582	19 Oct 2013	good	Alexandria
58.04254	RU	65.27258	2013/01/31	excellent	Tavda
41.6764	US	-91.58045	08/22/2015, 00:00:00	building	Coralville
44.92801	FR	4.8951	2022-07-23	excellent	Valence
34.56861	CN	105.89333	17 Nov 2014	building	Beidao
14.53767	YE	46.83187	2014-10-08	good	Ataq
43.86682	CA	-79.2663	05 Oct 2020	good	Markham
37.51803	IT	15.00913	04/02/2018, 00:00:00	accep	Misterbianco
-10.33333	TZ	39.28333	2022/04/16	good	Nyangao
32.5007	US	-94.74049	01/21/2015, 00:00:00	good	Longview
37.49223	IT	15.07041	03/04/2022, 00:00:00	good	Catania
48.43174	SK	17.8031	2020-02-06	accep	Hlohovec
53.59782	RU	34.33825	10/08/2016, 00:00:00	excellent	Dyat’kovo
13.51825	TH	99.95469	2019-05-13	building	Damnoen Saduak
53.94313	DE	10.30215	24 Mar 2020	excellent	Bad Segeberg
31.84568	US	-102.36764	2019/08/27	average	Odessa
47.98372	DE	10.18527	2019-10-12	accep	Memmingen
-36.9256	CL	-73.02841	2014-09-05	maintenance	Chiguayante
33.37526	IN	74.3092	05/16/2017, 00:00:00	excellent	Rajaori
41.20485	PT	-8.33147	2016/06/18	good	Paredes
53.5942	BY	25.8191	2020/08/18	average	Novogrudok
-22.9	MG	44.53333	2012/12/19	excellent	Sakaraha
43.61062	US	-72.97261	2017/01/29	good	Rutland
28.90054	US	-81.26367	2016-04-01	excellent	Deltona
43.2907	FR	5.4384	11/04/2015, 00:00:00	maintenance	Marseille 11
10.22677	VE	-67.33122	2020-03-18	maintenance	La Victoria
43.62558	IT	13.39954	2016-11-01	accep	Falconara Marittima
33.3213	JP	130.94098	09 Dec 2020	excellent	Hita
