SO2	PM10	warning	Pb	H2CO	O3	longitude	PRES	CH4	PM2.5	TEMP	CFCs	latitude	PAHs	NOx	NH3	C2H3NO5	CO
8.72784	7.55659	1.00000	45.40031	41.48566	6.84044	-46.99583	1057.78494	7.47051	7.34179	22.33576	46.03369	-22.97056	7.56851	7.15812	8.18099	0.11129	8.20795
8.66602	10.38016	1.00000	46.00387	52.70152	8.06950	-51.87389	1137.79904	7.49792	8.09899	10.56784	31.77608	-23.44361	5.53980	4.84532	8.04284	1.18864	6.42671
9.33647	8.52733	1.00000	55.67662	59.91683	6.95168	12.38878	1080.74742	7.07941	8.38796	22.67410	45.53637	43.1122	9.36436	4.70661	10.56170	0.22115	9.56321
9.43253	10.65606	1.00000	63.99520	54.37179	6.24032	5.37429	1194.86153	4.69421	7.34375	14.46504	67.94411	51.03427	7.85031	10.66399	6.12720	1.57459	8.61346
8.91370	9.25881	0.00000	59.94300	38.19828	6.57767	39.85331	1191.68462	5.50390	8.46457	-0.35721	48.24010	57.30185	8.71142	7.26461	8.80362	0.40490	8.33751
6.46734	10.57864	1.00000	60.13397	70.14948	9.86327	-2.98884	1112.83737	7.99335	7.26598	19.16324	34.32435	43.32686	7.82841	7.89941	9.58698	1.44682	8.13090
4.47991	4.75546	0.00000	68.68578	69.19995	9.57293	117.27583	1164.74594	8.54514	7.30441	16.42024	70.08200	35.64889	7.37977	6.63178	8.80826	0.08374	7.89700
10.10668	10.73943	0.00000	55.29645	71.33011	6.58230	7.60872	1155.04918	8.43003	7.72618	21.14858	64.09649	43.78956	7.40509	7.16307	6.81571	1.67743	7.33810
6.40386	8.91941	1.00000	32.56090	43.08507	7.96735	-73.49484	1104.69588	6.29282	7.31256	14.18612	74.52618	41.14676	7.87776	8.18185	9.97217	0.32379	7.74872
9.12972	10.49672	0.00000	49.36243	72.06023	4.73544	2.45012	1113.28971	7.44019	7.66447	12.03910	37.85136	48.90982	6.81523	5.20095	5.35032	1.36403	7.65285
6.00399	11.00847	1.00000	45.45444	61.54079	10.30208	27.46153	1190.16843	7.50216	8.83742	-2.66847	66.12339	-21.44236	7.77199	8.69728	8.51568	2.18172	6.85423
6.47756	5.04004	0.00000	69.59690	50.95911	6.95241	117.4831	1115.23831	7.93288	7.69855	11.44011	46.77125	27.34089	6.26102	7.70073	9.37327	0.06405	7.47325
8.54728	8.13782	0.00000	38.79430	40.20737	5.57822	59.6	1162.74504	2.32035	8.18917	-4.09134	44.05870	47.83333	7.44971	4.36062	4.00027	0.17416	8.75873
8.93858	8.46872	0.00000	27.35475	37.52578	6.19845	-76.43941	1126.64833	6.37793	8.47007	15.43553	60.59684	39.33427	7.10017	5.69965	5.34305	0.17948	7.42306
6.36062	8.78640	0.00000	57.86713	68.33444	5.44471	2.29026	1167.26039	8.50619	7.10248		33.42369	48.77644	8.77216	5.31688	10.64969	0.30136	7.10518
6.61670	9.31340	1.00000	27.85294	49.21015	9.09880	-2.77259	1056.05106	3.65627	8.68970	9.96500	57.47303	37.49073	7.64141	7.42844	8.78018	0.44811	8.86153
8.94804	9.30554	0.00000	23.78093	65.68625	5.44757	4.85668	1083.46892	8.20247	10.20695	13.72432	46.78363	36.27462	8.28406	5.46975	5.41491	0.43769	5.90821
7.29912	8.30063	1.00000	45.03221	46.76925	9.23069	-97.92977	1086.58443	5.83905	8.65587	2.08018	55.62848	38.06084	8.56550	8.97095	7.72862	0.21617	8.17649
7.99716	10.64460	1.00000	54.24728	57.98639	4.80804	-93.08883	1150.69794	7.60514	7.08473	30.51470	65.39302	45.16024	9.21932	5.84997	7.97344	1.54420	7.69860
9.48531	9.06445	1.00000	50.03906	51.76795	6.83952	9.47629	1171.30464	6.00293	8.90404	28.58796	41.32898	53.59337	8.43279	7.01608	9.26323	0.37865	7.53678
9.99801	12.10438	1.00000	45.30747	39.40881	5.53962	111.73861	1117.74163	4.90940	9.14730	6.41617	34.43943	35.20889	7.14612	6.21751	8.54716	6.47562	6.55385
7.47495	9.09591	1.00000	61.34198	45.99484	4.47316	11.32903	1110.35676	7.20646	8.19665	9.48028	45.71873	50.9803	8.34685	9.04216	8.62147	0.36747	7.48048
10.00336	10.16351	0.00000	44.59853	57.71016	6.33118	86.00214	1058.25264	8.83297	9.17882	2.62585	50.93012	46.51872	9.54924	5.77181	3.78924	0.96499	5.08228
10.03522	6.74697	1.00000	45.80150	68.16079	7.75365	114.51667	1179.83951	6.88078	6.45273	10.03804	55.62617	33.78333	8.15286	5.12938	10.14576	0.07832	8.87921
9.72036	9.47619	0.00000	50.23978	65.17995	8.05727	102.42587	1170.40802	4.46348	9.79271	25.58191	44.30612	15.58552	8.19488	7.88962	6.71016	0.49643	6.77999
10.03350	8.45673	1.00000	71.85766	34.38168	7.16067	-74.95472	1184.53485		7.03095	24.58990	43.45737	10.98778	8.68699	4.38266	10.48119	0.20003	6.32390
8.58919	9.46337	1.00000	20.65777	53.68792	6.34521	1.00288	1069.77334	6.63449	8.39579	15.32630	49.62315	49.28669	7.00429	7.03503	10.65660	0.53115	6.58379
9.88271	9.97332	0.00000	49.38387	62.84168	9.45393	39.85331	1140.48279	3.91396	8.35759	14.93148	60.87148	57.30185	8.94471	9.98254	10.19603	0.77565	7.45919
8.32781	9.79472	1.00000	43.36236	55.09148	6.73557	6.83042	1067.84457	7.19211	7.52667	7.17877	47.88186	6.15038	8.85806	7.01121	7.56221	0.69041	7.91626
9.04323	9.75896	0.00000	40.04284	32.56267	5.90960	-4.21376	1148.06033	6.69567	7.40349	26.10792	77.93824	55.82885	7.85310	6.67611	7.86497	0.67305	8.68818
6.67070	5.59622	0.00000	54.85695	69.89471	7.76555	-87.45476	1147.47772	10.90345	7.62868	41.66735	51.40993	41.47892	7.44554	5.82848	8.44817	0.06770	7.68451
7.34289	9.48804	1.00000	54.21033	58.78958	10.78704	122.08333	1189.74577	3.52068	7.26968	8.14096	50.69390	46.08333	7.29991	8.95331	6.75922	0.50482	9.08276
7.48227	8.25398	1.00000	40.29216	43.66979	10.07106	37.55	1197.82337	5.15394	9.32269	-1.32938	62.02993	6.03333	8.96481	10.06806	7.94776	0.16070	7.51075
5.08791	11.02342	1.00000	30.91541	52.27122	9.06456	124.95278	1175.89194	8.18211	8.01468	2.32701	62.40646	6.33444	7.95331	8.68022	10.84908	2.23473	9.01067
7.31552	12.47008	1.00000	49.00494	55.02612	9.49012	75.06583	1185.05015	3.79251	7.96424	5.69529	60.27955	32.17629	8.58712	7.05315	9.02876	9.33955	8.56161
6.40650	9.92228	1.00000	40.52374	63.93473	4.50109	115.88782	1185.16676	9.45159	6.95527	2.24570	43.70975	-32.05251	7.16456	5.22722	8.15014	0.76826	8.14766
9.38663	10.47257	0.00000	48.21171	56.68717	4.68940	-71.08977	1150.19999	7.51364	7.53004	16.29756	48.82843	41.9001	7.30779	4.93912	6.28115	1.30216	7.91050
7.62945	7.94514	1.00000	43.93402	61.51501	7.19025	35.34722	1132.88802	6.69704	9.34779	9.62454	63.38281	-23.85972	7.31852	9.55631	9.88885	0.16225	8.54680
8.65384	6.60866	0.00000	50.80557	61.59780	5.86299	-76.51552	1094.37684	8.94289	9.37991	35.29480	40.53072	39.32011	8.35580	5.12335	10.04107	0.06188	9.84955
7.65135	7.45929	1.00000	61.29877	36.90502	6.78068	-87.45476	1124.71466	9.88907	9.17048	26.15842	47.83621	41.47892	5.35018	10.61191	11.36783	0.13009	9.48728
10.78541	10.72168	1.00000	53.56248	33.41354	9.84242	-46.99583	1081.54225	3.71862	6.79352	28.84024	56.88724	-22.97056	9.09695	9.51406	4.94302	1.67389	9.59475
11.41349	8.12121	1.00000	36.28284	60.02478	8.06900	-2.98884	1182.86967	4.81651	8.23483	22.60108	46.12271	43.32686	10.32899	5.24304	12.54727	0.10055	10.79211
5.27570	7.59234	0.00000	22.68671	45.51334	7.28908	-116.97725	1199.01452	8.54616	9.28744	9.69054	56.03759	33.92946	8.63027	5.13457	9.03327	0.12554	6.47294
8.04598	7.84234	1.00000	42.96291	60.27682	11.04791	13.63617	1141.46093	7.67363	6.93353	9.09887	65.35975	50.50301	8.07926	10.84937	7.93943	0.11195	7.28838
6.42910	8.41597	1.00000	57.41564	32.96227	8.40656	37.55	1065.87892	9.49486	5.74079	16.56749	46.55404	6.03333	6.96521	9.72067	10.92323	0.20679	7.90039
7.08249	6.85891	1.00000	62.46054	59.02065	6.92036	26.01649	1195.89016	5.92809	9.56663	-3.46270	61.75894	44.43579	8.99867	9.61737	9.75732	0.08314	6.98749
7.38222	8.19359	1.00000	41.36044	33.63855	9.23612	-71.23106	1139.44906	5.47026	6.96518	14.80109	55.35440	-32.45242	7.96611	9.07550	8.04164	0.18587	6.61574
7.19065	8.68372	0.00000	62.56678	47.49358	3.33348	-0.59543	1141.93918	6.55545	8.42173	14.27482	51.52509	44.80477	7.21487	5.42994	7.85938	0.25315	6.82934
6.25278	10.06048	1.00000	50.15017	46.04165	2.65068	-3.53261	1195.95286	8.02666	10.04687	10.20707	62.65232	40.42386	7.85857	9.78464	7.70134	0.88784	7.89189
6.88571	6.77260	1.00000	45.23060	61.09716	7.33564	10.18527	1181.87606	7.16268	6.91497	-0.49636	75.84314	47.98372	6.73524	10.51911	10.03977	0.07114	8.51056
6.16997	8.12676	1.00000	25.00356	40.44074	7.09380	38.15035	1162.63494	8.35685	7.45482	43.25054	67.18147	49.41029	7.66902	9.17938	11.16565	0.18244	6.94639
8.05996	10.05749	1.00000	39.36319	61.55181	4.26541	71.57118	1166.00740	7.28742	9.53691	27.41646	58.56068	32.87533	7.38014	6.70009	8.70804	0.86280	9.05478
8.28517	10.24500	1.00000	47.93113	43.65026	5.11033	-76.51552	1182.85904	6.92176	7.24296	21.14495	62.32216	39.32011	8.50729	6.64993	8.77649	1.05314	8.65133
9.31057	8.16347	1.00000	52.53766	69.26349	7.23198	120.74792	1153.67915	7.21786	8.29826	24.91232	68.24760	41.09822	8.63744	5.23884	8.84034	0.19035	8.58152
9.07597	9.98998	0.00000	57.84422	49.08436	6.03814	43.38531	1198.00347	6.12268	6.85954	16.82878	42.35498	9.89206	8.12584	6.62792	6.32806	0.82784	6.19444
5.56864	8.98190	1.00000	41.35059	49.57670	9.79926	4.21372	1184.04988	7.51226	6.76229	5.31058	55.25533	51.12794	6.24652	10.10133	10.35967	0.33705	7.12971
9.99618	8.96237	0.00000	50.68693	31.12717	7.99744	-60.1831	1076.01435	5.77675	7.54595	16.72541	50.67414	46.1351	6.16597	6.64467	5.90842	0.34627	8.74865
7.46284	5.23418	1.00000	51.74293	46.15567	7.02848	117.65694	1063.52586	9.96976	7.46877	12.34419	37.11912	36.19278	8.34928	5.57630	8.34808	0.05228	7.85184
7.46918	8.39483	0.00000	51.43363	62.74948	3.53073	68.75915	1188.26058	7.24529	8.99060	24.45622	53.55932	27.52948	9.17212	4.97962	7.49464	0.18030	7.18180
8.15106	8.48679	1.00000	56.12328	55.67447	11.10514	-13.68778	1176.34488	5.35399	8.11843	16.58853	51.77722	9.535	7.71162	11.17442	5.93570	0.22411	6.38341
8.03856	6.39243	0.00000	38.39445	46.57511	4.55544	27.18052	1114.61010	8.34875	6.89286	-1.56914	59.83746	39.12074	7.83634	8.41785	10.10848	0.07469	7.16644
7.13281	8.28984	1.00000	45.54667	68.93909	4.42216	103.81667	1094.45984	8.93903	8.19080	16.21278	41.28224	1.6	7.62371	5.53977	10.39957	0.19173	6.87689
7.64856	8.99344	0.00000	49.80898	43.69067	3.94661	121.3152	1177.02667	9.91931	8.10315	24.03020	58.74030	14.14989	8.47027	5.82032	9.12407	0.30842	6.43962
8.63628	10.15956	1.00000	79.83625	60.81545	5.14095	17.58522	1089.56097	6.84715	7.54509	16.78618	87.60572	40.53123	7.00074	5.66645	10.02885	0.99720	8.02369
6.10394	10.41761	1.00000	51.52331	64.83756	9.18133	-2.01111	1085.12408	7.06907	6.35526	-1.14773	42.76438	52.66277	6.76743	8.47250	9.31328	1.24414	7.00340
8.74193	8.26601	1.00000	53.77979	42.04157	6.07633	8.2926	1089.11131	7.15848	6.02111	-1.76439	43.35619	9.58126	8.16194	5.63800	5.38328	0.22369	7.09041
