location	revision	QoS	longitude	latitude	code
Asia/Kolkata	2015-03-21	excellent	84.63445	24.81757	IN
Europe/Berlin	2015/08/28	maintenance	6.74549	49.5099	DE
Europe/Skopje	10/21/2021, 00:00:00	good	21.32778	42	MK
Europe/Paris	31 Jul 2013	accep	5.4584	43.32393	FR
America/Chicago	04/04/2018, 00:00:00	average	-87.93341	42.55308	US
Australia/Perth	02 Jun 2016	accep	115.88782	-32.05251	AU
Europe/Berlin	2018-05-17	good	6.26667	51.21667	DE
America/Chicago	06/07/2021, 00:00:00	good	-93.263	45.0408	US
Europe/Madrid	2016/08/08	maintenance	0.57856	40.70995	ES
Asia/Karachi	09/14/2014, 00:00:00	good	72.54566	29.69221	PK
Europe/London	12/01/2019, 00:00:00	good	-0.36053	51.64316	GB
Africa/Dar_es_Salaam	2013-06-03	excellent	38.01667	-5.41667	TZ
America/New_York	2013-01-25	average	-77.02303	38.70734	US
Asia/Manila	21 Nov 2015	excellent	121.06761	12.35275	PH
Asia/Tehran	2020-12-16	accep	48.26258	33.86419	IR
America/Chicago	2017/12/01	accep	-91.06177	33.41012	US
America/Chicago	07/10/2016, 00:00:00	good	-89.99038	38.58894	US
America/New_York	03/02/2022, 00:00:00	average	-81.56929	41.55838	US
America/Sao_Paulo	14 Mar 2022	good	-51.50361	-29.2975	BR
Asia/Manila	2022/02/14	excellent	123.89071	10.31672	PH
Europe/Rome	2013-01-30	excellent	17.58522	40.53123	IT
Europe/London	12 Feb 2018	accep	-1.29772	50.76306	GB
America/Belem	01/26/2020, 00:00:00	average	-48.52333	-0.71667	BR
Europe/London	01/15/2018, 00:00:00	good	1.26738	51.84819	GB
Asia/Manila	11 Dec 2020	good	120.57224	15.72892	PH
Asia/Shanghai	2012-12-13	good	111.73861	35.20889	CN
America/Sao_Paulo	2018/07/04	excellent	-52.67056	-26.22861	BR
America/Indiana/Indianapolis	2017/12/05	accep	-86.11084	41.75338	US
Europe/Berlin	07 Apr 2015	accep	10.30215	53.94313	DE
Asia/Tokyo	2015/02/25	average	136.61667	36.53333	JP
America/Bogota	10 Oct 2018	average	-72.47417	7.83389	CO
Asia/Karachi	2022-01-24	good	71.57118	32.87533	PK
Asia/Kolkata	02/06/2016, 00:00:00	good	75.35927	12.04161	IN
Asia/Shanghai	2013/09/08	average	117.81667	36.81667	CN
Asia/Shanghai	2013/09/06	accep	109.22921	34.65918	CN
Asia/Yangon	2015/03/26	average	97.01124	17.30858	MM
Europe/Sarajevo	2018-01-31	accep	19.21437	44.75874	BA
Europe/Lisbon	14 Jul 2021	average	-8.33147	41.20485	PT
America/Sao_Paulo	17 Feb 2022	average	-51.87389	-23.44361	BR
America/Panama	2013-10-02	good	-79.62603	8.88988	PA
Asia/Kolkata	2016-11-13	good	75.35927	12.04161	IN
America/Bogota	06/14/2013, 00:00:00	excellent	-73.9614	10.15031	CO
Australia/Sydney	2018/02/20	accep	146.05093	-34.28853	AU
Asia/Shanghai	2022/02/26	average	117.4831	27.34089	CN
Asia/Bangkok	28 Feb 2015	maintenance	104.64992	14.64056	TH
Europe/Istanbul	06/07/2020, 00:00:00	accep	28.67582	40.98894	TR
America/Mexico_City	2016-12-17	average	-96.72365	17.06542	MX
America/New_York	17 Jul 2022	good	-75.60804	39.96097	US
Asia/Baku	2019-03-11	acceptable	45.36561	41.09246	AZ
Africa/Luanda	2016/07/22	average	19.91667	-11.78333	AO
Asia/Jakarta	2018-01-18	average	106.85417	-6.48167	ID
Europe/Berlin	09 Apr 2022	accep	9.47629	53.59337	DE
Africa/Tripoli	10/09/2012, 00:00:00	maintenance	20.22625	30.75545	LY
America/Toronto	09/28/2020, 00:00:00	excellent	-73.58248	45.40008	CA
Asia/Kolkata	2016-12-26	average	79.82979	11.93381	IN
Pacific/Honolulu	2022-06-07	good	-156.47432	20.88953	US
Europe/London	2017/07/15	average	-4.21376	55.82885	GB
America/New_York	02/22/2014, 00:00:00	accep	-76.99081	38.96372	US
Europe/Berlin	09/01/2013, 00:00:00	average	10.5511	52.47774	DE
Europe/Rome	2019/09/20	accep	11.04979	44.59445	IT
America/Chicago	29 Dec 2016	excellent	-97.03285	47.92526	US
America/Chicago	28 Oct 2016	average	-87.71255	41.84364	US
Europe/Podgorica	2016/09/27	excellent	18.84	42.28639	ME
Asia/Jakarta	2021-03-09	good	114.33333	-8.43333	ID
