PM10	CO	NOx	Pb	PAHs	latitude	PM2.5	PRES	SO2	H2CO	C2H3NO5	CH4	longitude	NH3	CFCs	O3	TEMP	warning
7.30359	9.09759	7.68965	44.19805	8.16199	34.25	8.14646	1122.82905	8.03022	68.96602	0.09179	4.68154	135.31667	8.70260	44.41662	10.42263	29.40716	0.00000
6.05775	5.48167	9.73671	54.66614	3.70286	33.14447	5.83181	1058.89420	7.74595	65.33656	0.12809	5.86565	47.3799	5.53697	47.73532	10.02796	-0.78386	0.00000
6.23202	10.18307	6.59934	74.69776	7.80323	42.7	7.44318	1186.90186	7.75423	41.19038	0.08581	4.64120	27.25	6.51047	31.26866	8.71319	23.80188	1.00000
5.70168	8.91289	5.58770	31.64071	5.90085	18.51957	9.97255	1065.91851	8.38339	47.76345	0.06306	6.71736	73.85535	6.56482	45.46454	5.29682	23.74795	0.00000
5.61347	7.48069	5.38318	49.83401	2.71962	41.24255	7.51113	1078.30036	8.70177	37.04955	0.08229	7.06811	-82.61573	7.22252	31.55249	5.21435	23.47330	1.00000
5.13815	9.12437	4.34401	31.07462	2.53963	53.94313	6.73866	1142.04210	8.57426	55.28860	0.09202	6.19318	10.30215	7.12749	37.86574	4.54418	17.25269	0.00000
9.52191	12.83998	8.57244	32.20584	3.29806	41.72063	7.09067	1181.81613	6.94114	43.11076	0.65917	11.25267	12.6723	7.90815	31.82579	9.89427	21.85869	1.00000
7.68568	10.29187	4.27607	51.44119	5.08751	48.8449	7.28010	1089.28431	9.07604	58.89151	0.19598	3.16828	17.22635	6.01032	22.87688	6.64568	15.81926	0.00000
5.42250	6.69044	8.06131	48.93314	3.94641	5.84752	9.12087	1121.27062	5.80798	56.60031	0.12336	7.13509	-5.682	8.31675	56.21649	9.59311	24.10798	0.00000
4.93463	9.09086	7.83298	41.84687	4.54606	33.72255	5.86216	1126.78346	6.62609	54.56995	0.09390	6.52802	-116.37697	8.39531	55.72127	4.56180	2.95191	1.00000
7.95151	7.07607	7.97603	53.91912	8.86003	12.95629	7.84597	1178.60309	8.70978	15.67810	0.22613	3.77887	78.27539	7.97434	44.51373	12.87989	0.88810	1.00000
7.15187	9.47255	4.89619	54.56350	4.80649	-7.81667	6.81693	1143.06885	8.11075	43.81588	0.14273	4.18942	112.01667	8.30631	31.61357	6.30457	0.38806	0.00000
4.56923	7.89623	7.43795	48.50991	4.83303	23.07492	8.46923	1137.61602	6.48208	57.76292	0.06188	6.57201	88.28637	7.64627	44.66427	6.33484	22.61958	0.00000
10.69178	9.70387	6.39587	56.48204	3.62440	41.24255	8.77314	1133.10211	7.24596	46.74005	1.97949	10.27239	-82.61573	6.73818	41.48425	9.47946	14.14112	0.00000
9.89740	9.31392	6.84628	60.32756	5.95880	33.72255	6.34997	1140.29724	7.43577	43.81017	0.87442		-116.37697	7.53350	51.77800	9.42723	20.40848	1.00000
6.85730	9.90665	4.15799	50.42047	4.93736	39.59611	6.62690	1080.33780	5.56492	62.87571	0.09280	4.11309	27.02444	8.05674	76.61555	5.15284	12.06167	0.00000
9.72593	9.57857	7.89880	54.07115	6.86501	37.51803	6.19599	1198.14353	7.79868	37.54359	0.79244	7.84559	15.00913	8.25831	42.38171	10.71273	11.56221	1.00000
7.32828	10.07263	5.08902	47.68016	5.95014	64.5635	8.10742	1103.69465	5.76099	69.79542	0.14493	6.76248	39.8302	8.44492	58.47939	7.21225	17.61349	1.00000
5.72872	5.04680	8.47347	33.81277	7.18157	-33.88096	8.57601	1128.08442	8.02224	37.87417	0.09778	4.39626	151.07986	8.78447	66.58102	6.91618	3.91148	0.00000
5.67792	8.41501	6.45002	58.49260	5.57524	46.32313	8.20275	1127.65897	5.56129	41.13113	0.08130	6.33948	-0.45877	8.86706	51.69542	5.71259	24.03606	0.00000
10.11601	10.06517	7.55428	66.11599	4.60043	19.30157	6.28980	1089.08443	7.33435	42.86949	1.11821	8.69944	72.85107	6.49010	36.70308	10.34218	24.14221	1.00000
11.76679	8.69055	6.49595	54.32353	7.00837	16.68911	7.84314	1160.43911	7.21049	59.78079	5.60080	9.73407	98.50893	7.68822	52.54138	8.60807	21.53168	1.00000
8.72854	9.53652	8.59564	41.64367	5.34166	24.05979	10.07291	1150.36555	8.19327	32.63043	0.33294	8.32521	77.40858	7.11398	31.86859	9.35390	21.11284	1.00000
6.57059	9.44718	5.38232	44.33658	5.99507	-6.48167	8.60089	1193.56103	8.54894	58.49131	0.12801	4.91782	106.85417	6.83951	49.44011	7.21212	35.30247	1.00000
7.17986	9.74708	5.34320	46.22126	4.05618	47.98372	6.12756	1154.12260	7.41032	43.44478	0.14017	10.80384	10.18527	7.08883	22.96549	9.79331	3.45163	1.00000
5.82903	10.65866	5.96947	26.44257	2.03284	38.47917	10.18992	1146.59891	6.94348	70.81208	0.10555	9.38248	-1.325	6.90617	63.67315	6.65653	7.79073	1.00000
4.86417	10.74799	7.79042	45.87542	7.39677	16.455	6.06907	1177.75589	7.96702	73.53893	0.12344	4.17706	120.5875	6.70340	59.22581	7.33686	39.22253	1.00000
7.95532	11.05825	7.06406	46.04292	5.08624	44.43579	7.17812	1089.93183	4.80269	53.16956	0.17932	9.93886	26.01649	6.12039	50.12172	7.59721	22.14128	1.00000
3.19928	6.89158	8.20604	58.25451	5.79536	-28.44917	6.62749	1085.34660	8.16997	44.51474	0.10109	7.08402	-52.2	7.64782	71.18414	9.75744	29.04830	1.00000
8.07710	5.05732	10.35891	57.58790	4.01152	42.819	7.43593	1076.56847	5.90018	53.08048	0.25086	7.53823	47.1192	6.95917	41.80469	10.97422	17.47832	0.00000
5.28770	8.85360	6.16790	57.85194	4.05444	52.26083	6.69255	1072.32772	6.80262	43.01520	0.05415	5.45074	7.00417	7.35162	58.19579	5.64892	13.83343	0.00000
5.35112	11.49826	7.67694	39.53763	6.36561	26.76628	5.66032	1088.78455	8.15469	69.68820	0.09573	8.73648	83.36889	7.64386	55.61217	8.74770	5.29728	1.00000
7.07673	9.17259	4.97774	48.18615	5.99838	32.87533	8.84844	1066.45100	7.68885	31.75213	0.14160	5.93884	71.57118	7.43733	57.46346	5.72716	11.93029	0.00000
9.55731	8.59915	6.11692	40.84828	8.64118	10.29085	7.09999	1192.74018	7.95060	57.56710	0.65412	9.88240	105.75635	8.78746	15.72223	10.85699	7.43051	1.00000
8.67552	9.36242	6.22566	41.64318	7.63422	48.35149	7.55197	1077.62890	7.80309	67.73909	0.30170	9.39225	8.96317	5.84329	40.52720	9.23021	9.29433	1.00000
7.21463	9.05879	4.96846	49.07875	1.14841	40.98894	6.51978	1173.32594	6.54181	35.12074	0.08073	9.34725	28.67582	8.60555	61.99456	7.96872	21.85438	1.00000
5.47913	6.30411	9.56705	40.56035	7.22863	38.96667	6.60628	1134.04917	10.08025	62.30333	0.11910	9.34307	-0.18333	6.68157	47.69454	10.34341	2.43251	0.00000
4.43962	6.65750	5.94273	47.91927	3.15415	34.77453	5.91152	1178.01003	6.97994	25.39560	0.08693	9.04175	-96.67834	6.65535	69.34657	4.08432	14.70577	0.00000
5.78706	9.74729	6.67452	52.97351	7.12382	-10.91722	8.08338	1069.77665	7.37925	43.23799	0.06646	4.37868	-37.65	6.74136	36.09455	7.93749	0.46977	1.00000
6.83303	6.72712	9.81617	48.95182	6.57303	44.99012	6.54465	1072.11616	7.90733	45.71166	0.11397	5.62329	-123.02621	5.78914	52.59731	9.32761	28.88880	0.00000
6.77981	11.70994	5.55232	58.83853	8.69871	55.63711	5.91100	1125.74301	6.56738	44.88258	0.10667	7.18106	37.38115	7.87062	37.63264	9.39756	12.77650	1.00000
9.23310	9.81021	7.07082	39.08022	9.00013	31.39547	6.62206	1130.55359	7.74842	42.18467	0.48457	4.34046	34.75699	7.63124	54.72100	10.48894	18.12833	1.00000
5.68245	9.31644	6.09250	58.52246	5.92981	33.52253	8.56313	1079.12219	7.64093	35.40901	0.07292	5.09574	-117.70755	8.49980	47.39208	4.81515	12.33316	0.00000
5.91107	6.63356	9.61041	55.41517	8.35306	41.15612	6.23008	1133.97870	6.89865	48.89878	0.07719	6.08798	1.10687	9.31173	43.54560	9.27490	8.30779	0.00000
7.36580	9.00478	7.30426	33.48089	7.28879	37.56667	8.46802	1140.52198	7.67065	58.73000	0.16193	6.96144	140.11667	6.33714	48.81790	11.35232	6.21876	1.00000
7.67369	7.33005	8.75652	43.61392	6.99298	39.09112	6.86600	1192.49933	5.73397	73.79079	0.16285	4.23102	-94.41551	6.11090	49.39169	8.11477	21.01545	0.00000
6.85103	9.78602	6.21984	55.46904	8.33850	43.71032	7.75813	1057.06444	6.96335	43.44045	0.09810	4.78835	-1.05366	7.55712	35.92424	10.54627	11.36484	1.00000
5.61459	6.35167	3.95701	46.02251	8.02231	53.77166	8.13130	1193.21745	6.87883	54.46725	0.08130	7.07689	38.12408	7.16386	38.15952	6.70918	17.65523	1.00000
5.87695	8.60320	7.39411	61.69590	8.11240	37.49073	8.20648	1179.15970	5.16688	41.70417	0.07245	6.11098	-2.77259	8.22798	88.88488	5.81742	10.21947	0.00000
6.65509	8.52040	7.71715	58.76205	8.66536	23.07492	8.91445	1109.21193	7.22889	67.07720	0.11452	5.71555	88.28637	6.66285	50.88420	7.06674	18.23669	0.00000
7.57211	6.84906	9.71343	59.38173	7.74106	54.39635	6.42555	1179.51425	7.31655	43.98453	0.19581	8.08050	24.04142	7.06498	54.74134	10.17114	9.77872	0.00000
9.48450	8.60961	5.75524	42.00061	5.37352	35.6803	7.64434	1190.24706	7.51838	71.10623	0.61351	9.34814	51.0193	8.75874	69.42198	7.91381	14.48752	1.00000
6.97364	8.94483	5.56702	56.77731	5.68872	53.49389	7.06569	1186.27424	5.64607	35.10529	0.13421	5.40748	-1.29243	7.61763	34.64073	6.94222	36.98468	1.00000
6.07483	7.89319	7.17717	35.62389	6.22164	41.91886	7.88068	1052.33172	7.89918	48.73893	0.02635	4.17441	8.73812	8.07671	57.66160	8.54865	23.51968	1.00000
6.85221	9.61564	6.28819	52.65380	7.87720	34.86472	7.70263	1178.10817	6.30244	26.74087	0.15195	3.72322	117.55417	7.45488	55.77324	8.22676	23.62821	1.00000
6.61478	5.75293	9.03740	45.19587	5.33533	36.08497	7.83234	1103.72774	7.49441	53.57940	0.09393	6.07274	9.37082	6.27187	56.45141	9.22680	44.79821	0.00000
6.15295	8.66864	6.58704	28.12042	4.42339	56.85836	5.79000	1108.76488	8.99009	34.32326	0.08428	8.42056	35.90057	5.86921	41.13790	6.79844	27.56890	1.00000
7.23506	12.70568	4.39382	36.00735	5.82125	40.63316	7.43701	1115.98328	8.98723	23.72314	0.10933	7.60082	-74.13653	6.01552	39.17494	7.80673	35.54439	1.00000
5.53926	8.22184	7.37276	51.36323	6.25409	40.58654	6.74386	1110.54632	7.58023	49.82478	0.09026	6.78062	-122.39168	7.74103	68.77975	8.89332	15.06610	1.00000
5.40754	8.23637	5.28830	66.90189	4.79596	47.38093	7.51943	1173.69578	9.01923	44.39938	0.10843	6.06135	-122.23484	7.21822	44.94389	5.07152	33.14754	0.00000
5.97225	8.60263	8.22278	50.65923		40.53123	7.98241	1054.88638	5.76141	29.30288	0.05213	5.19630	17.58522	6.13051	47.76278	8.79757	21.73025	1.00000
11.27861	7.68939	6.81773	60.67789	6.58724	31.20176	8.45241	1051.70486	7.08885	36.94035	3.48223	7.24208	29.91582	7.48892	55.66673	7.06489	42.23303	1.00000
5.47303	7.02964	7.54475	42.57139	4.91191	32.87533	6.46103	1197.18934	6.93409	49.15903	0.09057	4.71103	71.57118	6.11138	43.43964	8.31582	17.38390	0.00000
8.18596	7.21308	6.57115	30.31546	7.61133	19.8173	5.45331	1129.78622	8.18524	45.65545	0.21379	5.81055	-97.35992	7.55859	45.99959	9.54139	12.16019	1.00000
5.72552	6.76386	5.64926	69.85537	4.03917	-8.99167	7.36372	1184.10216	6.98053	48.63063	0.07116	9.30439	125.21972	8.06776	39.32544	5.72792	14.69896	0.00000
5.89753	8.47182	4.86079	53.33158	8.33021	-7.81667	8.38776	1129.59068	9.41934	32.88713	0.09402	8.56259	112.01667	7.93435	75.03784	6.39758	11.83191	1.00000
6.25599	8.50983	5.99080	54.15172	5.85646	33.45122	8.84730	1198.40240	9.92218	64.46201	0.06641	6.13986	-86.99666	7.58725	50.72352	5.88702	3.71141	0.00000
6.61608	9.31425	5.18906	71.60493	5.37389	26.11527	7.12089	1095.57527	6.68849	58.66897	0.09913	9.32368	86.59509	8.83367	49.99851	6.66455	-5.19345	1.00000
7.32529	8.06488	6.17913	55.74934	6.01364	-4.26613	6.81223	1131.99236	7.31911	57.74796	0.11523	6.96040	15.28318	8.64956	51.94539	9.82227	5.97773	1.00000
5.69692	6.60476	10.54200	35.91799	5.26891	33.52253	6.88603	1143.45781	8.90282	45.86464	0.06567	7.44191	-117.70755	9.41794	52.05352	10.74349	18.44764	0.00000
13.79326	10.10928	7.24968	54.32565	5.97374	41.15376	7.57013	1166.48795	7.35617	45.14222	41.93845	11.66645	-87.88754	6.55336	49.04585	9.65113	22.67202	1.00000
6.68749	9.22333	5.39352	12.44443	6.17536	35.72917	6.92609	1193.30534	7.83646	36.09028	0.10918	5.50221	10.58082	7.91824	51.18298	8.94417	5.83389	1.00000
8.01143	7.99046	5.85181	49.53745	7.04997	55.54028	7.13237	1060.86514	5.56143	63.93018	0.23578	7.44398	89.20083	7.41165	42.92011	8.19228	19.28731	1.00000
5.50425	10.73838	4.91239	48.08080	5.59346	51.84819	6.84473	1068.23243	6.46752	57.10312	0.03771	4.86887	1.26738	6.86176	46.09929	4.61546	14.35509	1.00000
8.07683	7.90579	5.53982	40.79360	6.91653	-17.73648	4.99119	1055.04972	7.35542	65.85296	0.19302	4.77565	168.31366	6.59356	25.67675	10.15446	24.57954	1.00000
6.87828	5.29054	7.70979	55.45122	5.37337	55.75556	8.46939	1057.68192	6.83535	52.78647	0.12143	5.07528	60.70278	7.77884	67.71554	7.55999	6.95663	0.00000
3.72559	6.89928	4.41542	43.60557	3.98194	41.27194	7.01168	1072.25732	7.27960	52.51792	0.08010	6.45733	123.17306	7.35963	59.38319	6.15005	15.78678	1.00000
6.59130	7.35902	8.66215	53.87689	7.66712	35.85	7.80180	1182.82758	5.93361	68.65234	0.09079	4.52053	117.7	7.08370	18.34735	8.11491	10.75430	0.00000
5.54077	8.12291	6.59826	42.81796	7.48732	35.06667	6.80791	1147.74895	8.31631	28.32945	0.03958	6.34317	135.21667	7.00549	71.38481	9.86849	8.88680	1.00000
3.88671	6.87427	6.81961	43.89479	7.01969	55.67938	5.16138	1084.57440	7.65030	65.15037	0.04880	4.75008	12.53463	4.77239	28.00405	10.27873	5.20946	1.00000
