latitude	code	revision	station	QoS	longitude
23.04419	CU	01/27/2013, 00:00:00	Jaruco	average	-82.00919
25.13915	IN	2014/10/30	Sheoganj	good	73.06784
-13.7804	MW	10/18/2012, 00:00:00	Salima	excellent	34.4587
43.78956	IT	05/11/2015, 00:00:00	Ventimiglia	excellent	7.60872
42.93369	US	2020-09-16	Keene	building	-72.27814
-1.9487	RW	2020/02/12	Rwamagana	excellent	30.4347
53.30972	RU	10/07/2013, 00:00:00	Novosilikatnyy	average	83.62389
-7.57897	ID	2021-06-04	Diwek	building	112.23109
43.1122	IT	2019-02-15	Perugia	accep	12.38878
55.8736	RU	2015/07/12	Yashkino	excellent	85.4265
40.93333	KG	03 Mar 2015	Jalal-Abad	maintenance	73
35.20889	CN	2017/01/14	Changzhi	good	111.73861
41.14676	US	2018-08-25	New Canaan	excellent	-73.49484
48.46458	DE	2013/12/02	Pfullingen	excellent	9.22796
51.65333	NL	2022/07/13	Vught	good	5.2875
53.78333	GB	04/26/2020, 00:00:00	Selby	accep	-1.06667
27.71809	US	03/19/2015, 00:00:00	Sun City Center	accep	-82.35176
36.75965	JP	19 Apr 2014	Namerikawa	accep	137.36215
40.1675	TR	08 May 2021	Sungurlu	average	34.37389
3.27833	UG	29 Nov 2018	Kitgum	good	32.88667
9.92787	CR	2019/08/01	San Rafael	maintenance	-84.13722
5.4709	MY	04/24/2022, 00:00:00	Batu Feringgi	accep	100.24529
26.68451	US	2016-09-14	Belle Glade	accep	-80.66756
35.05266	US	05/07/2022, 00:00:00	Fayetteville	maintenance	-78.87836
43.11667	FR	2018/02/17	Pamiers	average	1.6
29.84576	US	09 Oct 2012	Estelle	average	-90.10674
-1.6	ID	20 Nov 2012	Jambi City	maintenance	103.61667
27.34089	CN	02/07/2013, 00:00:00	Shaowu	maintenance	117.4831
51.44889	NL	14 Oct 2015	Tongelre	maintenance	5.51978
34.08565	IN	13 May 2018	Srinagar	average	74.80555
57.47908	GB	2016/02/28	Inverness	accep	-4.22398
50.5107	PL	2014-02-22	Strzelce Opolskie	accep	18.30056
-33.59217	CL	22 Aug 2014	San Bernardo	good	-70.6996
36.64852	IR	2012-11-06	Nowshahr	average	51.49621
-16.25	PE	2018/04/16	Yunguyo	good	-69.08333
6.84019	LK	01 May 2021	Dehiwala-Mount Lavinia	good	79.87116
41.94175	CN	11/07/2013, 00:00:00	Hushitai	accep	123.50266
6.8485	NG	08 May 2016	Shagamu	excellent	3.64633
44.92801	FR	2021-03-19	Valence	average	4.8951
46.23899	CA	2016/01/17	Charlottetown	building	-63.13414
12.95629	IN	2018-08-27	Robertsonpet	excellent	78.27539
54.48147	RU	2016/02/14	Oktyabr’skiy	average	53.47103
51.30001	DE	20 Aug 2018	Oschatz	accep	13.10984
-3.5403	ID	06/27/2013, 00:00:00	Majene	excellent	118.9707
49.03685	DE	11/29/2018, 00:00:00	Bretten	building	8.70745
44.92934	RU	10/17/2017, 00:00:00	Krymsk	good	37.99117
30.29184	PK	2020/12/21	Qadirpur Ran	accep	71.67164
34.25	JP	24 Oct 2020	Iwade	excellent	135.31667
38.96667	ES	2021-10-12	Gandia	excellent	-0.18333
48.86667	FR	04/17/2016, 00:00:00	Marly-le-Roi	average	2.08333
27.71809	US	11/08/2018, 00:00:00	Sun City Center	maintenance	-82.35176
27.85	CN	2013/08/14	Xiangtan	building	112.9
47.90771	MN	10/07/2012, 00:00:00	Ulan Bator	good	106.88324
23.1959	IN	2021-01-24	Kenda	average	86.51499
17.06542	MX	22 Oct 2014	Oaxaca	building	-96.72365
33.14447	IR	10/02/2016, 00:00:00	Darreh Shahr	good	47.3799
53.37596	RU	2015/09/07	Otradnyy	excellent	51.3452
41.82143	GE	2014/02/28	Kobuleti	good	41.77921
38.58894	US	12 Jun 2022	Fairview Heights	excellent	-89.99038
37.95143	US	07/20/2013, 00:00:00	Rolla	good	-91.77127
7.83389	CO	2018-02-05	Villa del Rosario	good	-72.47417
11.15583	DJ	31 Jul 2021	'Ali Sabieh	accep	42.7125
10.10649	IN	2017/04/14	Alwaye	maintenance	76.35484
0.49113	CD	2017/07/11	Beni	average	29.47306
41.66394	US	2021/12/25	Toledo	building	-83.55521
41.91886	FR	11 Sep 2021	Ajaccio	building	8.73812
50.23805	DE	2018/01/14	Nidderau	building	8.86704
56.9083	RU	2015-02-21	Beryozovsky	accep	60.8019
-12.91667	BR	04 Jan 2022	Muritiba	maintenance	-39.25
40.82232	US	2021/09/21	Nutley	excellent	-74.15987
19.32889	MX	09/19/2018, 00:00:00	San Lorenzo Acopilco	average	-99.32556
44.85278	KZ	19 Feb 2016	Kyzylorda	good	65.50917
-10.91722	BR	10/18/2015, 00:00:00	Lagarto	good	-37.65
37.52487	US	18 Jun 2013	Bon Air	good	-77.55777
35.95664	SY	04/26/2018, 00:00:00	Binnish	good	36.7138
49.88307	CA	10/22/2018, 00:00:00	Kelowna	average	-119.48568
32.57756	PK	09/22/2022, 00:00:00	Mianwali	good	71.52847
41.14676	US	07/09/2017, 00:00:00	New Canaan	average	-73.49484
47.76232	US	2019-01-03	Bothell	good	-122.2054
43.35071	RU	02 Jan 2018	Gudermes	excellent	46.10925
20.28527	MX	2021/12/31	Jocotepec	average	-103.42897
42.24113	US	28 Mar 2013	Crystal Lake	good	-88.3162
34.4833	JP	2018/05/29	Toba	excellent	136.84186
52.53048	DE	14 Mar 2015	Charlottenburg-Nord	building	13.29371
33.37526	IN	07/17/2021, 00:00:00	Rajaori	excellent	74.3092
40.63316	US	10 Aug 2017	Port Richmond	good	-74.13653
40.98894	TR	12/08/2019, 00:00:00	Yakuplu	excellent	28.67582
19.04222	MX	2015/10/05	Casa Blanca	accep	-98.11889
34.75856	JP	2014/04/24	Ueno-ebisumachi	excellent	136.13108
37.16911	TN	2016-10-03	El Alia	excellent	10.03478
51.955	NL	2013/08/30	Culemborg	excellent	5.22778
41.50343	US	09/05/2013, 00:00:00	Newburgh	excellent	-74.01042
10.31672	PH	02/06/2013, 00:00:00	Cebu City	excellent	123.89071
34.4833	JP	2020/09/07	Toba	good	136.84186
35.50056	CN	01/23/2015, 00:00:00	Pingyi	average	117.63083
50.7236	GB	06/18/2021, 00:00:00	Exeter	excellent	-3.52751
34.86472	CN	10/09/2020, 00:00:00	Zaozhuang	accep	117.55417
41.50343	US	12/20/2012, 00:00:00	Newburgh	excellent	-74.01042
43.86682	CA	2016-05-09	Markham	accep	-79.2663
42.93369	US	2014-04-27	Keene	excellent	-72.27814
31.12406	US	2013-06-10	Copperas Cove	excellent	-97.90308
32.50611	CN	26 Feb 2013	Jiangyan	good	120.14278
40.63316	US	2021/05/20	Port Richmond	good	-74.13653
41.09246	AZ	2021-08-07	Qazax	excellent	45.36561
24.96334	LY	2019-01-16	Ghat	average	10.18003
35.20889	CN	07/13/2019, 00:00:00	Changzhi	good	111.73861
41.57721	US	2014/01/10	West Des Moines	excellent	-93.71133
40.70995	ES	04 Aug 2018	Amposta	average	0.57856
60.97944	RU	2018/06/09	Izluchinsk	maintenance	76.92421
45.47885	RU	2018/05/19	Lesozavodsk	good	133.42825
0.76755	CD	27 Dec 2017	Yangambi	average	24.43973
53.16167	NL	24 Jul 2022	Hoogezand	average	6.76111
49.88307	CA	2020/12/27	Kelowna	accep	-119.48568
22.98212	CU	2019/03/03	Corralillo	accep	-80.58556
50.23271	CZ	03 Aug 2014	Karlovy Vary	average	12.87117
40.65538	US	10 Oct 2012	Scotch Plains	excellent	-74.38987
52.48173	GB	12/11/2019, 00:00:00	Brierley Hill	excellent	-2.12139
16.06213	IN	28 Mar 2020	Hungund	excellent	76.0586
43.83125	FR	15 Mar 2017	Cavaillon	good	5.03586
14.67751	MQ	2014-11-23	Le Robert	good	-60.94228
37.05944	TR	2021/11/23	Gaziantep	accep	37.3825
48.25	AT	19 Mar 2017	Floridsdorf	maintenance	16.4
-11.78333	AO	24 Sep 2016	Luena	good	19.91667
33.54428	US	02 Aug 2018	Stockbridge	good	-84.23381
41.09246	AZ	03/14/2018, 00:00:00	Qazax	average	45.36561
39.32011	US	2017-09-14	Rosedale	excellent	-76.51552
33.54428	US	2014/05/30	Stockbridge	good	-84.23381
31.64615	CN	2019/06/28	Changshu City	excellent	120.74221
38.37255	TR	2018/01/17	Aksaray	accep	34.02537
18.51957	IN	05/17/2013, 00:00:00	Pune	excellent	73.85535
55.1904	BY	12/21/2019, 00:00:00	Vitebsk	maitennce	30.2049
52.41667	GB	04/15/2022, 00:00:00	Thetford	excellent	0.75
24.28859	CN	2013/06/06	Meizhou	good	116.11768
42.50729	AD	26 Jan 2015	les Escaldes	accep	1.53414
40.58654	US	2020-12-10	Redding	building	-122.39168
26.18924	US	2013/03/09	San Juan	building	-98.15529
12.95629	IN	2019/07/05	Robertsonpet	building	78.27539
8.35122	VE	2015-11-08	Ciudad Guayana	accep	-62.64102
42.30865	US	2013-07-22	Canton	average	-83.48216
64.5635	RU	2019-03-03	Severodvinsk	accep	39.8302
-10.91111	BR	2019/03/08	Aracaju	average	-37.07167
48.78232	DE	2021/08/20	Stuttgart	excellent	9.17702
45.9836	IT	10/16/2020, 00:00:00	Cordenons	accep	12.70038
53.94313	DE	21 Apr 2020	Bad Segeberg	accep	10.30215
53.59782	RU	03/22/2014, 00:00:00	Dyat’kovo	good	34.33825
-6.48167	ID	16 Sep 2014	Cibinong	average	106.85417
59.37722	EE	14 Jan 2017	Narva	excellent	28.19028
50.7236	GB	08/08/2020, 00:00:00	Exeter	average	-3.52751
33.7207	US	2017-11-14	Indio	average	-116.21677
28.92694	IN	2013-11-02	Bachhraon	building	78.23456
43.41949	KZ	2018/09/01	Otegen Batyra	average	77.0202
50.5107	PL	2017/09/15	Strzelce Opolskie	maintenance	18.30056
