SO2	PRES	longitude	H2CO	CH4	TEMP	O3	Pb	warning	latitude	CO	PM10	PM2.5	NOx	CFCs	NH3	PAHs	C2H3NO5
7.98176	1199.35074	-4.10734	48.42526	10.29260	-0.75398	7.11348	38.67629	1.00000	38.68712	9.29983	8.46405	9.51733	8.72343	62.66513	5.58500	5.98369	0.47565
7.13789	1101.17785	-42.98194	56.15651	10.88345	8.35160	7.56109	37.68381	1.00000	-22.53722	7.02994	7.00257	7.76580	10.57222	81.79599	9.58726	3.58377	0.19543
9.07883	1169.69245	-38.79084	59.42245	10.89592	3.10937	6.77057	47.73188	0.00000	-10.95817	7.06216	9.96387	8.52400	8.19602	16.81843	10.07946	7.60681	1.91089
6.38072	1172.62010	141.95	71.55295	6.73935	2.29657	6.24425	37.06441	0.00000	39.46667	8.72351	4.68707	7.91321	2.75970	53.04357	9.06314	8.07505	0.12520
6.66095	1059.99305	13.39954	53.08091	6.30245	16.05014	7.56255	45.39120	1.00000	43.62558	6.21216	5.48648	8.48536	5.80056	57.01381	5.28313	9.01720	0.17238
8.27504	1159.04209	-2.09814	44.11151	5.72128	11.89361	7.56931	17.33265	0.00000	57.14369	11.52826	11.44966	6.82292	4.73594	38.05511	7.48208	5.54579	7.55513
7.30452	1076.92349	120.4861	29.71211	10.81042	29.96133	6.48441	51.49739	1.00000	16.0438	6.49380	9.88872	8.95697	8.38729	36.89262	7.61184	5.70617	1.66147
6.59646	1170.05284	38.12408	74.66184	9.21584	-0.36066	6.77238	67.37394	0.00000	53.77166	7.93450	8.92106	7.78043	7.17010	48.61356	8.84884	5.14368	0.73368
9.28777	1072.65282	73.06784	48.88593	11.23975	6.22195	6.88326	20.28870	0.00000	25.13915	5.01896	8.75525	7.28094	9.49605	53.16041	11.17763	8.98455	0.61091
7.46810	1124.61600	-37.07167	45.44120	4.62440	36.90264	8.43835	49.90381	1.00000	-10.91111	7.24817	3.97582	5.60887	5.81385	50.92842	5.32793	8.45747	0.15735
7.88038	1147.55435	141.95	73.52112	8.63209	13.10081	7.34098	51.99157	1.00000	39.46667	6.94972	9.36678	7.37395	8.46765	39.67328	7.70384	5.74886	1.06051
8.46618	1178.18385	-93.75018	53.05777	7.96811	10.56688	8.97358	52.77371	1.00000	32.52515	5.02421	7.84980	8.36463	6.23661	39.44594	6.81353	8.76555	0.32378
8.26893	1120.39088	-97.90308	55.13571	10.12694	4.66870	6.47772	40.46219	0.00000	31.12406	5.42924	6.92989	5.69837	9.42731	62.92573	8.97522	6.05028	0.15144
8.96141	1061.37470	136.13108	53.38651	10.97218	13.76341	5.20196	48.81459	1.00000	34.75856	9.03548	9.04203	7.88025	5.99412	23.52221	8.35002	8.11898	0.80254
8.90245	1175.51944	2.25	43.88810	10.22769	8.53584	7.75100	69.46305	1.00000	50.75	7.48210	8.97782	7.98543	9.32848	43.52594	8.28835	5.62064	0.78455
8.39538	1168.54577	-48.52333	40.64811	9.14648	15.18888	6.00578	17.96852	0.00000	-0.71667	6.63600	4.55535	6.52605	6.20798	23.29646	8.05895	6.82691	0.11716
7.41636	1157.26664	114.51667	51.21531	3.69578	17.36665	8.06705	23.88587	1.00000	33.78333	9.80670	7.29956	6.70461	5.93119	54.59112	6.29036	8.65410	0.26965
7.63749	1134.99559	8.64409	31.59901	5.94690	8.43615	5.90123	28.51924	1.00000	48.07667	7.34203	7.20475	8.75876	6.47703	49.88268	6.07282	9.28729	0.20040
6.98162	1107.50347	14.30935	69.07717	6.00846	31.39970	7.68786	28.91300	0.00000	40.92298	10.93094	9.18443	7.33441	3.74406	46.03278		4.63617	0.94538
9.42355	1194.92803	-48.29694	47.84669	9.60595	11.19202	8.20511	39.17057	0.00000	-20.87306	9.40061	7.57779	8.72614	4.09971	53.35191	7.41609	7.08442	0.20956
9.03137	1094.59120	10.78222	31.52072	8.62496	11.37980	7.67437	31.73663	0.00000	36.46917	12.08697	9.85942	6.09569	5.92210	57.56093	7.90740	6.65661	1.65602
