longitude	revision	station	QoS	latitude	code
-3.52751	2012/12/09	Exeter	accep	50.7236	GB
4.25633	11 Oct 2012	Beveren	average	51.21187	BE
122.9666	29 Dec 2013	Talisay	good	10.7375	PH
73.85535	2020-03-20	Pune	accep	18.51957	IN
10.5511	07/14/2014, 00:00:00	Gifhorn	average	52.47774	DE
71.21169	2021-08-02	Amreli	accep	21.59983	IN
-89.66123	2015-01-23	Progreso	excellent	21.28306	MX
10.5511	2016-12-28	Gifhorn	average	52.47774	DE
-59.13316	2021/04/04	Tandil	maintenance	-37.32167	AR
48.26258	05 Mar 2018	Aleshtar	accep	33.86419	IR
85.94001	23 Apr 2014	Teghra	average	25.49043	IN
7.20769	2017/05/15	Siegburg	good	50.80019	DE
2.25	06/06/2021, 00:00:00	Saint-Omer	average	50.75	FR
123.758	01/07/2017, 00:00:00	Naga	accep	10.20898	PH
28.67582	08 Oct 2015	Yakuplu	maintenance	40.98894	TR
-67.33122	28 Feb 2016	La Victoria	accep	10.22677	VE
137.4	2021/03/21	Toyokawa	average	34.81667	JP
2.44892	01 Dec 2021	Gonesse	accep	48.98693	FR
68.49143	2020-03-01	Bhit Shah	accep	25.80565	PK
35.23388	2019/09/03	East Jerusalem	good	31.78336	PS
-83.55521	24 Dec 2012	Toledo	good	41.66394	US
-74.15987	2016/09/19	Nutley	average	40.82232	US
139.07204	2014-04-19	Fujioka	maintenance	36.24624	JP
-122.39168	2020-02-27	Redding	building	40.58654	US
19.91667	10/13/2019, 00:00:00	Luena	building	-11.78333	AO
86.00214	25 Oct 2017	Hoxtolgay	accep	46.51872	CN
5.2875	03/14/2015, 00:00:00	Vught	good	51.65333	NL
19.27498	2020-04-13	Jaworzno	excellent	50.20528	PL
-74.15987	04/01/2014, 00:00:00	Nutley	average	40.82232	US
-111.89903	29 Sep 2017	Scottsdale	maintenance	33.50921	US
51.3452	19 Feb 2021	Otradnyy	maintenance	53.37596	RU
86.59611	2018/10/12	Saharsa	maintenance	25.87498	IN
-78.19444	12 Nov 2019	Front Royal	accep	38.91817	US
-117.23991	2020-07-15	Opportunity	accep	47.64995	US
145.13643	2014/01/08	Frankston South	excellent	-38.16604	AU
-82.00919	2015-08-09	Jaruco	building	23.04419	CU
30.28491	2018/03/28	Kolomyagi	good	60.02427	RU
-82.61573	10 Dec 2013	Norwalk	accep	41.24255	US
18.34717	15 May 2016	Reda	maintenance	54.60528	PL
-38.79084	2019-08-03	Tucano	average	-10.95817	BR
73	2018-10-21	Jalal-Abad	excellent	40.93333	KG
49.62251	18 Aug 2020	Al Jubayl	accep	27.0174	SA
1.10687	01 May 2015	Reus	excellent	41.15612	ES
1.10687	2019-01-01	Reus	excellent	41.15612	ES
42.54536	2014/03/25	Kismayo	accep	-0.35817	SO
68.49143	2018/06/05	Bhit Shah	good	25.80565	PK
-4.1	06/16/2016, 00:00:00	Quimper	good	48	FR
-0.36053	2012/12/31	Bushey	excellent	51.64316	GB
137.4	29 Apr 2020	Toyokawa	good	34.81667	JP
