Pb	PAHs	PRES	PM2.5	NH3	latitude	CH4	NOx	H2CO	C2H3NO5	CFCs	TEMP	O3	longitude	warning	PM10	SO2	CO
57.37886	10.30637	1132.44408	7.27286	11.12432	48.90472	9.37185	9.66929	37.72722	1.25598	63.55359	16.64836	9.79509	2.2469	0.00000	11.17584	8.50763	10.77650
64.94670	9.44850	1156.08760	8.81353	10.69651	-33.79176	9.61255	10.35820	69.10381	0.04920	43.92171	22.35172	9.73965	151.08057	0.00000	7.44981	7.86774	12.28108
48.84682	6.81032	1177.96537	7.67280	9.60432	23.02677	12.76346	7.81355	61.37683	0.13019	49.65246	13.56543	10.06985	113.13148	0.00000	8.68564	7.48652	10.64264
60.41846	12.84495	1091.71425	6.97287	10.99979	50.11861	8.05793	12.25713	52.50194	1.93544	43.43235	11.89292	9.19711	-5.53715	1.00000	11.61355	9.55241	13.32828
43.07966	8.90593	1109.36023	7.50612	10.49678	41.9001	7.29684	10.22037	66.78090	0.14338	29.40683	23.51330	9.50437	-71.08977	1.00000	8.82075	10.13775	11.71460
65.41409	12.37520	1113.58532	9.07594	11.38465	14.93333	8.51964	10.78416	36.40271	0.08866	19.63246	21.95351	8.95171	-91.11667	1.00000	8.09883	8.84427	11.90865
68.79532	10.79901	1065.72007	7.31169	9.22330	40.11583	8.15705	12.29658	60.16441	0.04244	79.61240	22.84851	8.92237	67.84222	1.00000	6.98712	9.02627	10.69196
46.80862	9.38375	1110.60046	8.31533	9.00745	14.8361	10.80124	8.27518	54.01303	0.03478	56.83004	24.88550	9.52309	120.97844	0.00000	7.17208	9.93642	10.78868
64.48862	6.63766	1138.71330	11.77795	11.16378	6.25947	8.58482	10.78695	41.28121	0.04211	47.22365		10.72026	102.05461	0.00000	7.29390	9.43976	6.09161
38.22233	11.03816	1149.72320	6.01196	10.52542	44.22639	8.40898	8.43808	52.63272	0.37054	46.06296	18.56456	9.86168	22.53083	0.00000	9.92942	9.62990	11.45535
42.81070	10.01423	1197.32480	6.39049	10.68574	-8.99167	6.91155	12.07191	55.23510	0.08773	47.14496	14.13953	9.92016	125.21972	1.00000	8.30039	9.89848	12.80044
48.95518	7.66686	1102.83419	7.70179	11.38661	-6.91806	13.56158	8.33786	53.49400	0.04744	59.23268	17.88459	9.30265	106.92667	0.00000	7.06533	11.87574	10.97140
69.32625	8.87291	1111.82701	7.54742	9.36563	41.85059	6.20467	12.50376	59.05926	0.06160	29.55524	13.68854	10.51185	-87.882	1.00000	7.84046	11.78757	12.47863
13.65372	6.62896	1100.63318	6.93452	10.22768	-30.60106	14.24964	7.24573	48.89533	0.03893	27.94082	20.46767	9.88676	-71.19901	0.00000	7.31847	10.66497	11.92710
45.85595	10.84046	1062.29460	7.79472	9.84878	14.37395	7.45573	11.52047	51.73015	0.10501	69.00587	12.38765	8.99517	100.48528	1.00000	8.51980	11.08999	12.47139
39.73357	8.29698	1157.58103	9.54400	10.74950	37.74615	9.24787	12.38330	53.49057	0.01182	27.90746	32.32466	10.00108	-25.66689	1.00000	6.20869	9.76830	9.39341
37.58768	7.25700	1083.10104	7.97393	10.15494	10.22677	11.30113	7.49161	48.59364	0.24483	58.18621	18.86071	9.92751	-67.33122	0.00000	9.37121	10.81249	10.82502
19.97043	9.77526	1183.58078	12.01222	9.64361	28.98002	7.59953	11.78289	60.26189	0.04723	53.90255	2.81562	9.91076	77.70636	1.00000	7.67649	10.96997	9.17657
53.34083	10.96143	1067.22748	10.88003	11.01187	25.66795	9.27536	7.45812	60.84155	0.19649	54.90376	2.46133	8.95455	85.83636	1.00000	9.19109	10.95420	10.38256
42.89876	13.52816	1134.11762	9.85984	10.30162	20.28527	9.65963	8.95994	70.31886	0.04823	44.00607	14.83373	11.13088	-103.42897	1.00000	7.40999	9.03974	11.44029
