revision	latitude	longitude	code	QoS	station
07 Nov 2019	47.80527	-122.24064	US	good	Bothell West
17 Jul 2019	19.64745	-102.04897	MX	building	Paracho de Verduzco
2014/09/14	4.94273	15.87735	CF	average	Carnot
12/15/2016, 00:00:00	56.85836	35.90057	RU	excellent	Tver
2017-03-25	15.48131	-86.57415	HN	good	Olanchito
2016/07/19	-34.74785	-58.70072	AR	accep	Pontevedra
2020-09-16	40.58654	-122.39168	US	building	Redding
05/06/2017, 00:00:00	51.62907	-0.74934	GB	building	High Wycombe
11/08/2012, 00:00:00	50.11861	-5.53715	GB	building	Penzance
2017/06/14	52.4581	13.28702	DE	accep	Dahlem
07 Jan 2020	41.27621	-72.86843	US	accep	East Haven
2020-11-04	45.47885	133.42825	RU	excellent	Lesozavodsk
2015/07/03	4.02219	101.02083	MY	average	Teluk Intan
2022-05-11	-54.8	-68.3	AR	good	Ushuaia
29 Sep 2021	12.1277	78.15794	IN	good	Dharmapuri
10/28/2019, 00:00:00	22.4711	88.1453	IN	accep	Pujali
10 Jan 2020	24.81757	84.63445	IN	good	Rafiganj
28 Nov 2015	37.30553	120.82747	CN	excellent	Zhuangyuan
16 May 2022	5.84752	-5.682	CI	good	Lakota
2017-07-12	41.29444	69.67639	UZ	building	Parkent
2018-12-23	51.38673	0.30367	GB	average	Hartley
2019/08/07	48.07667	8.64409	DE	accep	Trossingen
2018-05-17	6.9909	79.883	LK	good	Hendala
2013-02-27	50.82882	-0.32247	GB	excellent	Lancing
20 Dec 2019	47.56494	31.33078	UA	accep	Voznesensk
2022-06-02	41.82143	41.77921	GE	average	Kobuleti
2014-07-25	52.57583	6.61944	NL	building	Hardenberg
2019-06-04	0.51667	101.44167	ID	average	Pekanbaru
2017/06/26	50.88506	4.07601	BE	building	Denderleeuw
08/16/2015, 00:00:00	54.60528	18.34717	PL	maitennce	Reda
02/10/2021, 00:00:00	9.91861	-68.30472	VE	average	Tinaquillo
01/01/2019, 00:00:00	52.4581	13.28702	DE	good	Dahlem
23 Sep 2020	-37.88333	145.06667	AU	maintenance	Carnegie
2020/07/25	20.14298	-77.43532	CU	accep	Media Luna
06/19/2018, 00:00:00	35.89972	14.51472	MT	accep	Valletta
01/30/2022, 00:00:00	51.12794	4.21372	BE	good	Temse
01/30/2021, 00:00:00	36.81667	117.81667	CN	good	Zhoucun
05/30/2014, 00:00:00	10.61285	12.19458	NG	excellent	Biu
2017-12-16	33.7207	-116.21677	US	accep	Indio
2020/01/01	-8.99167	125.21972	TL	accep	Maliana
21 Jun 2017	36.76639	3.47717	DZ	maintenance	Boumerdas
09 Jan 2021	35.48199	137.02166	JP	building	Minokamo
02/19/2016, 00:00:00	42.97086	-82.42491	US	good	Port Huron
04/05/2019, 00:00:00	12.74409	-8.07257	ML	good	Kati
2015/08/18	36.64852	51.49621	IR	excellent	Nowshahr
11/07/2018, 00:00:00	10.22677	-67.33122	VE	good	La Victoria
2017-01-15	40.65995	-111.99633	US	accep	Kearns
01 Dec 2019	45.78071	12.84052	IT	maintenance	Portogruaro
2021/12/06	38.47917	-1.325	ES	good	Jumilla
03/29/2022, 00:00:00	14.37395	100.48528	TH	average	Bang Ban
30 Jun 2022	38.70734	-77.02303	US	excellent	Fort Washington
2018/10/08	-27.50578	153.10236	AU	accep	Carindale
2022-08-22	20.28527	-103.42897	MX	maintenance	Jocotepec
03/17/2017, 00:00:00	41.48199	-81.79819	US	good	Lakewood
2017/09/10	15.73628	75.96976	IN	good	Gajendragarh
03/15/2013, 00:00:00	-10.90889	-37.03861	BR	accep	Barra dos Coqueiros
09/26/2015, 00:00:00	23.18	88.58	IN	accep	Aistala
14 Dec 2020	5.27247	-3.59625	CI	average	Bonoua
2022/02/09	9.535	-13.68778	GN	excellent	Camayenne
16 Jul 2018	40.98894	28.67582	TR	average	Yakuplu
2021-12-09	42.58342	-71.8023	US	building	Fitchburg
04/26/2015, 00:00:00	35.21222	2.31889	DZ	good	Ksar Chellala
01 Apr 2019	45.78071	12.84052	IT	good	Portogruaro
08/17/2014, 00:00:00	35.72917	10.58082	TN	excellent	Msaken
2020-07-22	50.20528	19.27498	PL	average	Jaworzno
2021/12/10	4.94273	15.87735	CF	average	Carnot
2018-08-01	41.91886	8.73812	FR	accep	Ajaccio
05/08/2014, 00:00:00	61.78491	34.34691	RU	average	Petrozavodsk
04/09/2021, 00:00:00	44.31771	9.32241	IT	building	Chiavari
2014-07-12	41.09246	45.36561	AZ	accep	Qazax
2013/10/24	10.12268	77.54372	IN	good	Periyakulam
08/29/2021, 00:00:00	-30.60106	-71.19901	CL	average	Ovalle
19 Dec 2012	14.37395	100.48528	TH	average	Bang Ban
2013/12/05	41.85059	-87.882	US	good	Westchester
2012-11-17	35.21222	2.31889	DZ	average	Ksar Chellala
2017-06-19	28.15112	-82.46148	US	excellent	Lutz
2012/12/07	22.83957	91.84128	BD	good	Manikchari
07/24/2016, 00:00:00	41.82143	41.77921	GE	building	Kobuleti
03/26/2015, 00:00:00	40.11583	67.84222	UZ	average	Jizzax
2018/05/26	34.8825	128.62667	KR	accep	Sinhyeon
02/20/2017, 00:00:00	7.62789	4.74161	NG	average	Ilesa
2020-04-20	37.65181	120.33063	CN	good	Longgang
2015-01-15	48.21644	9.02596	DE	maintenance	Albstadt
2021/10/24	41.55815	-73.0515	US	maintenance	Waterbury
2020/02/22	41.24264	16.50104	IT	average	Bisceglie
2017-06-28	4.92675	6.26764	NG	excellent	Yenagoa
2020/01/27	53.00974	-3.05814	GB	maintenance	Rhosllanerchrugog
2016-08-05	45.44694	8.62118	IT	good	Novara
