longitude	PM2.5	H2CO	warning	CFCs	O3	C2H3NO5	latitude	NOx	NH3	CO	SO2	PAHs	PM10	PRES	CH4	Pb	TEMP
140.73667	6.88070	46.74858	1.00000	74.06250	8.65202	0.11314	41.77583	7.18763	7.30166	5.52731	6.88691	6.89461	6.91242	1141.77668	8.04779	51.10275	-1.48298
5.74861	9.09988	56.35709	0.00000	39.55487	4.45588	0.10166	52.71083	8.91615	6.53550	9.90855	6.81802	7.00615	6.55435	1096.37422	6.93747	34.48882	20.93811
8.63333	7.57424	37.97753	0.00000	39.96324	8.25747	0.31662	52.2	7.18054	9.10707	8.91724	8.15849	6.00142	8.71669	1182.81059	9.21308	35.15411	14.93697
-120.93549	9.09829	41.85655	1.00000	27.19142	9.99748	0.22970	37.73604	7.59018	8.59791	9.36162	6.99095	9.54458	8.25630	1184.43546	10.45378	43.13026	-0.71639
142.45778	8.24453	46.98845	1.00000	40.67157	5.27862	0.04895	44.35056	6.67797	5.32197	8.05787	7.11403	5.64860	4.93434	1190.14952	7.43666	18.32918	25.96231
71.67164	7.09431	57.26072	0.00000	37.88016	5.89145	1.73034	30.29184	8.67919	7.20399	8.27437	7.30765	7.73828	10.53173	1128.66306	9.24179	44.24775	12.92768
39.28333	6.55354	45.85011	0.00000	47.44310	8.20412	1.44290	-10.33333	8.82710	6.39041	9.37260	6.46953	5.84669	10.31206	1190.71019	8.82920	40.07084	1.41423
2.31889	8.66880	43.52661	0.00000	27.02156	8.54874	0.32840	35.21222	8.62368	13.56733	1.79047	6.95417	4.31929	8.70990	1124.01150	7.63132	61.58100	12.22148
-35.03333	8.44195	43.00697	1.00000	65.35991	11.46957	0.17419	-8.28333	9.29885	11.35438	5.84145	7.53068	10.83381	7.98263	1185.15972	8.34469	53.28979	15.90078
-121.75689	7.90785	54.37465	0.00000	57.42006	8.68071	0.16594	36.91023	6.29240	8.49542	5.73232	8.75051	4.66683	7.84088	1159.87903	7.97399	54.44431	8.49422
-72.27814	8.03931	63.48296	1.00000	46.51526	10.20625	0.53569	42.93369	7.72119	9.45663	6.42257	9.28307	9.65005	9.24147	1194.43668	7.45126	60.94866	17.55308
4.91667	6.79205	36.16389	0.00000	58.78984	4.74723	0.18107	45.73333	9.85039	7.54939	9.42626	7.87787	8.48340	7.92237	1061.27713	8.34138	55.20517	13.38379
-97.90308	9.20420	28.88146	1.00000	60.64012	8.44798	1.60618	31.12406	5.00368	11.22675	8.53644	6.95237	10.16115	10.45142	1169.62865	8.90160	57.74443	24.52351
30.28491	7.38361	49.73187	0.00000	38.29255	10.00689	0.25660	60.02427	7.13498	10.34395	6.18172	7.22655	9.67313	8.38294	1198.37115	6.97468	58.52700	18.29566
-80.38297	6.93355	65.46391	1.00000	32.48620	9.48796	0.36330	42.8334	6.18541	9.61281	6.89225	7.62621	9.17563	8.81209	1198.52564	9.39785	51.44372	20.55589
8.88104	7.83217	54.86290	0.00000	66.33707	7.96948	1.67368	45.79377	10.54093	6.79372	10.31950	8.34684	8.23651	10.48839	1161.40397	8.56412	43.06237	18.39972
120.97844	7.56350	32.01515	1.00000	53.03444	9.13375	0.08414	14.8361	7.98134	6.50397	9.05183	10.07902	7.86506	6.63875	1077.63303	9.27698	61.13851	18.08872
9.29109	7.87225	40.04464	0.00000	41.28572	5.88155	0.07009	45.39402	6.19850	4.87903	8.16280	10.24450	6.99635	5.19455	1188.96609	7.94357	38.25134	5.63148
9.15013	9.01230	36.41042	1.00000	44.13623	10.47844	0.24766	13.70727	8.13919	9.72207	6.01835	7.11003	9.69069	8.38979	1122.86523	6.62689	44.41538	-9.47304
142.45778	8.32583	16.37330	1.00000	52.40739	7.13246	0.10831	44.35056	6.72569	7.06655	7.79500	6.75361	6.22444	6.64378	1179.05300	7.64270	44.03945	13.38698
92.48278	6.62061	47.41351	1.00000	49.60399	8.02477	0.28316	58.23583	6.26843	9.10459	5.94834	8.69542	6.74178	8.69871	1124.75573	8.23023	31.57220	12.62879
140.73667	7.98712	48.00115	1.00000	61.00313	5.89710	0.13365	41.77583	5.32460	8.51105	8.12235	7.57735	5.47394	7.81840	1173.19626	7.07328	49.29578	6.86112
33.34864	7.36132	52.92397	0.00000	60.95748	7.75841	0.64484	46.75451	8.20513	10.29968	6.89395	8.86370	4.29855	9.40643	1121.44119	8.48049	55.75124	15.32353
30.91105	6.50452	35.67520	0.00000	49.15572	6.50289	0.30352	3.02013	8.56411	7.36590	9.78272	8.03250	7.35440		1111.44538	7.11762	45.53295	8.72034
5.06258	8.57685	55.79517	0.00000	43.75917	10.34139	0.74194	7.50251	5.74016	8.82399	7.53002	7.59086	8.02620	9.64098	1161.36480	9.03202	39.40130	21.86980
113.82465	9.75832	20.23430	1.00000	44.31779	3.90979	0.08737	23.29549	4.91108	7.04563	10.58130	7.24400	5.31257	6.54891	1104.13509	8.06150	64.81134	5.55705
-117.54866	8.78282	60.07957	0.00000	33.39222	6.05289	0.37944	33.93113	10.04786	6.15244	8.91933	7.28994	6.05493	8.97316	1185.16234	7.50571	51.55014	11.62102
-72.27814	7.21660	21.56913	0.00000	49.38160	8.55956	0.25956	42.93369	6.78529	10.76048	4.41266	8.69144	5.84863	8.45870	1127.36540	7.97098	41.91958	4.30934
10.30215	6.15532	40.20456	1.00000	27.60561	5.57283	0.12721	53.94313	5.83274	5.30223	6.62419	6.87896	7.92519	6.51771	1198.35048	6.16675	64.99618	-3.03256
-73.78458	8.90021	56.05124	1.00000	51.92864	7.33011	0.20442	41.0051	6.00153	7.26429	5.27481	7.03757	8.08811	8.06137	1099.02740	7.71418	52.49364	9.55091
-1.48119	7.18129	59.58797	0.00000	31.07906	10.04544	0.23747	53.0233	5.16782	8.73201	6.39809	6.51908	6.45282	8.40736	1196.97232	9.19447	19.45922	39.28393
-25.66689	9.10793	49.75299	1.00000	51.85440	7.41388	0.10628	37.74615	7.13091	5.76205		7.74589	7.07753	5.89914	1105.89909	8.24634	46.60718	-0.98850
-73.49484	7.16912	56.65941	0.00000	49.30058	5.16909	3.96534	41.14676	9.35537	5.63786	6.73338	8.99835	6.10748	11.37571	1105.61061	8.09905	72.95385	25.56130
114.10479	8.31533	42.82110	1.00000	46.41634	5.20807	0.09104	22.37066	6.71752	5.55787	8.17802	6.97468	5.33251	4.93960	1199.85104	7.50652	53.46233	3.68686
-83.2321	6.99129	62.22218	0.00000	40.70386	7.13293	0.93727	33.08014	8.49023	7.05273	8.72308	7.49690	6.50862	9.86571	1162.43159	6.84359	42.99161	23.77389
68.88871	8.31621	40.07754	0.00000	39.49913	8.89162	1.20954	25.95533	9.62380	5.96285	10.26499	7.86028	6.09200	10.12446	1171.30278	9.50741	39.37636	13.39766
142.45778	8.09213		1.00000	38.64109	8.91920	0.13986	44.35056	6.85305	9.75260	7.38455	5.60146	8.91569	6.86040	1126.77969	7.46744	55.68660	15.07630
76.03889	7.49859	63.58009	1.00000	48.26600	10.27013	0.91315	18.18158	8.89737	6.36218	1.25555	9.70713	7.88735	9.80332	1173.21046	7.29064	24.19460	6.38153
74.83554	8.37919	35.34037	0.00000	43.32668	6.12292	0.11244	14.62072	9.69618	7.04635	11.59679	8.56308	8.67220	7.24719	1183.25507	8.87803	60.79814	18.33802
109.22921	7.18678	42.80527	1.00000	27.51682	4.78540	0.04840	34.65918	7.99365	4.13186	6.77669	7.43704	5.46517	4.49557	1134.12698	8.55175	32.48639	17.04071
122.9666	7.97592	54.29045	1.00000	63.67370	8.60315	0.23808	10.7375	6.28962	9.33304	9.04246	8.62433	9.12390	8.23464	1178.50204	9.43531	47.02197	12.56521
0.57856	7.97241	25.05037	1.00000	40.57235	9.92224	0.84098	40.70995	8.22095	8.18254	3.82440	7.55331	8.84713	9.79233	1126.19938	7.32691	35.60209	14.09461
113.82465	7.89734	25.38577	0.00000	50.91337	9.41164	0.76585	23.29549	7.79894	7.83404	11.14277	7.89500	6.87704	9.67135	1120.31545	6.75827	47.22707	11.69790
-7.95	8.08349	42.07468	1.00000	31.82779	4.59793	0.04433	53.43333	5.33727	5.75544	6.22148	6.91470	6.08507	5.50373	1141.79495	7.51195	49.01564	-7.40414
35.90057	6.65765	36.33389	1.00000	57.28023	10.47850	0.85765	56.85836	8.03212	8.23564	2.71581	6.69412	8.74445	9.78696	1167.46749	7.30260	28.47762	13.96897
13.29371	7.93526	33.46503	0.00000	33.59029	4.63870	0.10848	52.53048	5.15142	6.66477	4.97722	7.12691	6.03541	6.61275	1128.61196	6.94686	46.44236	22.17724
-111.90466	8.55500	46.85156	0.00000	42.48471	5.69113	1.17203	40.34912	9.48236	5.61758	7.23479	7.33875	5.02110	10.15396	1103.96182	8.19126	52.31009	5.71773
59.6	8.50169	35.27807	1.00000	60.64657	5.37023	0.06751	47.83333	7.67918	5.62176	5.37698	8.48382	5.84122	5.89931	1068.58872	7.47319	47.58657	22.25119
21.32778	8.00603	41.95348	1.00000	52.92169	8.82181	2.11217	42	5.77368	10.53678	6.86864	6.77812	10.09038	10.73785	1087.42016	8.35120	67.40474	16.47141
