location	latitude	QoS	code	longitude	revision
Europe/Paris	50.75	good	FR	2.25	06/11/2022, 00:00:00
Asia/Kolkata	12.04161	excellent	IN	75.35927	04 Feb 2015
Europe/Istanbul	38.13708	good	TR	41.00817	05 Nov 2016
America/New_York	40.82232	excellent	US	-74.15987	11/07/2015, 00:00:00
Europe/Madrid	40.42386	building	ES	-3.53261	04/14/2019, 00:00:00
Asia/Jakarta	3.3285	excellent	ID	99.1625	2019/12/15
Europe/Copenhagen	55.67938	excellent	DK	12.53463	2020/02/13
Asia/Dushanbe	38.55632	accep	TJ	69.01354	2015-04-13
America/Chicago	36.61033	building	US	-88.31476	04/10/2020, 00:00:00
America/Menominee	46.09273	good	US	-88.64235	2021-03-08
Pacific/Auckland	-44.39672	excellent	NZ	171.25364	2014-08-14
Europe/Zagreb	43.50891	excellent	HR	16.43915	2018-03-23
America/Los_Angeles	44.99012	average	US	-123.02621	2021-04-21
Asia/Shanghai	27.85	good	CN	112.9	08/21/2013, 00:00:00
America/Chicago	35.74788	maintenance	US	-95.36969	28 May 2022
Europe/Berlin	52.4581	average	DE	13.28702	2016/05/19
Europe/London	50.79205	accep	GB	-1.08593	2020/04/09
Asia/Kolkata	25.49043	average	IN	85.94001	2018-05-14
Europe/Paris	48.90472	accep	FR	2.2469	19 Feb 2015
America/Chicago	40.56754	average	US	-89.64066	06/23/2013, 00:00:00
Asia/Dhaka	22.83957	good	BD	91.84128	2022/02/19
America/Menominee	46.09273	excellent	US	-88.64235	2016/02/24
Asia/Kolkata	23.18	excellent	IN	88.58	2021-02-18
America/Recife	-8.66667	maintenance	BR	-35.71667	2018/05/05
Africa/Bangui	4.94273	accep	CF	15.87735	2015-07-15
Europe/Paris	48.98333	good	FR	2.61667	12/04/2016, 00:00:00
Asia/Kolkata	15.5439	building	IN	73.7553	12 Apr 2013
Asia/Shanghai	35.20889	maintenance	CN	111.73861	09/13/2017, 00:00:00
Europe/London	53.0233	excellent	GB	-1.48119	09/21/2016, 00:00:00
Europe/Madrid	41.41204	building	ES	2.18247	2013/09/26
America/Sao_Paulo	-23.44361	accep	BR	-51.87389	2017/10/25
Europe/Berlin	53.94313	maintenance	DE	10.30215	2018-06-05
Europe/Berlin	48.07667	average	DE	8.64409	2015/06/10
