PM2.5	latitude	H2CO	PAHs	NH3	Pb	O3	PM10	PRES	CO	C2H3NO5	warning	NOx	TEMP	SO2	longitude	CH4	CFCs
8.97935	12.37169	43.14024	7.96785	7.54585	43.58088	7.29227	9.00158	1104.71266	7.78067	0.21829	1.00000	9.24004	14.11374	10.12928	123.62494	7.24154	50.05610
9.28969	42	35.30135	5.50553	7.96164	54.01701	7.29272	6.57988	1172.09037	9.02613	0.05884	0.00000	9.68003	27.48720	8.56473	21.32778	7.60555	39.61158
7.35281	0.76755	31.96168	10.40649	8.09594	61.42043	9.01220	9.60052	1110.05324	8.66599	0.35411	0.00000	6.64283	-12.53323	7.94708	24.43973	8.85428	47.98832
10.93285	29.69221	63.16137	6.94609	7.95583	61.32748	9.71359	6.37760	1060.04927	10.07006	0.03126	0.00000	8.17262	9.31993	4.77152	72.54566	10.02617	27.90193
6.24221	21.53889	64.71671	8.36609	7.36940	54.65627	5.66400	9.04417	1175.87482	8.37535	0.22756	0.00000	8.63800	-9.69437	9.68970	71.57737	9.48154	73.07418
8.32594	40.65538	66.50747	13.01230	8.42417	46.74933	9.92561	10.57054	1132.31091	10.42742	0.86233	1.00000	7.48023	19.03972	8.26320	-74.38987	7.06702	25.01137
11.32884	37.13548	52.42615	8.98842	8.01166	34.49209	8.26484	10.17211	1076.55436	8.35894	0.60064	1.00000	8.45112	5.64789	8.91376	-3.67029	8.07605	37.35591
3.88531	58.1908	46.02771	7.71436	8.98547	37.36306	4.90261	6.77017	1124.80187	10.28715	0.04514	0.00000	9.14791	-0.14570	9.63987	40.17171	8.15885	70.20262
9.72831	50.75932	52.61639	9.81581	6.05445	39.28553	8.23524	10.82897	1108.19514	11.70562	1.12584	1.00000	7.01971	33.86111	8.57302	25.34244	8.13759	59.52342
6.00907	55.63711	47.03162	8.85320	7.48501	52.55385	5.77493	7.49375	1118.39406	8.76438	0.08315	0.00000	8.63889	26.13866	9.67562	37.38115	8.47946	54.84607
9.83689	46.1351	35.15918	4.20344	7.02371	39.19023	4.93240	6.47891	1059.32976	11.54893	0.06546	1.00000	7.78103	6.76268	9.42132	-60.1831	7.86777	53.96765
10.03499	27.55898	61.24296	7.04674	8.43398	69.94836	8.97705	8.47601	1179.59993	9.28495	0.15346	1.00000	6.28106	13.59532	7.98185	68.21204	9.37841	51.28987
7.62671	10.22677	59.55868	11.95246	8.00894	45.73776	9.31878	9.61317	1193.48564	10.60508	0.38078	0.00000	9.06610	11.30508	9.44319	-67.33122	9.19081	28.90606
8.62906	17.30858	50.24784	12.68479	8.62872	52.27491	9.73202	10.53190	1147.44513	8.74684	0.85652	1.00000	8.28883	21.76410	11.06769	97.01124	8.36545	62.67487
10.95747	5.30383	43.32465	8.79024	7.39111	60.83235	7.50855	11.24980	1081.82314	8.82778	1.69807	1.00000	6.71833	9.43447	10.86329	-1.98956	8.38979	44.19559
8.42940	35.6803	37.68955	7.51112	7.22791	69.50062	5.71522	6.10518	1195.42126	11.16081	0.03397	1.00000	7.92316	1.64454	9.01400	51.0193	8.16582	44.83070
7.73756	30.75545	47.48021	8.50648	8.00699	35.57276	7.79042	7.11477	1143.55843	8.87733	0.06360	1.00000	7.89279	27.93174	8.46799	20.22625	9.81020	37.45612
6.06404	34.14251	50.36992	8.37087	8.77862	64.71267	4.57632	9.07620	1080.15766	8.32496	0.23256	0.00000	7.19137	15.15102	11.49633	-118.25508	8.10236	46.55387
11.82717	-33.75881	39.14339	6.65593	8.33572	40.88555	7.81677	9.42484	1055.27802	8.87507	0.30730	1.00000	8.79204	5.29985	8.85414	150.99292	6.13281	57.56079
10.94397	45.40008	63.79829	5.91142	8.50440	58.28697	6.70137	6.12218	1147.02187	8.96837	0.05041	1.00000	7.69166	11.04435	10.42653	-73.58248	7.82726	42.54668
5.15133	42.97086	49.96270	8.76004	7.40337	61.70586	4.39440	4.93910	1120.57739	9.50909	0.05059	0.00000	7.54169	4.00904	10.31730	-82.42491	8.99160	60.66390
11.82289	56.85836	40.62367	7.44590	7.79991	33.60381	5.86161	11.64864	1078.62667	10.56196	2.52464	1.00000	6.16301	11.91938	10.40019	35.90057	7.08812	31.85975
9.84364	14.46693	41.79312	8.97166	7.64459	44.68690	8.63632	9.49489	1168.53146	10.38898	0.33389	1.00000	9.15261	14.06633	8.87613	75.92694	7.95087	46.67301
5.96827	31.28092	46.89487	8.89886	7.16102	41.07968	5.30129	6.81941	1056.79046	8.34348	0.06057	0.00000	9.13479	19.98022	10.21729	74.85849	7.65905	35.75168
10.70327	44.92934	36.86942	7.76439	7.69263	51.12024	8.70743	9.61634	1146.46370	7.27607	0.36017	1.00000	9.49601	9.24247	10.90996	37.99117	7.91335	32.68420
8.21352	44.85278	54.11302	5.97379	7.68653	53.33436	7.08793	8.01512	1153.03533	9.48320	0.10739	1.00000	8.42674	11.73956	10.03025	65.50917	8.02524	43.87899
11.60152	14.62578	53.70054	9.21224	7.48378	68.44034	4.01108	9.92280	1118.93041	6.71088	0.49899	0.00000	7.94565	29.30163	11.30145	121.12251	9.57962	36.78301
7.41132	15.79408	74.89685	11.13032	7.93918	45.71982	11.71162	8.35837	1199.60767	8.71173	0.13774	1.00000	9.51359	17.57482	9.90552	104.1451	7.69756	24.05904
11.01369	37.31309	50.74621	6.16647	8.02413	50.20393	5.71935	7.36179	1186.47675	9.03188	0.06034	1.00000	8.61953		10.26591	40.74357	7.90457	55.51231
10.35719	59.33333	57.98419	6.66954	8.80262	48.65610	6.26805	7.41912	1083.00919	8.62989	0.07107	1.00000	8.56662	15.97319	9.07613	18.28333	8.34623	44.37562
9.69517	22.4711	53.17082	9.44866	8.15810	42.50630	5.38929	11.41707	1188.47809	9.43571	2.00029	0.00000	8.64797	4.51518	11.48294	88.1453	8.32127	41.91044
10.31018	36.65	62.95594	5.59061	7.59561	36.41337	6.51280	5.96515	1077.12642	9.61388	0.04165	1.00000	6.52391	23.25395	10.31932	138.31667	9.12925	24.58414
9.20381	55.1904	72.09357	10.18247	7.22065	50.30386	8.21592	12.01543	1149.10251	9.60967	3.63839	0.00000	7.91007	16.33741	7.93808	30.2049	7.01085	81.96678
10.70290	1.6	60.83174	5.76626	6.85854	25.18647	6.99805	5.95565	1184.37906	9.00717	0.04373	1.00000	7.95691	12.06128	10.06062	103.81667	7.93001	36.17704
8.94434	45.43341	44.19124	7.86564	8.83672	49.72064	10.27079	7.55234	1123.15180	9.06630	0.08792	1.00000	8.02740	27.00061	8.28258	-73.86586	8.51761	51.75087
10.37447	27.34089	73.88459	7.00726	5.40012	33.81894	7.36588	8.70363	1180.73866	9.31414	0.16704	0.00000	8.44223	9.43315	8.39018	117.4831	6.14919	51.20944
8.30578	33.92866	34.62560	10.39611	7.28160	55.09995	7.20985	13.01530	1061.52113	12.33450	9.84992	0.00000	7.54366	11.01461	10.16207	-6.90656	8.57650	56.95792
6.25138	38.70734	27.84762	9.09300	6.86969	58.20657	6.56840	9.05818	1142.71207	11.88740	0.22949	0.00000	8.79577	6.73316	8.38716	-77.02303	7.96666	50.60095
8.63654	-37.32167	46.28911	9.08435	7.95547	66.05327	7.86181	10.84392	1118.36601	10.93287	1.15355	0.00000	7.04483	31.73671	5.53929	-59.13316	8.38563	58.97971
8.81024	43.82634	40.83337	7.62669	9.35553	44.00565	9.62848	7.86172	1185.13219	12.01747	0.11238	1.00000	7.37127	9.46085	7.37129	144.09638	8.28173	53.19282
	40.24537	57.57051	8.41374	6.99605	64.68350	8.26832	9.65228	1079.72399	11.36020	0.36856	1.00000	9.97812	18.80933	7.84787	-75.64963	7.67747	57.94303
8.74436	29.98869	46.97302	10.09333	7.73470	63.02296	8.85566	10.88784	1177.74194	10.73564	1.22585	1.00000	9.57388	16.35453	10.35659	122.20488	9.82320	48.58513
7.88669	-10.95817	78.13781	5.72942	8.12273	51.18032	6.49617	7.87538	1151.58785	9.22136	0.10613	0.00000	7.97440	12.40940	9.59617	-38.79084	7.99246	49.74198
8.62378	26.44931	49.18139	6.63742	7.89943	34.36500	7.84661	7.90068	1175.54713	8.39879	0.09686	1.00000	8.03795	26.61537	11.13977	91.61356	9.54689	41.42208
8.33404	14.0823	20.65813	9.95085	7.54897	49.22031	10.81359	8.83251	1177.14627	8.78788	0.19913	1.00000	7.80228	14.90971	7.78232	98.19151	7.69208	48.46102
7.29117	43.67681	56.66702	7.38902	8.45374	38.46737	5.32187	6.27106	1091.39796	11.83937	0.04441	1.00000	6.95056	35.72699	7.58467	4.63031	8.29900	46.23035
9.24489	39.71734	64.88302	9.84310	5.85560	48.88605	7.02889	5.26291	1188.97085	9.17865	0.02771	1.00000	6.97436	13.39049	8.47193	-74.96933	7.15915	47.74663
10.40502	41.55947	55.30714	6.69354	8.60267	59.68550	6.85041	7.69387	1064.97713	8.24607	0.07600	1.00000	8.52517	15.94032	9.86334	14.66737	7.07699	41.11818
7.66437	11.50526	72.82538	8.49089	8.89762	60.44281	5.79621	8.45894	1085.25979	7.86556	0.14007	0.00000	8.34519	10.13129	8.26943	77.23826	6.82639	44.82486
10.25039	18.65297	39.35707	10.72640	6.67596	59.86711	8.59672	10.39610	1167.38529	8.52518	0.74582	0.00000	7.58986	17.53841	9.77675	-72.09391	8.89251	55.96999
8.47621	38.40917	74.58071	10.70718	9.96089	66.55591	11.18894	8.47598	1073.77233	6.87797	0.13570	1.00000	7.62256	35.02925	10.67458	112.73333	8.31482	63.61737
8.37461	-19.65	46.84715	6.44345	7.91007	46.30334	7.81698	10.40003	1068.46976	9.96813	0.73802	0.00000	6.13054	8.45359	6.88507	47.31667	8.59996	59.77928
8.55955	40.67705	40.63150	10.15204	6.44096	49.70059	9.53036	10.41216	1061.43502	9.77028	0.76364	1.00000	7.93228	6.37825	11.17982	-73.89125	8.70549	45.78542
7.73486	13.70167	62.93692	7.07156	8.74336	51.29746	3.12747	13.14007	1050.56413	7.55598	11.14407	0.00000	8.02003	14.95925	13.01813	-89.10944	8.16254	38.40212
8.78420	37.56667	71.71900	3.73014	7.59122	37.95086	5.90987	6.56250	1140.56735	11.45125	0.06179	1.00000	6.00741	17.08988	8.53060	140.11667	7.96090	39.37831
10.36174	33.50921	39.66692	10.19732	7.71228	39.53752	7.75973	10.95287	1072.84225	11.29596	1.29352	1.00000	9.41963	-2.33564	7.44326	-111.89903	7.38932	43.14530
10.14286	68.79833	37.97372	4.17657	8.88647	53.48190	5.42704	6.38048	1121.16935	10.81142	0.02652	1.00000	7.09469	9.73943	9.67511	16.54165	7.33939	68.67896
6.01140	40.72816	47.85243	8.90714	8.43856	66.40676	6.21032	8.98776	1121.26799	8.28852	0.21875	0.00000	8.07968	34.14586	10.05154	-74.07764	9.49864	43.49782
9.58872	40.37528	51.88755	6.85472	9.01692	67.30608	8.20328	8.00337	1130.37822	7.54418	0.12449	1.00000	8.08836	9.29790	10.48960	28.88222	6.93772	55.54765
10.00182	43.82634	54.70494	7.33634	8.88425	36.94236	5.41959	10.03785	1131.27809	8.41834	0.53947	0.00000	8.26869	8.04419	10.91735	144.09638	7.47500	53.49581
10.34422	38.54491	37.44734	2.84459	8.09554	68.51770	5.52991	6.98354	1198.43561	10.81173	0.05181	1.00000	8.12750	6.01009	9.55119	-121.74052	8.36217	38.06925
9.08440	43.91452	36.96849	11.36644	9.40358	59.22331	8.95970	11.01575	1084.99592	9.15884	1.36035	1.00000	7.79994	18.58487	12.12970	-69.96533	6.47686	43.02976
6.36562	25.87498	61.09450	9.37124	8.96406	50.89030	7.16479	7.92858	1187.77392	7.37950	0.09993	0.00000	8.60737	17.27017	9.15285	86.59611	7.94102	31.79672
8.15942	50.82882	55.00812	5.51542	7.50709	19.76003	8.80509	11.12597	1101.09146	11.25284	1.52835	1.00000	8.62400	6.07387	7.13024	-0.32247	9.51118	69.97231
7.54909	39.59611	29.18964	10.97589	6.60056	55.57069	7.32373	9.81005	1175.03306	8.73645	0.46252	0.00000	8.75714	12.71951	11.46889	27.02444	7.93957	46.34351
9.53001	8.48714	39.30506	7.76656	7.25539	28.02591	9.19908	9.83124	1068.69516	7.58056	0.46073	1.00000	9.02885	8.79641	12.64940	-13.2356	7.04710	48.41084
8.95879	44.73941	61.82178	9.36949	7.94373	68.03907	9.25983	9.92118	1166.37718	9.99850	0.47407	1.00000	7.21558	10.89521	9.43821	-93.12577	8.48596	46.25140
7.05451	23.73333	60.87998	5.98691	8.75014	50.68684	5.82421	11.69417	1160.65773	9.52663	2.65204	0.00000	8.23311	23.18703	10.19012	114.68333	9.40277	59.77515
