QoS	revision	latitude	location	longitude	station
average	01 Nov 2020	24.96334	Africa/Tripoli	10.18003	Ghat
average	2020/06/10	20.88197	Asia/Kolkata	85.83334	Bhuban
excellent	08 Feb 2019	51.38673	Europe/London	0.30367	Hartley
average	2021/12/02	10.66668	America/Port_of_Spain	-61.51889	Port of Spain
excellent	06/20/2013, 00:00:00	43.1009	America/New_York	-75.23266	Utica
good	11/14/2021, 00:00:00	51.42708	Europe/London	-0.91979	Lower Earley
building	04/23/2017, 00:00:00	27.52948	Asia/Karachi	68.75915	Khairpur Mir’s
maintenance	2022/02/26	27.71809	America/New_York	-82.35176	Sun City Center
average	02/12/2017, 00:00:00	40.68066	America/New_York	-73.47429	Massapequa
average	08/28/2020, 00:00:00	48.49144	Europe/Berlin	9.20427	Reutlingen
good	28 Mar 2014	6.9909	Asia/Colombo	79.883	Hendala
building	2022/05/05	9.89206	Africa/Mogadishu	43.38531	Baki
building	2018/10/21	56.85836	Europe/Moscow	35.90057	Tver
excellent	02 Nov 2017	40.78206	Asia/Tashkent	72.34424	Andijon
maintenance	05/11/2022, 00:00:00	32.44874	America/Chicago	-99.73314	Abilene
building	2022/07/16	41.75338	America/Indiana/Indianapolis	-86.11084	Granger
accep	04/06/2015, 00:00:00	-11.48472	America/Bahia	-37.93278	Rio Real
maintenance	04/13/2022, 00:00:00	12.25282	Asia/Kolkata	79.41727	Gingee
accep	12/22/2013, 00:00:00	6.33444	Asia/Manila	124.95278	Tupi
building	2021-07-23	39.59611	Europe/Istanbul	27.02444	Edremit
excellent	07/25/2019, 00:00:00	34.08565	Asia/Kolkata	74.80555	Srinagar
average	2013/07/02	-7.01833	Asia/Jakarta	107.60389	Pameungpeuk
excellent	12/04/2019, 00:00:00	37.08819	Europe/Lisbon	-8.2503	Albufeira
building	2019/06/20	34.08565	Asia/Kolkata	74.80555	Srinagar
accep	16 May 2016	39.32011	America/New_York	-76.51552	Rosedale
excellent	03/28/2017, 00:00:00	40.37528	Europe/Istanbul	28.88222	Mudanya
average	2021-10-26	40.56754	America/Chicago	-89.64066	Pekin
