NOx	Pb	TEMP	CH4	CFCs	longitude	PRES	NH3	CO	PAHs	O3	C2H3NO5	latitude	H2CO	SO2	warning	PM2.5	PM10
7.34094	48.96004	21.36829	6.44330	59.92599	128.63083	1067.99380	9.38685	8.50721	9.20339	9.07163	0.15647	36.82167	51.54572	8.62091	1.00000	8.64502	6.28646
7.73377	47.24955	14.26860	8.23683	73.01807	79.5286	1145.29531	5.40049	9.82183	9.18856	8.57758	0.31676	29.22254	77.24099	8.62560	0.00000	7.71326	8.40149
6.68468	41.95717	18.45406	6.24684	52.74197	104.64992	1072.67932	8.64281	8.87770	10.01766	9.06623	0.11212	14.64056	30.93668	6.44493	1.00000	7.32539	5.91987
9.54643	57.40542	8.16756	6.66754	19.55693	3.20639	1067.92396	6.60988	8.39783	10.73620	10.53719	0.15464	50.74497	49.40280	7.83579	1.00000	7.20918	7.35623
6.95622	63.18375	25.19312	7.82757	51.53136	8.86374	1182.07657	6.55806	10.12141	7.00159	7.61155	0.14771	44.89784	66.94423	7.92495	0.00000	7.74410	7.13163
7.96013	47.37150	13.74907	6.81681	57.88741	9.47629	1161.15415	10.71090	10.35679	9.61246	9.86044	0.25608	53.59337	63.37183	8.12582	1.00000	8.49517	7.73408
7.38755	49.60236	30.23694	7.05627	45.07674	122.20488	1054.64629	11.84288	5.73400	9.16276	7.98031	0.41723	29.98869	28.08805	8.33627	1.00000	9.68171	8.70206
8.70949	58.03638	24.17470	8.08270	41.55842	113.69785	1132.23517	11.21577	10.64092	9.50043	10.67635	0.45941	-7.73379	84.97762	6.51276	1.00000	7.65208	8.70888
7.28128	72.36374	4.72742	8.60761	43.21275	-73.58248	1189.67837	5.34022	9.14045	12.11048	5.78281	4.74900	45.40008	59.11815	7.49759	0.00000	8.94591	11.29725
8.02307	31.40391	32.25982	10.36664	10.70307	-73.9614	1194.06613	8.24708	9.96538	6.19537	6.78319	0.15247	10.15031	47.06858	10.83972	1.00000	7.81463	6.31436
8.80603	37.01364	25.65717	9.15343	47.61519	74.83554	1051.64192	6.84581	10.19978	9.13240	9.78974	0.38070	14.62072	60.46208	8.49693	0.00000	6.99660	8.53066
7.21533	47.68424	7.88151	6.84125	42.63000	-80.38297	1140.42495	9.05893	6.41104	7.05655	7.28903	0.21793	42.8334	71.12510	6.78191	0.00000	6.88264	7.68421
7.71319	55.32459	32.62750	8.40991	58.25119	120.4861	1123.08735	7.41677	10.13541	6.55150	6.86160	0.30673	16.0438	36.75402	9.00444	0.00000	7.86122	8.11302
8.08828	48.53295	18.87423	8.03161	39.86101	-87.882	1148.38476	9.85860	6.46050	5.33013	4.58804	0.43645	41.85059	32.67431	6.38991	1.00000	6.03008	8.61165
6.93144	64.97057	17.63976	8.37696	87.08462	8.55552	1051.83292	10.07446	5.90966	4.82898	5.15367	0.36629	40.72586	48.81176	9.23983	1.00000	7.30486	8.42112
9.96642	71.53198	8.58924	9.11094	45.41292	9.0027	1177.75755	9.83591	8.17940	7.41186	7.67060	0.23099	11.86064	40.80804	7.54787	1.00000	8.17603	7.90582
7.95169	72.04564	8.67674	3.89354	51.05586	23.225	1198.01231	9.52376	4.89555	4.68385	5.37100	0.12368	43.4125	66.37411	6.57395	1.00000	7.21244	3.50747
6.15924	50.16146	12.85943	7.84820	39.34062	-2.31938	1100.53444	7.95741	11.57202	7.30796	6.98275	0.24474	6.46346	29.90472	9.03802	0.00000	8.42662	8.24193
8.02506	56.35238	31.46136	6.11435	38.89143	-72.97261	1072.53557	7.13451	8.21057	7.96339	6.65436	0.08845	43.61062	75.10855	8.35636	1.00000	6.81211	5.63032
7.12214	57.09602	25.37769	8.75201	57.33564	-116.97725	1091.31285	5.79024	10.68911	10.78481	7.54786	0.73498	33.92946	45.12497	8.55798	0.00000	7.30718	9.28666
8.45294	46.35315	14.86210	10.45014	61.99233	75.35927	1159.79018	7.13086	9.31068	9.33070	9.24327	1.36764	12.04161	60.32845	7.90460	0.00000	9.14663	10.00635
6.48819	80.88072	15.37778	4.04694	66.98482	-78.04471	1191.25648	10.22720	11.22059	10.16598	9.44133	0.12206	34.25628	45.86180	7.18925	1.00000	9.40424	5.40529
5.55816	46.81228	3.07271	4.96800	35.08372	13.63617	1099.48564	7.98634	6.38252	7.41008	8.70385	0.10224	50.50301	43.14304	8.78925	1.00000	9.15505	3.93879
6.99182	59.46803	36.83827	9.19633	50.52369	102.56365	1117.33974	6.45543	8.88863	7.21603	6.65100	5.77262	13.65805	60.49656	6.99298	0.00000	6.84018	11.49965
5.95018	72.59156	17.28074	6.50105	24.47030	123.758	1108.47988	5.26152	9.24206	6.35977	6.91859	3.37098	10.20898	48.17301	8.40247	0.00000	7.54268	10.93743
7.80693	67.95444	28.27499	7.99486	16.89275	-97.50417	1159.90187	9.50907	8.61282	8.81905	10.53155	0.29644	25.87972	45.10819	9.69914	1.00000	7.73998	8.05043
6.19360	49.12315	15.48985	4.59383	30.06711	128.63083	1148.54619	7.47156	7.76036	9.10745	9.04824	0.08782	36.82167	51.31429	8.00485	1.00000	8.11120	4.64106
8.50731	65.60028	22.34341	10.28258	37.27336	-1.4001	1105.32018	7.25784	8.51751	7.98708	10.46587	2.66879	7.06273	59.74737	7.96839	0.00000	9.39394	10.72098
8.65270	61.44015	3.29709	9.43995	48.13485	137.95378	1137.60429	6.60987	8.63288	8.31198	9.89860	0.39659	35.82756	42.24405	9.18386	0.00000	7.50804	8.23171
8.36481	55.48835	15.91027	6.83261	31.20333	-95.36969	1150.04535	6.86927	8.70464	6.96393	8.57041	3.81005	35.74788	54.52404	8.62372	0.00000	6.09864	11.07204
8.23855	37.03359	25.43173	5.86219	63.95373	-80.22588	1183.35255	9.75193	8.72647	6.44162	7.64637	0.14572	26.2173	53.52546	8.91915	1.00000	6.49033	5.65909
9.03890	65.54210	4.25669	9.76122	44.39244	117.55417	1188.51018	7.25613	8.88489	5.79477	5.69764	0.44606	34.86472	49.40867	9.96786	0.00000	8.40547	8.62933
6.12196	48.83727	16.81389	6.44182	22.56043	32.88667	1136.46499	10.31278	5.76781	6.47168	5.43922	0.38019	3.27833	54.62346	9.20839	1.00000	5.60093	8.35652
8.62366	77.85994	14.27776	6.67765	44.94440	-77.4286	1160.71910	10.80447	6.87608	8.50492	7.04398	0.31439	39.00622	62.08646	9.03882	1.00000	6.56212	7.96220
8.01253	35.63091	17.19503	5.75022	54.03600	-7.32097	1142.34207	10.44903	5.41671	5.42085	5.17337	0.16676	41.1053	45.26887	8.70738	1.00000	8.44734	6.74053
7.53618	56.90417	0.26077	8.03912	52.90586	-82.42491	1169.35338	9.44120	8.72462	9.19274	8.84657	0.18936	42.97086	43.78606	6.72611	1.00000	8.08302	7.88481
7.90147	45.53300	11.20158	8.04767	51.28406	109.3243	1093.23816	9.32760	7.73459	5.87641	7.06807	0.05039	-7.0981	70.40282	8.74392	1.00000	7.70201	5.03506
9.51833	42.04217	16.18338	5.91111	65.29611	39.8302	1131.55996	9.42707	7.89943	10.68743	7.19183	0.17817	64.5635	79.66401	8.96083	1.00000	7.34273	5.32098
5.40120	70.52974	21.49437	12.28692	46.14384	-82.42491	1105.05804	6.79902	9.76019	6.51982	3.25927	0.43602	42.97086	66.46619	6.19843	0.00000	8.87296	8.66269
9.05912	62.61327	3.25477	7.45900	37.48474	29.00974	1149.49469	7.25227	9.53615	6.71231	8.36317	2.68685	-24.19436	64.20098	7.96510	0.00000	9.18225	10.72086
7.75433	43.36017	18.31889	6.32916	42.27640	-5.55835	1123.39972	8.38986	6.84468	7.82900	9.13255	0.07870	42.64685	43.81962	9.01059	1.00000	6.63189	6.49268
6.81273	53.33995	21.52243	4.22355	37.36503	2.29275	1098.11340	6.42852	7.93780	9.64690	9.48655	0.09350	48.79325	58.34461	7.07910	1.00000	7.53666	5.37308
8.76708	39.73877	23.50215	10.06701	47.87088	-82.32483	1081.35727	8.16490	9.88292	8.23768	11.47919	0.62192	29.65163	43.17849	8.51432	0.00000	6.31951	9.16882
9.11962	44.73417	26.57570	8.22501	33.37175	4.47124	1111.83454	8.20313	8.30692	5.57874	8.34993	0.09615	51.95838	62.37046	6.72296	1.00000	7.86261	5.59444
8.41835	41.26357	12.06033	6.49481	64.92070	-97.03285	1178.18133	8.92424	7.72209	5.83102	6.85525	0.08481	47.92526	79.45025	7.98837	1.00000	7.66884	5.22240
8.90533	54.94743	12.84462	6.56556	50.00356	-82.35176	1195.54984	6.60324	9.68585	6.97346	4.51224	0.12293	27.71809	86.35390	7.15669	1.00000	8.22610	6.55990
8.35943	64.20087	12.18056	6.92194	35.67311	-1.64295	1073.30832	12.03971	10.59000	7.38856	9.53288	0.35696	42.8139	43.12999	8.53568	1.00000	9.48811	8.18003
7.72496	53.56708	17.15404	4.86288	74.15404	-43.80139	1126.52343	8.01059	5.97819	7.05667	9.07858	0.06847	-20.25333	38.78883	8.61302	1.00000	5.38175	4.84619
8.72056	40.12056	29.69819	9.57735	35.17883	3.87723	1079.06544	6.54740	8.78495	7.34316	10.75799	0.27041	43.61092	58.75351	5.68731	0.00000	10.10223	8.21513
6.68567	53.00034	20.71971	7.86950	56.60382	141.95	1080.38693	6.09939	9.77704	6.77241	7.73073	1.06182	39.46667	46.35424	7.65409	0.00000	9.17082	9.77150
7.29961	48.99475	7.82075	8.76891	57.40950	78.25795	1088.12911	9.66029	6.99386	4.60790	7.39683	0.24695	9.82564	59.94366	8.94925	1.00000	9.06101	7.94141
8.94984	40.55994	16.93364	7.89210	34.47557	7.60872	1058.35668	6.64358	8.91519	7.94394	10.54627	0.11086	43.78956	49.44894	7.85240	1.00000	7.57518	5.07495
8.19293	63.29148	7.19591	7.60534	64.65471	-1.60452	1177.23746	6.76474	9.15701	8.67658	9.69680	0.13851	42.06166	18.37139	10.12065	1.00000	6.27764	6.26533
8.73368	60.37409	22.06072	6.12182	30.21825	8.96317	1143.81443	9.57828	10.31605	8.17717	10.56260	0.14706	48.35149	50.04584	8.30983	1.00000	7.71244	6.96502
6.78574	61.00645	21.24606	8.81342	39.92130	-77.43532	1091.00757	12.03866	10.17262	8.32228	7.61887	0.14168	20.14298	40.53176	8.49119	1.00000	8.71216	7.33030
8.67266	48.07000	2.22798	10.66248	51.99633	-52.51028	1123.98842	4.60666	8.67136	7.36389	8.48847	1.15987	-28.81833	54.39145	8.61045	0.00000	9.36166	9.77352
6.44638	55.64482	19.64072	5.85653	45.96537	146.05093	1069.99364	8.06316	6.58745	5.60655	5.50122	0.13009	-34.28853	60.29792	8.36541	1.00000	7.27985	5.65563
6.51507	62.63710	22.48344	5.92496	41.00142	79.87116	1062.35608	9.56322	5.27012	5.45849	8.33416	0.15104	6.84019	71.84951	8.04225	1.00000	7.90359	4.98730
8.73338	45.22430	13.35332	7.61621	67.95349	68.21204	1097.55269	7.73067	7.72616	11.29451	10.31992	0.20052	27.55898	39.20737	8.92009	1.00000	8.19500	7.37852
7.50766	70.72622	34.15901	5.56965	25.61377	12.1369	1061.05521	7.73635	6.45503	6.63012	5.97071	0.17879	51.04962	59.45734	6.54372	1.00000	8.29216	7.41682
8.40000	53.90852	18.27496	5.76686	59.96114	78.25795	1198.29998	11.54132	9.99291	7.66492	6.25627	0.06768	9.82564	55.47997	6.53266	0.00000	10.26360	4.92424
6.70392	47.78312	11.74876	10.30846	69.92544	-88.64235	1118.54349	7.84700	9.16255	9.12489	10.06639	0.82048	46.09273	35.53203	9.16482	0.00000	7.81447	9.43780
