code	QoS	station	latitude	revision	longitude
GB	accep	Arbroath	56.56317	2014-02-03	-2.58736
PK	average	Sillanwali	31.82539	01 Jan 2018	72.54064
GN	building	Camayenne	9.535	2015-06-29	-13.68778
ES	acceptable	Segundo Ensanche	42.8139	2021/02/11	-1.64295
RU	average	Valday	57.97472	2018/01/14	33.2525
FR	good	Fontenay-aux-Roses	48.79325	2018-07-24	2.29275
UG	good	Kitgum	3.27833	20 Aug 2013	32.88667
KZ	average	Kyzylorda	44.85278	2015-07-11	65.50917
US	accep	San Juan	26.18924	2019/09/27	-98.15529
JP	average	Shinshiro	34.9	04/19/2022, 00:00:00	137.5
KE	excellent	Nyahururu	0.03813	2022-05-17	36.36339
CN	maintenance	Hoxtolgay	46.51872	22 Aug 2016	86.00214
US	excellent	Woodbridge	40.5576	2022-08-23	-74.28459
LY	accep	Ajdabiya	30.75545	2019-08-29	20.22625
NG	building	Gaya	11.86064	2013/12/28	9.0027
CL	building	Ovalle	-30.60106	01/03/2013, 00:00:00	-71.19901
GB	good	Penzance	50.11861	12/11/2019, 00:00:00	-5.53715
US	excellent	Fayetteville	35.05266	01/02/2021, 00:00:00	-78.87836
TR	excellent	Mudanya	40.37528	2021/11/25	28.88222
LT	excellent	Ukmerge	55.25	2018/09/26	24.75
ES	accep	Puertollano	38.68712	2019/04/15	-4.10734
JP	good	Hakodate	41.77583	2021/01/31	140.73667
AU	good	Willetton	-32.05251	12 May 2020	115.88782
US	building	Granger	41.75338	2022/02/05	-86.11084
BR	accep	Loanda	-22.92306	19 Jan 2020	-53.13722
RU	accep	Nizhniy Lomov	53.53041	28 Jun 2018	43.67663
IL	maintenance	Ramla	31.92923	2014/09/29	34.86563
CN	average	Nanpiao	41.09822	2013-06-18	120.74792
UZ	excellent	Parkent	41.29444	05/03/2017, 00:00:00	69.67639
DE	average	Hechingen	48.35149	2022-02-11	8.96317
US	maintenance	Covington	39.08367	2016/11/24	-84.50855
US	good	Gilbert	33.35283	2022/05/15	-111.78903
CL	average	Chiguayante	-36.9256	12/15/2015, 00:00:00	-73.02841
DE	good	Reutlingen	48.49144	28 Apr 2022	9.20427
LY	excellent	Ajdabiya	30.75545	02/04/2015, 00:00:00	20.22625
PL	average	Reda	54.60528	2022/05/26	18.34717
