Pb	CH4	latitude	warning	PM2.5	TEMP	longitude	NH3	PAHs	H2CO	NOx	PRES	CO	SO2	C2H3NO5	CFCs	PM10	O3
68.21984	7.08656	31.20176	1.00000	9.47918	2.69793	29.91582	9.21462	11.06326	21.34336	7.92486	1138.73126	7.46517	10.28027	0.82749	54.46971	7.56057	6.69563
48.84793	9.16268	50.80019	0.00000	7.31633	20.37499	7.20769	7.64341	7.61677	67.69674	10.02280	1181.45574	6.77349	7.61275	0.69550	57.17757	6.70855	7.62319
42.49696	8.12440	10.10649	1.00000	9.45066	22.06753	76.35484	8.32477	8.81878	37.99851	5.88293	1072.74833	6.52600	9.37375	1.46198	49.79401	8.16237	5.77268
78.18436	10.89366	14.95472	0.00000	8.53662	24.29588	120.89694	9.12839	8.89597	38.54234	8.58117	1145.73673	9.14338	7.30539	3.74289		9.26968	5.81521
50.52719	8.27356	13.65805	1.00000	8.99536	24.55027	102.56365	8.36753	7.45101	63.33851	7.25027	1106.41374	10.28237	7.98626	3.03093	72.62436	9.03608	5.67622
50.89759	8.90350	52.61131	0.00000	7.38820	21.03359	13.31783	8.77245	7.26727	83.94241	11.60828	1106.05934	9.88068	9.31480	3.48873	53.56361	9.15699	7.31814
54.78609	6.84070	40.63316	0.00000	6.27256	22.48074	-74.13653	6.88739	6.47930	59.19112	7.50378	1093.84125	7.30246	5.53597	2.69820	60.86628	8.94485	6.61180
56.73362	7.43607	-28.24	0.00000	7.19720	-12.02416	-48.67028	9.03219	5.81688	41.50926	6.57193	1069.33273	6.21846	6.34741	6.87954	69.06263	9.95858	5.45624
45.85833	8.11555	51.168	1.00000	9.46488	19.11081	7.973	7.86109	9.96952	61.81632	7.04647	1167.49868	8.76288	9.58215	2.49108	60.36679	9.02029	8.08119
62.92363	8.19150	21.01858	1.00000	10.63344	22.92270	-101.2591	8.36933	9.63093	22.75205	2.88833	1192.05854	6.92349	10.23069	7.38406	51.91150	10.02003	10.35535
63.90787	8.38087	36.20829	0.00000	9.53954	23.74311	-115.98391	8.93468	8.71104	45.60357	5.78832	1096.85943	6.54556	10.31961	0.67799		7.19897	10.09285
61.63455	5.70154	-4.06667	1.00000	9.60884	7.44626	37.73333	8.13403	9.52473	47.03491	7.46791	1131.81168	6.64502	9.83017	4.02857	57.23204	9.36514	7.83052
63.37102	8.54700	32.54278	1.00000	11.79521	6.72023	111.50861	7.63767	8.73103	50.77800	8.44487	1193.63856	7.25353	8.57528	1.34482	62.71881	7.95514	10.52108
30.40387	9.54071	27.85	1.00000	10.16097	-3.02547	112.9	10.11488	10.78762	49.16660	5.17617	1198.97838	8.89627	9.31329	1.04479	57.46439	8.06669	8.76502
64.81777	8.33223	33.86419	1.00000	9.76983	9.24049	48.26258	8.68667	10.36091	43.73539	7.39864	1113.79437	5.87162	11.00625	0.65691	45.93103	6.66266	8.35053
51.66886	10.17024	22.75218	1.00000	10.93692	15.26115	72.68533	7.66397	8.65888	63.24417	6.80052	1190.33094	5.21593	9.35521	1.60005	43.82459	8.48653	9.42449
32.22694	7.76659	21.28306		8.41681	29.52873	-89.66123	7.04908	13.43573	45.33322	8.91705	1082.45262	9.79891	10.44769	1.33779	68.62554	7.89476	6.00911
55.10237	8.45073	33.43443	0.00000	7.15126	11.58538	-5.22126	8.73895	5.96330	60.27788	11.14446	1058.23599	7.41257	9.08939	4.08093	46.65052	9.41661	6.74769
41.21397	8.73597	24.81757	0.00000	10.48976	13.56306	84.63445	7.96448	7.96763	57.29379	6.10570	1152.24559	7.42299	8.48173	5.18679	77.68536	9.71225	8.47125
50.43040	8.07118	23.9028	1.00000	8.87477	1.47559	89.11943	7.38855	8.03589	52.47787	8.06584	1061.31588	7.51193	9.39766	0.88502	59.42457	6.94561	9.59859
66.16838	7.63567	43.31667	1.00000	7.31407	12.27373	-2.68333	7.27557	10.18075	64.11255	8.05737	1168.29271	10.01509	9.73304	0.99474	47.55067	7.29514	4.03608
62.30849	9.01844	10.29085	0.00000	7.20338	20.43367	105.75635	10.47676	6.84088	66.05682	12.26956	1117.88622	9.63995	9.78230	0.95510	51.62545	7.88420	5.85183
33.66444	8.25521	35.48199	1.00000	10.31371	23.47189	137.02166	9.14790	11.02989	67.28842	5.99606	1193.38313	6.20197	10.62199	5.36264	53.53558	9.69746	8.70170
57.06713	8.97938	41.16704	0.00000	7.60553	19.35548	-73.20483	8.10419	6.09962	56.50215	9.71200	1069.06330	6.84415	11.08158	1.76680	69.56648	8.56867	6.63858
37.03540	8.57071	53.69786	0.00000	8.41986	36.55282	-2.68758	8.35217	7.86088	50.69104	6.63544	1118.66581	6.92985	8.40718	1.30790	52.96089	8.26698	6.96451
51.71250	9.37659	45.99194	0.00000	3.97920	10.80552	29.41824	7.17504	4.38811	60.84159	9.59955	1115.21485	6.85074	8.03478	0.58591	68.20751	7.16986	9.52358
27.09655	7.70767	46.32374	0.00000	8.23573	21.82653	-120.00865	7.34860	7.76339	51.00873	7.50588	1066.63387	7.28951	7.33712	0.22879	58.29265	6.01775	8.86737
57.42937	8.81503	14.46693	1.00000	8.84928	30.38815	75.92694	9.26080	7.91284	59.76173	8.99337	1055.61482	7.51159	9.15034	0.55883	53.79581	6.97361	10.28662
55.17740	6.78852	48.90472	1.00000	9.35760	23.71271	2.2469	8.33855	11.77277	55.11197	6.99190	1168.77318	7.90901	9.87378	1.44935	54.18239	8.33432	5.43863
50.20798	8.75786	47.4943	0.00000	5.55990	29.24540	-122.24092	9.83103	5.74093	54.67026	6.85596	1191.75361	6.07405	5.70338	1.04429	49.73814	7.92527	5.66610
45.72133	8.49667	47.30997	1.00000	9.85322	26.89244	8.52462	8.36267	10.43403	52.62756	7.33779	1186.55644	6.80587	10.02176	0.99332	41.29339	7.47891	6.99097
56.44442	8.61843	52.61131	0.00000	6.49401	23.86234	13.31783	8.83409	6.98856	53.71187	8.26482	1116.51311	4.97082	8.43725	2.11362	49.04399	8.64240	8.02725
48.84212	9.55018	-31.95224	0.00000	8.22613	18.83700	115.8614	9.35521	6.09512	43.36147	10.42999	1128.84024	5.72707	9.18402	2.99374	58.87800	9.06095	6.63612
57.10552	10.10621	34.21639	1.00000	9.32741	28.73524	-119.0376	7.71192	8.79518	46.80404	8.20558	1107.81012	8.68002	9.11471	2.30622	67.32026	8.79262	7.56280
54.07642	8.71311	40.93333	0.00000	5.60023	21.57043	73	8.57664	5.36786	31.58757	8.35907	1101.83457	4.44562	7.98523	5.15228	44.61621		8.66191
55.21614	7.08307	43.32393	0.00000	11.09672	10.50615	5.4584	9.29472	9.29709	49.88277	8.82693	1131.09349	8.76010	6.78482	1.64676	61.20706	8.41872	8.24459
49.86895	7.14258	47.80527	1.00000	8.91853	11.88571	-122.24064	7.45117	9.74486	66.52814	6.01853	1114.71733	6.40848	10.06115	46.97176	57.72642	11.92377	5.26001
71.29023	7.52159	4.94273	1.00000	10.35112	14.38889	15.87735	9.84254	9.65839	39.06878	7.74182	1171.91247	6.15557	9.95339	0.59438	65.83570	7.31339	8.81954
52.12402	9.26377	54.48147	1.00000	10.78687	16.48414	53.47103	10.01633	9.78427	38.47435	4.48096	1184.65730	6.37414	10.30947	0.55431	50.74378	6.79992	10.47705
80.50294	7.62031	53.95278	0.00000	9.20161	25.20268	32.86389	7.80479	8.22749	50.75415	5.91249	1107.96426	6.61445	8.04302	2.91487	53.02418	8.94684	7.36815
51.20064	6.97543	50.75932	1.00000	6.82277	23.02431	25.34244	8.85876	9.23765	62.31243	10.26299	1126.86091	7.88248	9.18007	3.48575	62.79114	9.23467	7.14632
55.18220	8.88292	51.21667	0.00000	4.26537	0.61862	6.26667	8.61631	7.28098	61.74304	3.86174	1121.16767	4.19284	10.52223	4.61987	43.50946	9.54543	8.45445
55.06338	8.69155	55.25	1.00000	7.11646	22.48161	24.75	7.29191	7.56303	39.31880	3.98761	1078.23710	5.30452	10.46090	1.92573	42.69335	8.47061	2.93912
53.01276	9.07480	55.25	1.00000	8.91248	27.38740	24.75	8.86192	9.95035	56.31728	5.12768	1177.80052	5.26535	10.58834	0.65037	65.22969	7.15242	5.69511
57.38569	8.75271	42.52787	1.00000	9.18543	29.47132	-70.92866	8.16115	8.82838	54.12730	5.66535	1083.45915	7.21105	9.31890	3.95771	48.24939	9.38218	4.60778
	8.01122	45.53069	0.00000	6.10478	13.28787	9.40531	8.35853	5.74572	66.62510	8.80344	1164.32775	7.57242	11.22027	0.94295	57.11739	7.37923	7.69704
52.92817	7.14584	65.84811	1.00000	11.39646	7.08079	24.14662	8.24184	8.69437	42.12317	5.54554	1070.99612	8.42841	8.25775	0.67459	58.89084	6.94702	11.99873
39.81986	7.19675	-22.53722	0.00000	4.84045	11.61162	-42.98194	7.68439	5.93206	53.81178	5.00305	1090.82024	5.22682	8.84755	2.02691	59.90723	8.57447	9.60632
45.94962	7.52152	-21.205	0.00000	4.60138	12.45252	-41.88778	8.65792	6.53627	59.75497	9.53714	1050.22246	8.77346	9.92737	2.85658	51.74777	8.98681	7.64822
52.07241	8.86842	35.30889	1.00000	8.59294	9.41386	139.55028	7.51511	7.01474	51.89063	8.32992	1161.07010	7.48435	9.26453	8.05617	63.40014	10.12919	10.34748
30.49233	9.58676	41.92361	1.00000	9.54524	28.63606	20.91361	7.47431	8.61374	48.25072	4.65144	1126.65987	4.48331	9.49027	5.63713	48.08481	9.74354	6.61666
55.78429	9.15209	48.49144	1.00000	10.32132	8.65830	9.20427	8.77629	11.09756		3.79880	1068.89806	5.59182	11.59890	2.80912	40.38957	9.20447	8.49008
50.58255	7.56604	42.52787	0.00000	6.17996	12.59398	-70.92866	7.70860	7.24823	50.42404	6.46162	1068.17984	6.75442	8.13311	1.03545	39.76297	7.71086	9.20713
64.14961	7.82269	17.34769	0.00000	8.47626	14.49123	78.55757	7.18306	8.01145	58.05446	10.27420	1153.17027	7.21177	9.91915	0.34629	47.30442	7.17122	5.75818
43.06519	9.39483	55.25	0.00000	6.62636	23.54175	24.75	8.76634	8.46971	46.32432	6.47750	1151.61485	6.41059	8.42584	0.54586	56.70893	6.47020	6.46512
45.75502	8.00822	50.82709	1.00000	9.30334	15.14629	6.9747	8.66413	9.03149	88.94867	7.06349	1064.50012	7.30532	9.90088	1.78373	62.67414	8.36116	6.15467
49.93450	7.63362	52.61131	1.00000	9.62526	43.11080	13.31783	9.08238	10.81702	62.08456	10.14669	1135.15739	6.74495	9.72953	0.85164	47.08034	7.23946	8.62324
50.54169	7.37122	46.09273	1.00000	7.52287	27.31000	-88.64235	6.22320	6.05773	35.57761	9.13673	1081.28525	7.11217	9.25928	8.82463	59.42468	10.18127	10.84066
48.05767	6.98270	52.14	0.00000	6.37157	16.04745	5.58472	8.23294	5.73769	54.44429	7.89133	1147.76972	5.03792	10.55948	1.68248	55.23492	8.23742	7.56395
48.48472	6.21617	51.47805	0.00000	6.15509	25.78444	6.8625	8.38155	5.69327	40.75559	9.83270	1063.28592	6.33455	8.47381	2.23585	63.36662	8.73720	8.17580
42.99250		32.54278	1.00000	8.89875	30.05318	111.50861	7.94421	9.94768	43.23840	7.83695	1123.56242	5.69235	10.68276	2.21170	47.90204	8.79606	8.34338
58.84380	8.44163	43.11667	1.00000	9.83404	28.80558	1.6	9.03809	11.07166	60.84422	7.34489	1097.10312	5.07039	10.82753	2.24238	51.63267	8.66565	8.30965
39.18517	7.91588	39.57582	0.00000	3.96133	14.11938	-105.11221	7.62808	5.16963	47.67399	7.78779	1089.61065	6.49765	8.83930	2.57354	59.49210	8.87248	9.99857
38.51434	8.29440	40.63316	1.00000	9.56421	13.29312	-74.13653	9.25545	8.48147	48.20516	7.23721	1071.93031	8.93009	8.06280	6.05737	51.25963	9.82869	10.71058
50.32792	6.97027	40.92298	1.00000	9.76444	20.49487	14.30935	8.49991	8.66951	65.33536	6.35027	1052.20034	6.55583	10.08408	1.90026	48.14475	8.57095	10.23655
57.57808	8.18470	44.97639	1.00000	9.27582	6.58635	19.61222	8.54261	6.57168	53.13242	7.52822	1138.43018	6.62889	9.08699	3.37351	60.27131	9.25872	12.16031
50.85269	6.85164	19.8173	0.00000	8.30573	24.17259	-97.35992	8.62003	8.76741	57.87619	9.75025	1055.27952	5.87019	8.07534	4.23161	44.01879	9.40374	6.46584
57.47792	7.32179	-19.7625	1.00000	9.13684	15.63958	-44.31389	8.30652	10.96437	41.46086	7.44740	1100.79215	6.70960	10.41521	4.85055	55.88852	9.59007	7.64963
47.09950	9.02440	40.93333	1.00000	9.17738	-7.00729	73	6.64940	9.59273	47.09506	6.67652	1152.95646	7.34363	9.89970	1.77792	42.57418	8.54797	5.08054
69.60076	7.62688	36.46917	1.00000	10.16352	23.42426	10.78222	6.51326	10.36390	60.14871	4.90101	1178.96118	7.41635	9.56622	0.68369	70.42023	7.59208	9.70418
37.93169	6.53798	40.64621	0.00000	5.33661	-1.05582	-73.97069	8.82774	6.20568	47.16143	8.44971	1146.28696	7.54638	9.97045	0.96664	59.05336	7.84982	8.74268
35.53413	7.66934	-27.4338	0.00000	8.24423	30.13336	-65.61427	8.90273	9.42110	36.65249	7.42554	1069.69476	7.68614	8.19983	10.42054	57.28249	10.41570	9.75611
50.21503	7.46669	41.8542	1.00000	9.65448	16.43120	-87.66561	7.99761	7.52363	39.35804	6.72711	1190.12375	7.87491	8.51003	1.40240	42.14234	8.11815	11.84958
52.84267	7.49825	46.18396	1.00000	8.72740	23.99693	6.10237	6.22057	9.41361	78.52779	6.93261	1096.76921	7.70044	9.10797	1.30658	59.03355	8.09648	9.45499
43.21669	7.00204	27.0174	1.00000	9.04210	9.58077	49.62251	8.06893	7.27655	54.91903	9.89327	1180.33207	7.87489	8.66277	2.94721	54.24007	9.11906	10.67120
46.91619	7.84693	40.58654	0.00000	6.24375	17.75959	-122.39168	8.34083	4.87328	45.83731	7.38388	1107.94837	7.54403	5.40093	2.29486	62.54469	8.73331	4.61989
51.07744	9.22101	50.82882	0.00000	5.30303	3.89362	-0.32247	7.27088	5.17835	63.96671	9.05861	1173.13011	6.13816	9.31561	1.62720	57.96832	8.38393	7.95326
56.37624	6.20323	41.09246	1.00000	11.47898	33.35638	45.36561	8.10221	10.13908	46.49322	6.55192	1115.87034	6.36777	9.83498	13.24702	55.97070	10.65340	10.67982
43.53003	9.27521	41.24255	1.00000	9.35695	24.01699	-82.61573	8.87859	6.96442	65.87522	7.34462	1160.48518	7.40334	8.28327	1.39967	49.78844	8.34409	12.17692
38.90764	7.67428	51.62907	0.00000	6.59756	4.47390	-0.74934	8.46950	9.00587	49.56921	8.91976	1086.96366	8.96203	7.09992	1.01013	63.28290	7.62336	8.85352
45.81662	8.63595	35.89972	1.00000	9.94758	9.58142	14.51472	7.96022	8.65266	58.35311	5.55589	1144.08308	7.43829	9.09397	4.78731	48.04483	9.62171	11.03182
29.62730	9.43250	38.54491	1.00000	11.60582	25.14434	-121.74052	9.06519	9.46305	36.66123	6.97671	1160.96315	5.52302	10.11499	4.12888	55.92156	9.36282	11.66053
47.03686	9.32229	13.8196	0.00000	5.93082	15.71178	100.04427	8.78421	5.57625	25.79788	11.77729	1132.57099	9.09042	7.53666	9.25153	50.03345	10.29193	8.68199
