station	longitude	QoS	code	latitude	revision
Kovylkino	43.91385	excellent	RU	54.03876	2014/10/12
Muskogee	-95.36969	average	US	35.74788	22 Mar 2016
Huangshi	115.04814	accep	CN	30.24706	11/22/2020, 00:00:00
La Garenne-Colombes	2.2469	good	FR	48.90472	2019/09/30
Arua	30.91105	maintenance	UG	3.02013	23 Apr 2018
Jingzhou	112.19028	average	CN	30.35028	2020-06-14
Aguilares	-65.61427	good	AR	-27.4338	25 Dec 2012
Pune	73.85535	excellent	IN	18.51957	2019/10/30
Poulton-le-Fylde	-2.98333	good	GB	53.83333	2022-08-17
Guapimirim	-42.98194	building	BR	-22.53722	2018-09-20
Jashpurnagar	84.13864	accep	IN	22.88783	12/14/2013, 00:00:00
Tuxtla	-93.11308	accep	MX	16.75973	11 Jan 2022
Dyat’kovo	34.33825	average	RU	53.59782	24 Jan 2015
Camarillo	-119.0376	good	US	34.21639	22 Jan 2020
Tucano	-38.79084	average	BR	-10.95817	14 May 2022
Oberhausen	6.8625	good	DE	51.47805	05/12/2019, 00:00:00
Aistala	88.58	building	IN	23.18	2022-01-12
Walsrode	9.5926	average	DE	52.86147	2015-02-09
Talavera de la Reina	-4.83076	excellent	ES	39.96348	12 Aug 2018
Middle River	-76.43941	acceptable	US	39.33427	08 Oct 2020
Jerada	-2.16	good	MA	34.31	2015/06/05
Sector 6	26.01649	good	RO	44.43579	13 Feb 2021
Keizer	-123.02621	good	US	44.99012	2016-12-04
Osmanabad	76.03889	average	IN	18.18158	08/03/2017, 00:00:00
Salvatierra	-100.88023	maintenance	MX	20.21322	03 Feb 2014
Oldenzaal	6.92917	maitennce	NL	52.31333	10/02/2017, 00:00:00
Ventimiglia	7.60872	building	IT	43.78956	24 May 2019
Huangshi	115.04814	good	CN	30.24706	2014-12-25
Brunswick	-69.96533	good	US	43.91452	2021-12-14
Lebanon	-84.20299	excellent	US	39.43534	06/15/2021, 00:00:00
Crystal Lake	-88.3162	good	US	42.24113	2018/01/02
Sun City Center	-82.35176	good	US	27.71809	09 May 2014
Okahandja	16.91667	maintenance	NA	-21.98333	04/02/2016, 00:00:00
Thomazeau	-72.09391	average	HT	18.65297	19 Nov 2017
Guapimirim	-42.98194	good	BR	-22.53722	2019/11/10
Tortona	8.86374	excellent	IT	44.89784	2013-11-15
Canavieiras	-38.94722	average	BR	-15.675	2018/07/23
