PM10	Pb	latitude	CH4	NH3	H2CO	O3	warning	TEMP	CFCs	PM2.5	PAHs	NOx	SO2	longitude	PRES	C2H3NO5	CO
9.89540	36.32013	11.00599	8.62472	6.30503	37.79908	7.97567	1.00000	13.95381	62.44870	8.02824	8.77632	7.09022	7.94761	77.5609	1086.76179	2.82987	6.48111
8.70745	53.22696	12.37169	6.79063	8.14549	40.90076	7.73945	1.00000	12.13303	63.75433	6.92784	7.03572	10.10665	8.72299	123.62494	1096.47674	1.08620	4.41094
9.63490	28.54834	42.7	9.92494	9.32763	56.87669	9.93954	1.00000	13.31570	58.18223	10.28230	6.22656	6.95858	6.89501	27.25	1103.97809	2.33538	4.93081
10.63684	31.54297	26.32293	8.85009	6.78326	59.08066	8.75838	0.00000	22.46161	67.90281	6.23502	8.45790	9.43492	7.96661	91.00632	1163.83252	5.75150	9.20008
9.15245	30.65649	29.53885	9.67513	8.29647	24.40782	10.73172	1.00000	24.43454	60.79996	10.11885	6.76086	6.16809	6.45409	-95.44744	1127.65460	1.38480	6.25056
9.86481	25.36665	51.955	9.45472	9.43063	54.69904	10.56041	1.00000	28.26868	61.60435	9.55484	7.90874	5.17582	5.90552	5.22778	1142.56577	2.73864	7.61114
7.19228	64.37787	43.11667	7.29576	6.72659	56.53096	5.41229	1.00000	21.06037	62.79059	6.15642	8.02421	4.43512	8.73031	1.6	1090.64424	0.33160	9.79281
6.54743	56.25096	37.35813	3.14839	8.07083	53.51759	6.40090	1.00000	4.17654	66.12937	5.52851	7.12941	9.40395	8.61651	-6.03731	1085.00919	0.29112	10.81530
5.89651	38.79393	12.74482	8.94474	7.85950	32.53208	7.07636	1.00000	13.50921	62.34119	5.94148	7.40984	6.26138	6.54204	4.52514	1118.72336	0.18215	11.09179
8.56775	58.63175	-19.72806	9.64232	7.50233	48.47673	10.23176	1.00000	-15.69829	55.69096	10.47555	7.88998	5.73324	6.70014	-50.19556	1151.46622	0.87271	6.46575
9.62370	44.16610	12.74409	7.53688	9.28435	49.84110	11.66854	0.00000	6.07532	68.53373	7.08111	8.39196	7.67095	7.06905	-8.07257	1134.50591	2.25986	10.58496
9.09055	30.58956	52.71083	7.26295	5.83766	44.16252	9.50001	0.00000	12.67441	70.59438	8.48670	6.56660	8.91610	7.03692	5.74861	1133.34381	1.46364	4.81728
10.69348	55.37470	10.58806	7.30399	7.32753	67.90028		1.00000	-5.30703	77.11906	5.57336	7.23647	8.60016	8.45013	77.24779	1197.95506	5.98835	6.56769
6.29476	46.80127	41.6764	6.31123	8.39418	63.07861	7.00970	1.00000	25.26438	69.28986	3.32041	8.26782	6.94914	8.34307	-91.58045	1181.15484	0.31831	7.45036
10.61387	46.54618	8.88649	7.69574	7.91525	74.34255	8.65524	0.00000	-9.48497	71.68613	9.43371	8.14306	9.01619	8.55191	2.59753	1147.56371	5.51528	8.37375
9.45517	47.52028	3.31332	9.24086	7.59101	56.80166	9.89955	1.00000	-7.09649	50.11527	9.24769	8.43348	7.12482	7.90461	117.59152	1072.76848	1.83700	5.78936
6.06361	35.06367	32.5007	7.24776	7.70716	42.57340	6.97338	1.00000	9.48464	59.62879	5.05679	5.73113	6.51169	7.52322	-94.74049	1163.09288	0.19439	10.13732
8.66051	48.59152	45.79377	9.26302	6.76573	46.00896	9.63763	1.00000	17.33076	53.83083	9.61735	7.03761	7.15244	9.41296	8.88104	1069.88916	0.89210	5.68237
9.29123	47.08452	38.47917	9.69697	7.18384	76.29691	9.90131	1.00000	5.91116	75.88129	9.81838	7.47225	6.31695	6.07388	-1.325	1087.38855	1.63622	6.26510
11.34607	52.61911	-1.26753	8.42993	8.12464	59.88310	10.23206	0.00000	12.20825	57.44593	6.75143	7.78236	10.70622	8.92131	116.82887	1098.91040	11.32118	10.23505
9.11066	40.25390	-37.9	8.19951	7.31302	54.35056	12.18419	0.00000	-13.70492	73.02592	6.41103	6.82450	8.83650	7.69067	145.18333	1193.45820	1.40562	10.35829
