latitude	revision	location	longitude	code	QoS
39.72943	2022-06-09	America/Denver	-104.83192	US	building
5.6561	10/22/2012, 00:00:00	America/Bogota	-75.87877	CO	average
49.41029	2018/07/06	Europe/Zaporozhye	38.15035	UA	good
43.16547	06/16/2017, 00:00:00	America/New_York	-77.70066	US	accep
50.80019	2013/09/06	Europe/Berlin	7.20769	DE	average
33.92946	13 Sep 2015	America/Los_Angeles	-116.97725	US	excellent
10.58806	16 May 2018	Asia/Kolkata	77.24779	IN	accep
33.78333	2022/08/15	Asia/Shanghai	114.51667	CN	average
-1.26753	05 Sep 2013	Asia/Makassar	116.82887	ID	maintenance
33.92866	2015/12/18	Africa/Casablanca	-6.90656	MA	good
45.4473	2021-01-12	America/Toronto	-73.75335	CA	excellent
35.815	14 Jul 2020	Asia/Tokyo	139.6853	JP	maintenance
55.82885	2015/05/12	Europe/London	-4.21376	GB	accep
-37.9	2013-01-29	Australia/Melbourne	145.18333	AU	maintenance
12.74409	02 May 2018	Africa/Bamako	-8.07257	ML	excellent
37.19723	02 Feb 2013	Asia/Shanghai	122.05228	CN	average
-2.68333	2016/08/01	Africa/Dar_es_Salaam	33	TZ	average
36.61033	05/29/2014, 00:00:00	America/Chicago	-88.31476	US	excellent
47.98372	2016-08-25	Europe/Berlin	10.18527	DE	good
48.90982	2021/08/03	Europe/Paris	2.45012	FR	average
40.65538	2012/12/31	America/New_York	-74.38987	US	excellent
37.16911	2013-11-20	Africa/Tunis	10.03478	TN	good
45.78071	2019/03/02	Europe/Rome	12.84052	IT	good
-11.78333	2013/03/18	Africa/Luanda	19.91667	AO	average
65.84811	2015-01-18	Europe/Helsinki	24.14662	FI	average
33.3213	2012/09/29	Asia/Tokyo	130.94098	JP	excellent
30.16688	15 Aug 2014	America/Chicago	-96.39774	US	good
4.88441	2013-12-14	Asia/Kuala_Lumpur	101.96857	MY	good
-31.4488	2015/02/10	America/Argentina/Cordoba	-60.93173	AR	good
25.80565	2017/07/16	Asia/Karachi	68.49143	PK	accep
48.06919	2019-10-18	Europe/Berlin	11.37703	DE	good
48.77275	2016/06/22	Europe/Paris	5.16108	FR	average
30.76468	09/05/2018, 00:00:00	Asia/Karachi	74.12286	PK	good
35.72917	10 Aug 2021	Africa/Tunis	10.58082	TN	maintenance
34.14251	08/31/2022, 00:00:00	America/Los_Angeles	-118.25508	US	good
13.70167	2020/12/23	America/El_Salvador	-89.10944	SV	accep
14.14989	2022/04/15	Asia/Manila	121.3152	PH	good
44.35056	25 Aug 2019	Asia/Tokyo	142.45778	JP	building
9.6531	05 Dec 2016	Asia/Manila	124.3697	PH	excellent
34.65918	2018-12-20	Asia/Shanghai	109.22921	CN	average
4.92675	15 Apr 2021	Africa/Lagos	6.26764	NG	good
-34.74785	23 Apr 2015	America/Argentina/Buenos_Aires	-58.70072	AR	good
-34.64966	12/09/2015, 00:00:00	America/Argentina/Buenos_Aires	-58.38341	AR	maintenance
41.20485	2016/05/05	Europe/Lisbon	-8.33147	PT	good
50.8	05/20/2017, 00:00:00	Europe/Brussels	3.16667	BE	average
